MidPoint,Slope,resultList,LinerType
10,0.25,"[0.4413511844801564, 0.4650075038262138, 0.4914066846852476, 0.5211869560349476, 0.5552153944297757, 0.5947016673711614, 0.6413841361436021, 0.6978387743143069, 0.7679734241153354, 0.8576190612261284, 0.9737718445975588]",0.0
20,0.25,"[0.2943953545060416, 0.3158919693655753, 0.3400424319919647, 0.36755954273424896, 0.3994810148228189, 0.4373836625281255, 0.48379998402054725, 0.5431049065624431, 0.6236296541121404, 0.7433800372982066, 0.9444035257737016]",0.0
30,0.25,"[0.22277672271673826, 0.24259510705712736, 0.26483907314201927, 0.2901258890638352, 0.3193883500066939, 0.35410032913638684, 0.3967426467279003, 0.45188544485604004, 0.5291419182047093, 0.653353812947339, 0.911044533523653]",0.0
40,0.25,"[0.17971677007526343, 0.19833136584603378, 0.21926010172391405, 0.24299817428809567, 0.27032068754951444, 0.302489745025417, 0.3416906111338948, 0.3920916349558127, 0.4629649866466962, 0.5810665427403914, 0.872385904379804]",0.0
50,0.25,"[0.1507968519462874, 0.16845845401139134, 0.1884246718055877, 0.21107672645257566, 0.23702915185702594, 0.2673133590040919, 0.3037538070832917, 0.3498974039931971, 0.4138883672906868, 0.5210865941414746, 0.8262130138984521]",0.0
60,0.25,"[0.12995269860063402, 0.14681309924702643, 0.1660249103744665, 0.18788053962952198, 0.21284594569848542, 0.24172610548544637, 0.27597088685874427, 0.3184119754324811, 0.37560565966922277, 0.4690413857427998, 0.7681691348056753]",0.0
70,0.25,"[0.11414152215492772, 0.13032378240247483, 0.14891749058325163, 0.17016307001602438, 0.19439760266686565, 0.22220993817072382, 0.25467398917038264, 0.29384397588380956, 0.3442856457851697, 0.420930623693767, 0.6868146448259457]",0.0
80,0.25,"[0.10165033010497884, 0.11727592792798573, 0.13535540081735892, 0.15611808643639088, 0.17979750932090702, 0.2067787102872008, 0.23775882956475594, 0.2739468024862002, 0.31739827696812245, 0.371624887856335, 0.4526354541424951]",0.0
90,0.25,"[0.09143969529034232, 0.10663123403425696, 0.12428681318582198, 0.14465988167261204, 0.16790901796461474, 0.19422901759873681, 0.22393670985326136, 0.2573054526918466, 0.29306162689291654, 0.30777036105863737, 0.11716145144130237]",-0.190608909617335
100,0.25,"[0.0828497695471774, 0.0977226917114513, 0.11503850731115553, 0.13509565540015836, 0.15800647476603197, 0.18379007263910452, 0.2123760920259763, 0.2429787038674269, 0.26956336094666855, 0.16785222182100218, 0.09470711661829793]",-0.1748562443283706
10,0.5,"[0.5596213507581557, 0.5824390068087936, 0.6073938054973148, 0.6349001835986424, 0.6654869794485521, 0.6998364171489085, 0.7388352648890322, 0.7836347396058204, 0.83569476113545, 0.8967174663369006, 0.9681720032560035]",0.0
20,0.5,"[0.40039819034405133, 0.4233907348320905, 0.44867874255457907, 0.4768625541250242, 0.5087835005229886, 0.5456623442292513, 0.5893456474712099, 0.6427677611045215, 0.7108579388978354, 0.8022983606234587, 0.9315987562208355]",0.0
30,0.5,"[0.3149626828824774, 0.3374317775892265, 0.36188916529023346, 0.3888996934998829, 0.4192879620352498, 0.4543112214777307, 0.4960004920997523, 0.5478959000090529, 0.6168238489564528, 0.717829078164574, 0.8885984273399055]",0.0
40,0.5,"[0.260658268271272, 0.2828415608702018, 0.3066980949637249, 0.3326834347672049, 0.3614880281475476, 0.39419662618776413, 0.4326261576699413, 0.48011980354999884, 0.5437164714687077, 0.6415285720635557, 0.8362084970569076]",0.0
50,0.5,"[0.22277672271673826, 0.2448404598372323, 0.26834457634548675, 0.2936009560841635, 0.3211185552519188, 0.3517185980116195, 0.38679912493442636, 0.4290062830706162, 0.4842662929062293, 0.5699570040505889, 0.7681691348056753]",0.0
60,0.5,"[0.19472553174300866, 0.2167355688913452, 0.24004755451398715, 0.2648062569584581, 0.29131379266196766, 0.3200772023345257, 0.35193800065941605, 0.3884332897268182, 0.4330153034011984, 0.4970824439663367, 0.6649454352126598]",0.0
70,0.5,"[0.1730631567492088, 0.19502708788367373, 0.21824025709208517, 0.24266204680803063, 0.26836934535674567, 0.2955153914502104, 0.3242527156433409, 0.3545091626856646, 0.38499456384066655, 0.4046306797019589, 0.14027220743503985]",-0.23156752295275007
