MidPoint,Slope,resultList,LinerType
10,0.25,"[0.496658901337244, 0.5009519136389123, 0.5086266450053891, 0.5211872697228854, 0.5403377059764621, 0.5674557252234564, 0.6023392510702695, 0.6419368410011806, 0.6813399416091033, 0.7167312609624797, 0.7466750375277628]",0.0
20,0.25,"[0.3069665382387437, 0.29695279256137225, 0.28869152373106977, 0.28362554783182936, 0.28354669090932616, 0.2911451148651234, 0.3113791322008042, 0.35425495740873075, 0.43260949794790593, 0.5273504379221242, 0.6014828868412685]",0.023419847329417542
30,0.25,"[0.22509507833952563, 0.21131798728924905, 0.1993065549759983, 0.1901058773529481, 0.18466536766914982, 0.18427546719797777, 0.19151095252134503, 0.2127924025438447, 0.26737136220075897, 0.3900114642821516, 0.5077440697784784]",0.04081961114154786
40,0.25,"[0.17865447216725383, 0.1641712846675511, 0.15173924954547424, 0.14204382209139896, 0.13553459743970186, 0.13284987916107927, 0.13547416543317534, 0.1473589019053708, 0.1813608485640878, 0.288423393596639, 0.4413511844801564]",0.045804593006174565
50,0.25,"[0.14844355628575462, 0.1342321694749635, 0.12226930971568788, 0.1129346489498441, 0.10638127517915437, 0.1029401358859411, 0.10360426721062788, 0.11113831513803686, 0.13449648249493812, 0.21733170342113386, 0.3914082034081291]",0.04550342039981352
60,0.25,"[0.1270900152470271, 0.11343518295517407, 0.10209227264072147, 0.09321109079126522, 0.08678843048557408, 0.08302509788659036, 0.08269409323944896, 0.08797221678555779, 0.10563476790885153, 0.16979617357950055, 0.3522451414953137]",0.04439592200757814
70,0.25,"[0.11109221345067641, 0.09799816510866928, 0.08717493748083381, 0.07863183131481707, 0.07230538980644242, 0.06834608515089183, 0.0674112120350105, 0.07137154426575446, 0.08583461645559763, 0.13762292310476681, 0.3205875571331054]",0.0436810014156659
80,0.25,"[0.09854950403824432, 0.08591099849895764, 0.07545822897615626, 0.067144856188223, 0.06089734700686337, 0.05682927990064497, 0.055492999605416655, 0.05854610515508296, 0.07099922580870593, 0.11487923607486793, 0.29439535450604193]",0.043056504432827665
90,0.25,"[0.08834048652243155, 0.07603414422026793, 0.06584687545414102, 0.057733872314067486, 0.051616668878266915, 0.04755060632336798, 0.0459631564380073, 0.048302985698472446, 0.05921638331595428, 0.0979511674968772, 0.2723227624184354]",0.04237733008442425
100,0.25,"[0.07977082170481123, 0.06770395227903514, 0.057749440824188925, 0.04987951266950303, 0.04398441129662591, 0.04003476471459692, 0.038322025633920766, 0.04007641287324192, 0.04960734579833871, 0.08470371346463101, 0.25344169727486815]",0.04144879607089046
10,0.5,"[0.6614115411903173, 0.6545077900165707, 0.6511566620665318, 0.6519294651308751, 0.6566979370651135, 0.664622138528937, 0.6744196098085349, 0.6847919330569785, 0.6947530530730414, 0.7037242074502733, 0.7114598555937895]",0.010254879123785532
20,0.5,"[0.4408752593263855, 0.4109794329764667, 0.38743028085377507, 0.3730924432732471, 0.37003149386986467, 0.3805044742703789, 0.40678380446838613, 0.4471612546728154, 0.49164896980266515, 0.5300684396231032, 0.5596213507581557]",0.07084376545652082
30,0.5,"[0.3317025534271317, 0.292559874102658, 0.2621120949400977, 0.24185740587626386, 0.23168808460450144, 0.23222534238103, 0.2465761687415623, 0.2823228888593567, 0.34579757231396197, 0.4147003160777093, 0.4654895962134486]",0.10001446882263024
40,0.5,"[0.2676137658439395, 0.2263247507162061, 0.19585581292713744, 0.17587031961509864, 0.16472172486481582, 0.16182789479071819, 0.16873540211344357, 0.19132039686642405, 0.24489944719784168, 0.3313652493234701, 0.4003981903440512]",0.10578587105322129
50,0.5,"[0.22509507833952563, 0.184283225445785, 0.1556188776272833, 0.13718218267497065, 0.12652286956254336, 0.12259356143513936, 0.1261847770052788, 0.14132576075870137, 0.18117562054224529, 0.2686328117225101, 0.3522451414953137]",0.10250151690438628
60,0.5,"[0.19463130799995754, 0.15528174855429921, 0.1287463423304018, 0.11189363181687008, 0.10191221648972508, 0.0976509470891274, 0.09960340902708405, 0.11073002313745342, 0.14113788103188046, 0.22074510911320575, 0.3149626828824774]",0.09698036091083014
70,0.5,"[0.1716389974754841, 0.13407498702229417, 0.10950570882767131, 0.09392999832520034, 0.08446380259095299, 0.08003889899347083, 0.08107385680678417, 0.0899516812297618, 0.11451293006392016, 0.18415357450071543, 0.28513125740009504]",0.09160009848201328
80,0.5,"[0.15362020915291802, 0.11786427251325156, 0.09492891453288979, 0.0802657297415556, 0.07111854847328714, 0.06656535234401212, 0.0670105887940466, 0.07453677983398621, 0.09553586914558543, 0.15615951308698384, 0.260658268271272]",0.0870548568089059
90,0.5,"[0.13908669986342836, 0.10501193622113084, 0.08334666516183785, 0.06930770493257453, 0.0603800483714648, 0.055752913326174054, 0.05577831943645162, 0.06235900882476882, 0.08109204474106574, 0.13455726062594145, 0.24018267746840755]",0.08333378653725432
100,0.5,"[0.1270900152470271, 0.09449655077217424, 0.07378338090713157, 0.06020905521709036, 0.05151529319348581, 0.0469114368419063, 0.04663123881899806, 0.052421792148082326, 0.06950563571625586, 0.1176025528397131, 0.22277672271673826]",0.08045877642802904
10,1.0,"[0.7743326972356632, 0.7472731267670243, 0.7244631465350171, 0.7062432824057491, 0.692147815264502, 0.6813399416091033, 0.6729439804395031, 0.6662159946563838, 0.6605934390956453, 0.6556810843900033, 0.6512145775177239]",0.0
20,1.0,"[0.5686224951439891, 0.5071179457232686, 0.4626124494753495, 0.43707469654471, 0.428284400915749, 0.43260949794790593, 0.4450507447674783, 0.46008843082975315, 0.4738396478589658, 0.48475934394280806, 0.49274070668695996]",0.06445630577121098
30,1.0,"[0.4408752593263855, 0.3586369553724389, 0.3045808659049563, 0.2748294812727321, 0.26328321498611024, 0.26737136220075897, 0.2868792002332524, 0.31892933420163955, 0.35322130954081493, 0.3808244936122328, 0.4003981903440512]",0.13711497535794098
40,1.0,"[0.36113352479830796, 0.27281522517924206, 0.22063802329083193, 0.19303364492036013, 0.181034012295348, 0.1813608485640878, 0.19478457082461018, 0.22479873306706896, 0.2688766494968605, 0.3098971789283496, 0.33881579699195663]",0.15778178469660864
50,1.0,"[0.3069665382387437, 0.21884937366660626, 0.17123357476234882, 0.146821112206589, 0.13572871861370042, 0.13449648249493812, 0.143412110248441, 0.1664570762197591, 0.20895767944687618, 0.25823051713387185, 0.29439535450604193]",0.1598988720111038
60,1.0,"[0.2676137658439395, 0.18217137784345694, 0.13916409289333545, 0.11754703757378425, 0.10745693789994233, 0.10563476790885153, 0.1120710968783664, 0.12992724389229407, 0.1667019342788426, 0.21905105023095875, 0.260658268271272]",0.15502350036242046
70,1.0,"[0.23760459314110452, 0.15574670274982935, 0.11675957984785543, 0.0972783949676688, 0.08792580700367428, 0.08583461645559763, 0.0909014476003231, 0.10551912785523784, 0.13675970798629772, 0.18854720105144804, 0.2340765158424713]",0.14824189938687365
80,1.0,"[0.21388935693750233, 0.13584554000330556, 0.10015454884964167, 0.08216422445500182, 0.07325965155432042, 0.07099922580870593, 0.07526601259579879, 0.08792815499379969, 0.11498963703846883, 0.16434972972987447, 0.2125458850192923]",0.14154665921058637
90,1.0,"[0.19463130799995754, 0.12031437510370273, 0.08720901602342004, 0.07020841358318433, 0.061586250801132655, 0.05921638331595428, 0.06295170852352337, 0.07436363208472571, 0.09852298354245197, 0.14486530881473297, 0.19472553174300866]",0.13541492468400326
100,1.0,"[0.17865447216725383, 0.1078213118990186, 0.07667935756637573, 0.06037077994008147, 0.05201378982933011, 0.04960734579833871, 0.05292251791139277, 0.06339074190740929, 0.08551529215826437, 0.12895465145562024, 0.17971677007526343]",0.12904712636891513
10,2.0,"[0.8344610387662691, 0.7779114788394884, 0.73052417049122, 0.6923030414851586, 0.6616703686215221, 0.6368535396600205, 0.6163719682526655, 0.5991089474918965, 0.5842549689618634, 0.5712307091529975, 0.5596213507581557]",0.0
20,2.0,"[0.6614115411903173, 0.5504331633615824, 0.479630984259398, 0.44071439518434363, 0.4214057522738591, 0.4128215680313931, 0.40918502144501845, 0.4072194851255308, 0.4053962050545109, 0.40315989892357473, 0.4003981903440512]",0.0
30,2.0,"[0.5302986674424064, 0.3821863832505145, 0.30661586158023457, 0.2729359461593864, 0.2623227474933618, 0.2661719381450067, 0.2781182006025222, 0.2917534227971988, 0.3028976507585775, 0.3104796792920837, 0.3149626828824774]",0.0526399353891156
40,2.0,"[0.4408752593263855, 0.28174135537373013, 0.21411971427983512, 0.18598333088026536, 0.17715137557054858, 0.18117562054224529, 0.19550279436453122, 0.2161040728238212, 0.23602314018724654, 0.2509140487197725, 0.260658268271272]",0.0835068927007234
50,2.0,"[0.3780621575956971, 0.22026343493731784, 0.16182789479071819, 0.13838373358231218, 0.13076902653571554, 0.13351109695361468, 0.1454313047998849, 0.16578709177869255, 0.1895308174348424, 0.20928107415481004, 0.22277672271673826]",0.09200769618102272
60,2.0,"[0.3317025534271317, 0.17973176981225664, 0.12896547491528268, 0.10897859394120535, 0.10233157770254964, 0.10430722357742818, 0.11401402546036928, 0.13195060241662926, 0.1560381010542162, 0.17858708698308084, 0.19472553174300866]",0.09239395404045903
70,2.0,"[0.2960126056300448, 0.15126514777114447, 0.10647759102893782, 0.08883068580682961, 0.0828174700876562, 0.0843868928454839, 0.09267708373548939, 0.10837757046487702, 0.1312649211301118, 0.15509498097034222, 0.1730631567492088]",0.0902456866615526
80,2.0,"[0.2676137658439395, 0.13025846337331748, 0.0899592679994868, 0.07378697533852378, 0.0681607420758608, 0.06950563571625586, 0.07692961798825367, 0.09103546303831346, 0.11242628853234654, 0.13659252577572548, 0.15580106998818494]",0.08764032791232414
