a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177239
0.0,2.11,0.49274070668695996
0.0,3.16,0.40039819034405133
0.0,4.22,0.3388157969919568
0.0,5.27,0.29439535450604193
0.0,6.33,0.260658268271272
0.0,7.38,0.23407651584247147
0.0,8.44,0.2125458850192923
0.0,9.49,0.19472553174300927
0.0,10.55,0.17971677007526377
0.14,0.0,0.9585334237998608
0.14,1.05,0.6197609008496793
0.14,2.11,0.4858586173047425
0.14,3.16,0.4162536312260978
0.14,4.22,0.37327255985146524
0.14,5.27,0.3435466329073243
0.14,6.33,0.32131727320929526
0.14,7.38,0.3037450559139846
0.14,8.44,0.2892813203993939
0.14,9.49,0.27701277944372493
0.14,10.55,0.266366245352195
0.27,0.0,0.9084433744688263
0.27,1.05,0.5810946946265314
0.27,2.11,0.46720538150781726
0.27,3.16,0.41168092670548173
0.27,4.22,0.37835980793837953
0.27,5.27,0.35556546635140945
0.27,6.33,0.33854377128010793
0.27,7.38,0.32502995759199377
0.27,8.44,0.3138175698145632
0.27,9.49,0.30420800944943527
0.27,10.55,0.29576965466164257
0.41,0.0,0.8448458650285238
0.41,1.05,0.5297300160165485
0.41,2.11,0.43476290769469605
0.41,3.16,0.3918287968802921
0.41,4.22,0.3671296510298778
0.41,5.27,0.3505983644859499
0.41,6.33,0.3383501536575324
0.41,7.38,0.32860966108265954
0.41,8.44,0.32046363075140244
0.41,9.49,0.31339935715334494
0.41,10.55,0.3071089143249175
0.54,0.0,0.7551709034157374
0.54,1.05,0.446622447031336
0.54,2.11,0.3763877869900902
0.54,3.16,0.3514306024173045
0.54,4.22,0.33875250955328906
0.54,5.27,0.3306000099467859
0.54,6.33,0.32449839307653694
0.54,7.38,0.3194656590294652
0.54,8.44,0.31505066716685254
0.54,9.49,0.3110238669548778
0.54,10.55,0.3072594192306022
0.68,0.0,0.5061726804784797
0.68,1.05,0.06888282910354185
0.68,2.11,0.13137637035027527
0.68,3.16,0.25288177920522165
0.68,4.22,0.28012618272877204
0.68,5.27,0.2900708813399454
0.68,6.33,0.29491041875430424
0.68,7.38,0.2973335837509664
0.68,8.44,0.29838173550082575
0.68,9.49,0.2985601791152327
0.68,10.55,0.29815032009101217
0.81,0.0,0.028247813416819856
0.81,1.05,0.04337721708479693
0.81,2.11,0.06674864996798269
0.81,3.16,0.10181710150187012
0.81,4.22,0.1556629400342904
0.81,5.27,0.21118721046889316
0.81,6.33,0.24168607391554495
0.81,7.38,0.2584217264442195
0.81,8.44,0.2686874232649796
0.81,9.49,0.2753577790982358
0.81,10.55,0.2798047179613751
0.95,0.0,0.02055198021272688
0.95,1.05,0.0306280897556248
0.95,2.11,0.04585687992976664
0.95,3.16,0.06591733557077341
0.95,4.22,0.09196758408839961
0.95,5.27,0.12565588180022594
0.95,6.33,0.16478581522814037
0.95,7.38,0.19919465200406714
0.95,8.44,0.2233730757372879
0.95,9.49,0.23983869893688414
0.95,10.55,0.2513695338406661
1.08,0.0,0.015411892077530938
1.08,1.05,0.02278204583890194
1.08,2.11,0.033881701902287745
1.08,3.16,0.04810901064544595
1.08,4.22,0.06552116038001292
1.08,5.27,0.08652932949384054
1.08,6.33,0.11159684703133389
1.08,7.38,0.1400947732620072
1.08,8.44,0.1688430402209247
1.08,9.49,0.1936936753934556
1.08,10.55,0.21315377095219332
1.22,0.0,0.011949546438893881
1.22,1.05,0.017626334752981795
1.22,2.11,0.026096375834240283
1.22,3.16,0.03691980041525831
1.22,4.22,0.049992290882358834
1.22,5.27,0.06531055318801506
1.22,6.33,0.08299777298777403
1.22,7.38,0.10317035191858415
1.22,8.44,0.12552965344988212
1.22,9.49,0.14884701332640302
1.22,10.55,0.17108693005650852
1.35,0.0,0.009561690032136926
1.35,1.05,0.014090333771212106
1.35,2.11,0.02074696465744907
1.35,3.16,0.02925956267301507
1.35,4.22,0.03955307586660838
1.35,5.27,0.05154571577362349
1.35,6.33,0.06519002961844444
1.35,7.38,0.08049620656757397
1.35,8.44,0.09746513254338099
1.35,9.49,0.11591403716946608
1.35,10.55,0.13526489354972168
