a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263855
0.0,16.88,0.36113352479830796
0.0,21.09,0.3069665382387437
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750233
0.0,37.97,0.19463130799995754
0.0,42.19,0.17865447216725383
0.29,0.0,0.9565746237078314
0.29,4.22,0.7260482065739587
0.29,8.44,0.5112506963934407
0.29,12.66,0.37987680695095927
0.29,16.88,0.298882304194521
0.29,21.09,0.24446083196739343
0.29,25.31,0.2055751234846502
0.29,29.53,0.17671773055611414
0.29,33.75,0.15480562031003198
0.29,37.97,0.13792587195303296
0.29,42.19,0.12478444467508655
0.59,0.0,0.9037903596459584
0.59,4.22,0.6628025605236276
0.59,8.44,0.42505835349346216
0.59,12.66,0.26491386076703266
0.59,16.88,0.1452512110580383
0.59,21.09,0.11455736586929455
0.59,25.31,0.10124417210732999
0.59,29.53,0.09303184355430193
0.59,33.75,0.08720820585749417
0.59,37.97,0.0827501918058563
0.59,42.19,0.07916577175603369
0.88,0.0,0.8362084970569076
0.88,4.22,0.5650711222400124
0.88,8.44,0.12898439934213865
0.88,12.66,0.10218901942252627
0.88,16.88,0.09033960578471312
0.88,21.09,0.08317684235741803
0.88,25.31,0.07822462319721434
0.88,29.53,0.0745225103503893
0.88,33.75,0.07160736763987227
0.88,37.97,0.06922450683125754
0.88,42.19,0.06722082910448715
1.17,0.0,0.7396219249744318
1.17,4.22,0.12821580935483992
1.17,8.44,0.09612830225072777
1.17,12.66,0.08390143069846477
1.17,16.88,0.07697866025595863
1.17,21.09,0.07238843548837637
1.17,25.31,0.06906176425960643
1.17,29.53,0.06650582527971788
1.17,33.75,0.06445811247161515
1.17,37.97,0.06276474365469462
1.17,42.19,0.0613290873991379
1.47,0.0,0.4526354541424951
1.47,4.22,0.09633447819656771
1.47,8.44,0.08092681327412884
1.47,12.66,0.0733270551175367
1.47,16.88,0.06864155578975746
1.47,21.09,0.06540726093937137
1.47,25.31,0.06300967283071013
1.47,29.53,0.06114108155176776
1.47,33.75,0.05962926342245929
1.47,37.97,0.058369970962989265
1.47,42.19,0.05729628395009259
1.76,0.0,0.10228369481250124
1.76,4.22,0.07929951121072397
1.76,8.44,0.07043078472284478
1.76,12.66,0.06547759610007131
1.76,16.88,0.06227013167291561
1.76,21.09,0.05999853660240149
1.76,25.31,0.058287019666535024
1.76,29.53,0.05693741046291723
1.76,33.75,0.055835352478651824
1.76,37.97,0.05491023813920559
1.76,42.19,0.054116111602425576
2.05,0.0,0.07803045804949815
2.05,4.22,0.06743080182034948
2.05,8.44,0.06222068989111408
2.05,12.66,0.059083731911532746
2.05,16.88,0.05698637384140331
2.05,21.09,0.055472279062722334
2.05,25.31,0.05431497668821735
2.05,29.53,0.05339118817736479
2.05,33.75,0.05262848665180863
2.05,37.97,0.051981635444651605
2.05,42.19,0.051420953260811926
2.34,0.0,0.06311472554781017
2.34,4.22,0.05823738744023586
2.34,8.44,0.05542669399582757
2.34,12.66,0.053645255681353726
2.34,16.88,0.052428074587748
2.34,21.09,0.0515353148020202
2.34,25.31,0.05084225318881569
2.34,29.53,0.05028007175870205
2.34,33.75,0.04980819196106132
2.34,37.97,0.0494012575095153
2.34,42.19,0.049042640961190306
2.64,0.0,0.052331912497145305
2.64,4.22,0.05074748436402768
2.64,8.44,0.04964567767475483
2.64,12.66,0.04891554770904393
2.64,16.88,0.048412037433885356
2.64,21.09,0.04803742434039604
2.64,25.31,0.04773900899603526
2.64,29.53,0.04748843822034497
2.64,33.75,0.04726964641450827
2.64,37.97,0.04707299770740444
2.64,42.19,0.046892409895953766
2.93,0.0,0.04397716556760949
2.93,4.22,0.04449936837751793
2.93,8.44,0.04465659894167479
2.93,12.66,0.04475242396996815
2.93,16.88,0.04483126891777589
2.93,21.09,0.04489073450486373
2.93,25.31,0.044929361718902834
2.93,29.53,0.044948773807353244
2.93,33.75,0.044951660664021266
2.93,37.97,0.04494073662518926
2.93,42.19,0.04491838664270638
