a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.14,0.9585334237998608
0.0,0.27,0.9084433744688263
0.0,0.41,0.8448458650285238
0.0,0.54,0.7551709034157374
0.0,0.68,0.5061726804784797
0.0,0.81,0.028247813415155316
0.0,0.95,0.02055198021272688
0.0,1.08,0.015411892077530938
0.0,1.22,0.011949546438893881
0.0,1.35,0.009561690032136926
0.29,0.0,0.9565746237078314
0.29,0.14,0.9062774121170984
0.29,0.27,0.8425988141746367
0.29,0.41,0.7538685099085938
0.29,0.54,0.5820968962188247
0.29,0.68,0.2282682195491603
0.29,0.81,0.13979903786999892
0.29,0.95,0.0995102055018169
0.29,1.08,0.07696014580763501
0.29,1.22,0.06205383419838845
0.29,1.35,0.051183683295153035
0.59,0.0,0.9037903596459584
0.59,0.14,0.8397392252306002
0.59,0.27,0.7509678718355721
0.59,0.41,0.5916943410014006
0.59,0.54,0.3593566466188629
0.59,0.68,0.28297890131658104
0.59,0.81,0.22894141096958953
0.59,0.95,0.18416575611795125
0.59,1.08,0.14928209454506167
0.59,1.22,0.12343679942385077
0.59,1.35,0.10423896513543889
0.88,0.0,0.8362084970569076
0.88,0.14,0.7463210691260702
0.88,0.27,0.5872683622385302
0.88,0.41,0.390335379945053
0.88,0.54,0.3323821411827125
0.88,0.68,0.2953383351943357
0.88,0.81,0.26249589123321704
0.88,0.95,0.2311168564494764
0.88,1.08,0.20168809965387036
0.88,1.22,0.17542414984455784
0.88,1.35,0.15301683494718665
1.17,0.0,0.7396219249744318
1.17,0.14,0.5674035363123758
1.17,0.27,0.3802892031604055
1.17,0.41,0.34253146027734643
1.17,0.54,0.3194574666494727
1.17,0.68,0.29848703837580615
1.17,0.81,0.2771805047772662
1.17,0.95,0.25515855163424
1.17,1.08,0.23283656079919568
1.17,1.22,0.21098937139858503
1.17,1.35,0.190419673843427
1.47,0.0,0.4526354541424951
1.47,0.14,0.32096546261613274
1.47,0.27,0.3235257403123807
1.47,0.41,0.3184227794227142
1.47,0.54,0.309500468940082
1.47,0.68,0.2977970925043595
1.47,0.81,0.28389265746355835
1.47,0.95,0.2682860446931765
1.47,1.08,0.2515091372266627
1.47,1.22,0.23414892281223915
1.47,1.35,0.2168078993573941
1.76,0.0,0.1022836948126653
1.76,0.14,0.26158520205666946
1.76,0.27,0.2927153581973081
1.76,0.41,0.3009816958402043
1.76,0.54,0.30042977097940093
1.76,0.68,0.2950177713808335
1.76,0.81,0.2864048932345044
1.76,0.95,0.2755124173742799
1.76,1.08,0.262988360119496
1.76,1.22,0.24937514161508223
1.76,1.35,0.23516626363743875
2.05,0.0,0.07803045805002388
2.05,0.14,0.22759377504148223
2.05,0.27,0.27018491324529353
2.05,0.41,0.286408117614667
2.05,0.54,0.29167561876723586
2.05,0.68,0.29095132512388616
2.05,0.81,0.2863963968903167
2.05,0.95,0.2791707850870421
2.05,1.08,0.2700143477730504
2.05,1.22,0.25947330887252634
2.05,1.35,0.24799619278741847
2.34,0.0,0.06311472554781017
2.34,0.14,0.2032042207619272
2.34,0.27,0.2517820411215363
2.34,0.41,0.27343292705882394
2.34,0.54,0.28308168022330216
2.34,0.68,0.28604879205450473
2.34,0.81,0.2847527315648833
2.34,0.95,0.2804990643882737
2.34,1.08,0.2740967188697859
2.34,1.22,0.2661098997355539
2.34,1.35,0.25697246896055337
2.64,0.0,0.052331912497145305
2.64,0.14,0.18425288488679317
2.64,0.27,0.236012050155238
2.64,0.41,0.2615507403266307
2.64,0.54,0.2746287646302714
2.64,0.68,0.2805986732879319
2.64,0.81,0.28199971825126136
2.64,0.95,0.2802253546139195
2.64,1.08,0.2761342136527696
2.64,1.22,0.27031028503001053
2.64,1.35,0.2631858879962316
2.93,0.0,0.04397716556760949
2.93,0.14,0.1689285077753954
2.93,0.27,0.22218827492955737
2.93,0.41,0.25053727839963
2.93,0.54,0.26634421324919
2.93,0.68,0.27480115115999715
2.93,0.81,0.2784774626669323
2.93,0.95,0.27881299856763114
2.93,1.08,0.2766992966630993
2.93,1.22,0.27273711466821193
2.93,1.35,0.2673621275024307
