a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177239
0.0,2.11,0.4927407066869601
0.0,3.16,0.40039819034405133
0.0,4.22,0.33881579699195663
0.0,5.27,0.29439535450604193
0.0,6.33,0.26065826827127214
0.0,7.38,0.2340765158424713
0.0,8.44,0.2125458850192923
0.0,9.49,0.19472553174300944
0.0,10.55,0.17971677007526377
0.29,0.0,0.9565746237078314
0.29,1.05,0.6192577481763172
0.29,2.11,0.4861574799855094
0.29,3.16,0.41599239712465863
0.29,4.22,0.3716510240717
0.29,5.27,0.34019155041885224
0.29,6.33,0.3160909371416745
0.29,7.38,0.2966341336191388
0.29,8.44,0.2803381155542412
0.29,9.49,0.2663237190555403
0.29,10.55,0.2540343655786773
0.59,0.0,0.9037903596459584
0.59,1.05,0.5803632147876644
0.59,2.11,0.4686292335623858
0.59,3.16,0.41310653575597367
0.59,4.22,0.37876059252981586
0.59,5.27,0.354476653786322
0.59,6.33,0.33576413415642803
0.59,7.38,0.3204896725003944
0.59,8.44,0.3075163301157091
0.59,9.49,0.2961837291790876
0.59,10.55,0.2860815152871583
0.88,0.0,0.8362084970569076
0.88,1.05,0.5300074313202559
0.88,2.11,0.43959847774399996
0.88,3.16,0.3974712074447011
0.88,4.22,0.3720153977146589
0.88,5.27,0.35407630857550276
0.88,6.33,0.3401491171980997
0.88,7.38,0.328629997157474
0.88,8.44,0.3186891387392319
0.88,9.49,0.30985670468898624
0.88,10.55,0.3018474537765569
1.17,0.0,0.7396219249744318
1.17,1.05,0.4563564173065779
1.17,2.11,0.3944258551005833
1.17,3.16,0.3688273804437282
1.17,4.22,0.35373204674048203
1.17,5.27,0.34290539333678804
1.17,6.33,0.33420146910281534
1.17,7.38,0.326708561949932
1.17,8.44,0.3199824946326776
1.17,9.49,0.31378490106386836
1.17,10.55,0.3079781601401215
1.47,0.0,0.4526354541424951
1.47,1.05,0.3078029207403679
1.47,2.11,0.3214937009954443
1.47,3.16,0.32388042177914245
1.47,4.22,0.32350842358518217
1.47,5.27,0.3218958213825826
1.47,6.33,0.3195824579139298
1.47,7.38,0.3168297471192921
1.47,8.44,0.31378783425933277
1.47,9.49,0.31055236207279424
1.47,10.55,0.3071884548312487
1.76,0.0,0.10228369481255453
1.76,1.05,0.160822967021351
1.76,2.11,0.22286947786359793
1.76,3.16,0.2615110601456747
1.76,4.22,0.2810747866210304
1.76,5.27,0.2914244545548714
1.76,6.33,0.2970670033594971
1.76,7.38,0.30002083110218575
1.76,8.44,0.3012997878619151
1.76,9.49,0.30146858496290785
1.76,10.55,0.30086829576966634
2.05,0.0,0.07803045804949815
2.05,1.05,0.11589004822484263
2.05,2.11,0.1586599678362978
2.05,3.16,0.20007213069174307
2.05,4.22,0.23217850402246598
2.05,5.27,0.2538589944234604
2.05,6.33,0.26802908738466047
2.05,7.38,0.27733426996864696
2.05,8.44,0.2834638538450249
2.05,9.49,0.2874473100488637
2.05,10.55,0.28992705297406385
2.34,0.0,0.06311472554781017
2.34,1.05,0.09235602024081768
2.34,2.11,0.12437124200147051
2.34,3.16,0.15764292141033745
2.34,4.22,0.189087099008013
2.34,5.27,0.21546765622980055
2.34,6.33,0.23574153303490605
2.34,7.38,0.2506928796260983
2.34,8.44,0.2615799658757315
2.34,9.49,0.26948537905171405
2.34,10.55,0.2752057735589936
2.64,0.0,0.052331912497145305
2.64,1.05,0.07679388642798911
2.64,2.11,0.10294003843731171
2.64,3.16,0.12997663814355545
2.64,4.22,0.15706136292498848
2.64,5.27,0.18251503914434442
2.64,6.33,0.20474537153092265
2.64,7.38,0.22305116354719814
2.64,8.44,0.23759202252219033
2.64,9.49,0.2489366854427741
2.64,10.55,0.25771654953282125
2.93,0.0,0.04397716556760949
2.93,1.05,0.06525244120241862
2.93,2.11,0.08782463561662424
2.93,3.16,0.1107450922032589
2.93,4.22,0.1339045939685346
2.93,5.27,0.15668903461240818
2.93,6.33,0.17811165870272613
2.93,7.38,0.197284918775723
2.93,8.44,0.21374460730868974
2.93,9.49,0.22746639775303498
2.93,10.55,0.23870077431711317
