a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263855
0.0,16.88,0.36113352479830796
0.0,21.09,0.3069665382387437
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750233
0.0,37.97,0.19463130799995754
0.0,42.19,0.17865447216725383
1.05,0.0,0.6512145775177239
1.05,4.22,0.41741980970347853
1.05,8.44,0.2832574793658871
1.05,12.66,0.22647629598610503
1.05,16.88,0.19494070368014335
1.05,21.09,0.1741434519787316
1.05,25.31,0.15897914836159033
1.05,29.53,0.14719109084478368
1.05,33.75,0.137618055949832
1.05,37.97,0.12959535059877594
1.05,42.19,0.12271132923147882
2.11,0.0,0.49274070668695996
2.11,4.22,0.2952098122205854
2.11,8.44,0.20643128933065372
2.11,12.66,0.16953736431656508
2.11,16.88,0.14902394174337624
2.11,21.09,0.13553520393277968
2.11,25.31,0.12572331567757086
2.11,29.53,0.11809569251559915
2.11,33.75,0.11188388192051454
2.11,37.97,0.10665025892256629
2.11,42.19,0.10212623992176185
3.16,0.0,0.4003981903440512
3.16,4.22,0.2379683422012209
3.16,8.44,0.17181338252535278
3.16,12.66,0.143560179432394
3.16,16.88,0.12767700237092752
3.16,21.09,0.11720655795661628
3.16,25.31,0.1095909006963384
3.16,29.53,0.10367371566292127
3.16,33.75,0.09885556623333608
3.16,37.97,0.09479409846195136
3.16,42.19,0.0912791448724714
4.22,0.0,0.33881579699195663
4.22,4.22,0.20432756676345087
4.22,8.44,0.15158158223286397
4.22,12.66,0.12831510233747295
4.22,16.88,0.11505185137723516
4.22,21.09,0.10625854763761007
4.22,25.31,0.09984901935654114
4.22,29.53,0.09486663618958405
4.22,33.75,0.09081091495418847
4.22,37.97,0.08739421089865128
4.22,42.19,0.08443915927761857
5.27,0.0,0.29439535450604193
5.27,4.22,0.18172797712270716
5.27,8.44,0.13796153815351686
5.27,12.66,0.11803771900807689
5.27,16.88,0.10650981184515383
5.27,21.09,0.09881266250422316
5.27,25.31,0.09318413279268867
5.27,29.53,0.08880425098199861
5.27,33.75,0.08523958914584888
5.27,37.97,0.08223910605122664
5.27,42.19,0.07964707555891118
6.33,0.0,0.260658268271272
6.33,4.22,0.16520423129639072
6.33,8.44,0.12794589223550532
6.33,12.66,0.11047316659059296
6.33,16.88,0.10021195592186286
6.33,21.09,0.093308943371792
6.33,25.31,0.0882429113092769
6.33,29.53,0.08429544701196352
6.33,33.75,0.08108272173490912
6.33,37.97,0.0783806021718569
6.33,42.19,0.07604916278685746
7.38,0.0,0.2340765158424713
7.38,4.22,0.15240932145170694
7.38,8.44,0.12012557283816985
7.38,12.66,0.10455919634720603
7.38,16.88,0.09528493019178863
7.38,21.09,0.08899915965148694
7.38,25.31,0.08436905677086827
7.38,29.53,0.08075588508042301
7.38,33.75,0.07781473577549831
7.38,37.97,0.07534257361993345
7.38,42.19,0.0732118485615219
8.44,0.0,0.2125458850192923
8.44,4.22,0.1420870609664019
8.44,8.44,0.11375108703910697
8.44,12.66,0.09972959627283111
8.44,16.88,0.09126057371956871
8.44,21.09,0.08547914436762727
8.44,25.31,0.08120500142348286
8.44,29.53,0.07786435480303515
8.44,33.75,0.07514415411128801
8.44,37.97,0.0728586900642304
8.44,42.19,0.07089060346300785
9.49,0.0,0.19472553174300866
9.49,4.22,0.13350120759184553
9.49,8.44,0.10838591402933472
9.49,12.66,0.09565457295204383
9.49,16.88,0.08786505796177987
9.49,21.09,0.08251103229207643
9.49,25.31,0.07853884076822304
9.49,29.53,0.07542915058586606
9.49,33.75,0.0728958177776773
9.49,37.97,0.07076785373943024
9.49,42.19,0.06893660270334584
10.55,0.0,0.17971677007526343
10.55,4.22,0.1261894182675024
10.55,8.44,0.10375781355636089
10.55,12.66,0.09212872134410034
10.55,16.88,0.08492729852788067
10.55,21.09,0.07994545376385803
10.55,25.31,0.0762367521445348
10.55,29.53,0.07332851839730022
10.55,33.75,0.07095787728733778
10.55,37.97,0.06896666972992219
10.55,42.19,0.06725387541582738
