MidPoint,Slope,resultList,LinerType
10,0.25,"[0.4413511844801564, 0.4659397436766912, 0.49259209078460287, 0.5221044778389176, 0.5555037622517901, 0.5941770072119006, 0.6400729299533034, 0.6960246479841966, 0.7662469575348261, 0.8568765367253696, 0.9749275426047326]",0.0
20,0.25,"[0.29439535450604193, 0.3241868263700841, 0.3524846855814816, 0.381139841825615, 0.41184797615022484, 0.4466845475211057, 0.4887223014103508, 0.5431496369965348, 0.6197609008496793, 0.7392523904678635, 0.9469526296896312]",0.0
30,0.25,"[0.2227767227167381, 0.2618280486429497, 0.2937136707436172, 0.3227440807879454, 0.3513101994877994, 0.38159904718955284, 0.4165651580604287, 0.46143770812992907, 0.5275721004025752, 0.6452996858082778, 0.9153063607104389]",0.0
40,0.25,"[0.17971677007526377, 0.2283568254685156, 0.2638124594483598, 0.29377402880010756, 0.32131727320929526, 0.34860486080788056, 0.37813878087949443, 0.41425982712490156, 0.46720538150781726, 0.569786055410691, 0.8788122764797739]",0.0
50,0.25,"[0.1507968519462853, 0.20792073121485152, 0.24634589733901266, 0.2772702845231366, 0.3043260318977298, 0.3296048253353144, 0.3551206686702511, 0.3841281508738254, 0.4246781101813322, 0.5068459379079392, 0.8354947490501514]",0.0
60,0.25,"[0.12995269860071815, 0.19427009483332333, 0.23508613555989502, 0.26687325891737834, 0.29368059127458995, 0.31749628442369027, 0.3398499166215974, 0.3628563327440949, 0.3918287968802921, 0.45029829051604586, 0.7815064510891558]",0.0
70,0.25,"[0.11414152215495019, 0.1845452212055154, 0.22729445408038162, 0.2598278325164217, 0.28649745006057037, 0.3091625273906479, 0.32886720125672175, 0.34652276672905324, 0.3640627498904644, 0.3926838317298764, 0.7069022123024264]",0.0
80,0.25,"[0.10165033010490356, 0.17727908778260856, 0.2216125394844703, 0.254787440542373, 0.2813728242587265, 0.303080396193312, 0.32046363075140244, 0.33314466428789696, 0.33875250955328906, 0.31808115907777484, 0.5061726804784797]",0.0
90,0.25,"[0.0914396952906141, 0.1716491714434633, 0.21730020249665163, 0.2510283588305478, 0.2775561994434865, 0.2984354012110726, 0.31372383009493016, 0.321663149819306, 0.31436360541105113, 0.14735322602512085, 0.032043150410800116]",-0.2302234545286919
100,0.25,"[0.08284976954691059, 0.16716097219220175, 0.2139231874453484, 0.24813149499913162, 0.2746154007414513, 0.2947590097762485, 0.3081226804922664, 0.311487049150617, 0.2900708813399454, 0.10177092872413399, 0.026023888642103355]",-0.2286372796037064
10,0.5,"[0.5596213507581559, 0.5824092527493033, 0.6070965098915895, 0.6341932552679728, 0.6643278630766271, 0.6982898057850696, 0.7370830251052994, 0.7819841277405343, 0.8345747749684582, 0.8966375145515411, 0.9695852491461602]",0.0
20,0.5,"[0.40039819034405133, 0.4269619373519077, 0.4534438543587264, 0.48113297237168456, 0.5113774582799298, 0.5458638435490517, 0.5869670163495551, 0.6383197714283685, 0.7058411361194479, 0.7995353747623671, 0.9347887227123531]",0.0
30,0.5,"[0.314962682882477, 0.34907725355624253, 0.37823477901824654, 0.4056276484111286, 0.4333547784521134, 0.46350581363543636, 0.4988992262674913, 0.5441854689837816, 0.6082361907605798, 0.7102217098189629, 0.8940929143471329]",0.0
40,0.5,"[0.260658268271272, 0.30471642103643504, 0.337161648913706, 0.3646605626831091, 0.39017037304127306, 0.4159135851016662, 0.4445186531891393, 0.4803829847307236, 0.5329367622667968, 0.6272925180283482, 0.8448458650285238]",0.0
50,0.5,"[0.2227767227167381, 0.27716087796771877, 0.3126540243658292, 0.34037725799905666, 0.3640890260934043, 0.38598701142339303, 0.4081845352228882, 0.4340170806106897, 0.471329686316557, 0.5461864970559017, 0.7815064510891558]",0.0
60,0.5,"[0.19472553174300927, 0.25881012165336387, 0.2968832303675711, 0.32480302150549467, 0.3469809965684408, 0.36546632467056844, 0.38162503051939334, 0.3970123619382033, 0.41524582868201776, 0.4537508931571266, 0.6871099228359745]",0.0
