a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983081
0.0,21.09,0.3069665382387437
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750166
0.0,37.97,0.19463130799995385
0.0,42.19,0.17865447216723856
0.29,0.0,0.9565746237078314
0.29,4.22,0.723073188480052
0.29,8.44,0.5028832652986092
0.29,12.66,0.36592883952747146
0.29,16.88,0.278162547995136
0.29,21.09,0.21387266371478733
0.29,25.31,0.012894611547179306
0.29,29.53,0.008551441586393756
0.29,33.75,0.006289807457889359
0.29,37.97,0.0049199440341218415
0.29,42.19,0.004012540969311141
0.59,0.0,0.9037903596459581
0.59,4.22,0.6541764486846973
0.59,8.44,0.3879875487023579
0.59,12.66,0.010154136687012087
0.59,16.88,0.005722117528947713
0.59,21.09,0.0038296396960160813
0.59,25.31,0.0028312763262259752
0.59,29.53,0.0022281137665490815
0.59,33.75,0.001828946227980889
0.59,37.97,0.0015471544763585115
0.59,42.19,0.0013384745284757754
0.88,0.0,0.8362084970569079
0.88,4.22,0.5360148651854075
0.88,8.44,0.009037972356135994
0.88,12.66,0.004395577625787855
0.88,16.88,0.0027645027638858086
0.88,21.09,0.001983179311698727
0.88,25.31,0.0015353443900289622
0.88,29.53,0.0012481400756359491
0.88,33.75,0.0010494193045828151
0.88,37.97,0.0009042315506843737
0.88,42.19,0.0007937420905148368
1.17,0.0,0.7396219249744318
1.17,4.22,0.01579153899383611
1.17,8.44,0.005092486398510863
1.17,12.66,0.002700994893762624
1.17,16.88,0.0017868646098067023
1.17,21.09,0.001322299729783417
1.17,25.31,0.0010451319296362403
1.17,29.53,0.0008622292335070579
1.17,33.75,0.0007329513487765855
1.17,37.97,0.0006369300106902615
1.17,42.19,0.0005628916088733781
1.47,0.0,0.4526354541391884
1.47,4.22,0.009859488215368152
1.47,8.44,0.0034409067381310043
1.47,12.66,0.0019262142039556806
1.47,16.88,0.001312081586428309
1.47,21.09,0.000988360671709119
1.47,25.31,0.0007904999012060792
1.47,29.53,0.0006576840018870305
1.47,33.75,0.000562609805057332
1.47,37.97,0.0004912984112799726
1.47,42.19,0.00043588302674817423
1.76,0.0,0.10228369481227681
1.76,4.22,0.006841318767619073
1.76,8.44,0.0025666984247366812
1.76,12.66,0.00148979146110243
1.76,16.88,0.001034322555351155
1.76,21.09,0.0007881584573533604
1.76,25.31,0.0006352304616879309
1.76,29.53,0.0005313965773576704
1.76,33.75,0.00045643774962614867
1.76,37.97,0.00039984706807743464
1.76,42.19,0.00035564334543150734
2.05,0.0,0.0780304580468136
2.05,4.22,0.005122603425941065
2.05,8.44,0.002034661971791186
2.05,12.66,0.001211943698838622
2.05,16.88,0.0008528012408826519
2.05,21.09,0.0006551142171360274
2.05,25.31,0.0005308456999530882
2.05,29.53,0.0004457746070430635
2.05,33.75,0.00038398796740940906
2.05,37.97,0.0003371245651881364
2.05,42.19,0.000300384117928216
2.34,0.0,0.06311472554285524
2.34,4.22,0.004046216128872289
2.34,8.44,0.0016798428826160585
2.34,12.66,0.0010202283551530259
2.34,16.88,0.0007251267102023382
2.34,21.09,0.0005603909303843474
2.34,25.31,0.00045590145815305465
2.34,29.53,0.00038392401170370057
2.34,33.75,0.0003314080368291277
2.34,37.97,0.00029143688031142446
2.34,42.19,0.00026001340056182364
2.64,0.0,0.05233191249031764
2.64,4.22,0.0033213694408067472
2.64,8.44,0.0014275412047349736
2.64,12.66,0.0008802161489266596
2.64,16.88,0.0006305074991012639
2.64,21.09,0.0004895412293298412
2.64,25.31,0.0003994896958314552
2.64,29.53,0.000337152783688334
2.64,33.75,0.0002915074801930736
2.64,37.97,0.00025667076271112415
2.64,42.19,0.0002292247960143251
2.93,0.0,0.043977165573886055
2.93,4.22,0.002805430495574378
2.93,8.44,0.0012394797871793785
2.93,12.66,0.0007735722968071798
2.93,16.88,0.0005575980927315131
2.93,21.09,0.0004345518156362102
2.93,25.31,0.00035548949255707614
2.93,29.53,0.00030054090750153005
2.93,33.75,0.00026018863674326603
2.93,37.97,0.00022932359242876157
2.93,42.19,0.00020496453968886402
