a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.29,0.9565746237078314
0.0,0.59,0.9037903596459581
0.0,0.88,0.8362084970569079
0.0,1.17,0.7396219249744318
0.0,1.47,0.4526354541391884
0.0,1.76,0.10228369481210874
0.0,2.05,0.07803045804681762
0.0,2.34,0.06311472554285524
0.0,2.64,0.05233191249031764
0.0,2.93,0.043977165573886055
0.29,0.0,0.9565746237078314
0.29,0.29,0.9037903596459584
0.29,0.59,0.8362084970569073
0.29,0.88,0.7396219249744321
0.29,1.17,0.4526354542319349
0.29,1.47,0.10228369481202398
0.29,1.76,0.07803045804752412
0.29,2.05,0.06311472554198967
0.29,2.34,0.052331912488790204
0.29,2.64,0.04397716557207191
0.29,2.93,0.03731914389058586
0.59,0.0,0.9037903596459581
0.59,0.29,0.8362084970569076
0.59,0.59,0.7396219249744321
0.59,0.88,0.45263545423663076
0.59,1.17,0.10228369481180453
0.59,1.47,0.07803045804729167
0.59,1.76,0.06311472554301129
0.59,2.05,0.05233191248807199
0.59,2.34,0.04397716557306527
0.59,2.64,0.03731914389039659
0.59,2.93,0.03195305047299055
0.88,0.0,0.8362084970569079
0.88,0.29,0.7396219249744321
0.88,0.59,0.45263545424349244
0.88,0.88,0.10228369481138876
0.88,1.17,0.07803045804558219
0.88,1.47,0.06311472554144965
0.88,1.76,0.05233191248763631
0.88,2.05,0.043977165571168125
0.88,2.34,0.03731914388975254
0.88,2.64,0.03195305047185674
0.88,2.93,0.02760213162025015
1.17,0.0,0.7396219249744318
1.17,0.29,0.45263545426688523
1.17,0.59,0.10228369481185365
1.17,0.88,0.07803045804608864
1.17,1.17,0.06311472554192048
1.17,1.47,0.052331912486760786
1.17,1.76,0.043977165571775084
1.17,2.05,0.037319143888825006
1.17,2.34,0.031953050472449736
1.17,2.64,0.027602131618970398
1.17,2.93,0.024055330269882606
1.47,0.0,0.4526354541391884
1.47,0.29,0.10228369481203618
1.47,0.59,0.07803045804709935
1.47,0.88,0.06311472554193284
1.47,1.17,0.05233191248692901
1.47,1.47,0.04397716557081464
1.47,1.76,0.03731914388918363
1.47,2.05,0.03195305047272825
1.47,2.34,0.027602131617052068
1.47,2.64,0.024055330267700518
1.47,2.93,0.02114620125369643
1.76,0.0,0.10228369481227681
1.76,0.29,0.07803045804815596
1.76,0.59,0.06311472554330955
1.76,0.88,0.05233191248825034
1.76,1.17,0.043977165569894484
1.76,1.47,0.03731914388948414
1.76,1.76,0.03195305047239418
1.76,2.05,0.02760213161719895
1.76,2.34,0.024055330269793028
1.76,2.64,0.0211462012537852
1.76,2.93,0.018743204487546714
2.05,0.0,0.0780304580468136
2.05,0.29,0.06311472554178676
2.05,0.59,0.05233191248811244
2.05,0.88,0.04397716557067498
2.05,1.17,0.03731914388807661
2.05,1.47,0.03195305047240366
2.05,1.76,0.02760213161804896
2.05,2.05,0.024055330268028963
2.05,2.34,0.021146201252193384
2.05,2.64,0.018743204487529537
2.05,2.93,0.016742962395692985
2.34,0.0,0.06311472554285524
2.34,0.29,0.05233191248855583
2.34,0.59,0.043977165570901
2.34,0.88,0.03731914388930964
2.34,1.17,0.031953050472471246
2.34,1.47,0.027602131619165603
2.34,1.76,0.024055330269322196
2.34,2.05,0.021146201253516957
2.34,2.34,0.018743204487429204
2.34,2.64,0.016742962396710265
2.34,2.93,0.015064612418494345
2.64,0.0,0.05233191249031764
2.64,0.29,0.043977165571462216
2.64,0.59,0.037319143890590836
2.64,0.88,0.03195305047088938
2.64,1.17,0.027602131619946423
2.64,1.47,0.02405533027030207
2.64,1.76,0.02114620125373255
2.64,2.05,0.018743204487063358
2.64,2.34,0.01674296239673001
2.64,2.64,0.01506461241745716
2.64,2.93,0.013645013484982142
2.93,0.0,0.043977165573886055
2.93,0.29,0.037319143891994505
2.93,0.59,0.03195305047152299
2.93,0.88,0.02760213161805602
2.93,1.17,0.0240553302677673
2.93,1.47,0.021146201253808797
2.93,1.76,0.018743204486568122
2.93,2.05,0.016742962396495954
2.93,2.34,0.015064612417667777
2.93,2.64,0.01364501348549038
2.93,2.93,0.012434805903870565
