a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177239
0.0,2.11,0.49274070668695996
0.0,3.16,0.4003981903440512
0.0,4.22,0.33881579699195663
0.0,5.27,0.29439535450604193
0.0,6.33,0.260658268271272
0.0,7.38,0.2340765158424713
0.0,8.44,0.21254588501929136
0.0,9.49,0.19472553174300575
0.0,10.55,0.17971677007524994
1.05,0.0,0.6512145775177239
1.05,1.05,0.49274070668695996
1.05,2.11,0.40039819034405133
1.05,3.16,0.33881579699195663
1.05,4.22,0.29439535450604193
1.05,5.27,0.260658268271272
1.05,6.33,0.2340765158424713
1.05,7.38,0.21254588501929086
1.05,8.44,0.1947255317430043
1.05,9.49,0.17971677007524994
1.05,10.55,0.16689262292448298
2.11,0.0,0.49274070668695996
2.11,1.05,0.4003981903440512
2.11,2.11,0.33881579699195663
2.11,3.16,0.29439535450604193
2.11,4.22,0.260658268271272
2.11,5.27,0.2340765158424713
2.11,6.33,0.21254588501929103
2.11,7.38,0.19472553174300414
2.11,8.44,0.1797167700752501
2.11,9.49,0.1668926229244815
2.11,10.55,0.1558010699880305
3.16,0.0,0.40039819034405133
3.16,1.05,0.3388157969919568
3.16,2.11,0.29439535450604193
3.16,3.16,0.2606582682712718
3.16,4.22,0.23407651584247113
3.16,5.27,0.2125458850192906
3.16,6.33,0.19472553174300303
3.16,7.38,0.1797167700752453
3.16,8.44,0.16689262292447993
3.16,9.49,0.15580106998802937
3.16,10.55,0.14610711802399137
4.22,0.0,0.3388157969919563
4.22,1.05,0.29439535450604193
4.22,2.11,0.2606582682712718
4.22,3.16,0.23407651584247113
4.22,4.22,0.21254588501929025
4.22,5.27,0.19472553174300125
4.22,6.33,0.17971677007524048
4.22,7.38,0.16689262292445023
4.22,8.44,0.15580106998802232
4.22,9.49,0.1461071180239527
4.22,10.55,0.13755659292548136
5.27,0.0,0.29439535450604193
5.27,1.05,0.26065826827127164
5.27,2.11,0.2340765158424713
5.27,3.16,0.21254588501929042
5.27,4.22,0.19472553174300078
5.27,5.27,0.17971677007523904
5.27,6.33,0.1668926229244608
5.27,7.38,0.15580106998799823
5.27,8.44,0.1461071180238848
5.27,9.49,0.13755659292545405
5.27,10.55,0.12995269859932249
6.33,0.0,0.2606582682712718
6.33,1.05,0.2340765158424713
6.33,2.11,0.21254588501929103
6.33,3.16,0.19472553174300447
6.33,4.22,0.17971677007523743
6.33,5.27,0.1668926229244589
6.33,6.33,0.15580106998799728
6.33,7.38,0.14610711802387855
6.33,8.44,0.13755659292542308
6.33,9.49,0.12995269859930242
6.33,10.55,0.12314038765882565
7.38,0.0,0.23407651584247147
7.38,1.05,0.21254588501929103
7.38,2.11,0.19472553174300514
7.38,3.16,0.17971677007524353
7.38,4.22,0.16689262292445486
7.38,5.27,0.1558010699879947
7.38,6.33,0.14610711802389909
7.38,7.38,0.13755659292536
7.38,8.44,0.12995269859932265
7.38,9.49,0.12314038765886995
7.38,10.55,0.11699567234408294
8.44,0.0,0.2125458850192912
8.44,1.05,0.1947255317430053
8.44,2.11,0.1797167700752445
8.44,3.16,0.16689262292447993
8.44,4.22,0.15580106998801443
8.44,5.27,0.14610711802387194
8.44,6.33,0.13755659292539452
8.44,7.38,0.12995269859929262
8.44,8.44,0.1231403876587563
8.44,9.49,0.1169956723438428
8.44,10.55,0.11141814608554185
9.49,0.0,0.19472553174300544
9.49,1.05,0.17971677007524914
9.49,2.11,0.16689262292447896
9.49,3.16,0.15580106998802953
9.49,4.22,0.14610711802394838
9.49,5.27,0.13755659292551103
9.49,6.33,0.1299526985991642
9.49,7.38,0.12314038765888954
9.49,8.44,0.11699567234377523
9.49,9.49,0.11141814608533988
9.49,10.55,0.10632564030540881
10.55,0.0,0.1797167700752424
10.55,1.05,0.16689262292447543
10.55,2.11,0.1558010699880448
10.55,3.16,0.14610711802395046
10.55,4.22,0.13755659292541184
10.55,5.27,0.12995269859936262
10.55,6.33,0.12314038765882211
10.55,7.38,0.11699567234379286
10.55,8.44,0.11141814608563413
10.55,9.49,0.10632564030549181
10.55,10.55,0.10165033009366695
