a1,a2,growth
0.0,0.0,1.0
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439889
0.0,12.66,0.4408752593263855
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874404
0.0,25.31,0.26761376584393937
0.0,29.53,0.2376045931411042
0.0,33.75,0.2138893569375015
0.0,37.97,0.19463130799995418
0.0,42.19,0.17865447216723873
0.29,0.0,0.9565746237078314
0.29,4.22,0.7346374015408925
0.29,8.44,0.5303844855270338
0.29,12.66,0.4074658331494261
0.29,16.88,0.33228178120856405
0.29,21.09,0.2817265827951489
0.29,25.31,0.24520905758733996
0.29,29.53,0.21746489449910142
0.29,33.75,0.19559614972913458
0.29,37.97,0.17787054526842025
0.29,42.19,0.16318366644029214
0.59,0.0,0.9037903596459584
0.59,4.22,0.6850270501452492
0.59,8.44,0.4816165509428403
0.59,12.66,0.364527964852188
0.59,16.88,0.294978217302939
0.59,21.09,0.24894669161459032
0.59,25.31,0.21602073254477486
0.59,29.53,0.19116704117109617
0.59,33.75,0.17165240299217496
0.59,37.97,0.15584927578673827
0.59,42.19,0.14271795502061774
0.88,0.0,0.8362084970569076
0.88,4.22,0.6168315692353088
0.88,8.44,0.40824076174683893
0.88,12.66,0.29516085643901163
0.88,16.88,0.04234391650453762
0.88,21.09,0.03342558457363628
0.88,25.31,0.027415858899023756
0.88,29.53,0.02317393247044877
0.88,33.75,0.02007241119003769
0.88,37.97,0.01774209601389917
0.88,42.19,0.01595320671386169
1.17,0.0,0.7396219249744321
1.17,4.22,0.4830911447625314
1.17,8.44,0.06487636139285205
1.17,12.66,0.04336696456395323
1.17,16.88,0.03150537490445828
1.17,21.09,0.02421733882659418
1.17,25.31,0.019433000469884328
1.17,29.53,0.01612417735109833
1.17,33.75,0.01373656394355237
1.17,37.97,0.01195292966145665
1.17,42.19,0.010582183810410298
1.47,0.0,0.4526354541570652
1.47,4.22,0.08356625699380932
1.47,8.44,0.05182292781258067
1.47,12.66,0.03502604338186212
1.47,16.88,0.025410539074454286
1.47,21.09,0.01951753948913611
1.47,25.31,0.01566279467388491
1.47,29.53,0.012997904453926961
1.47,33.75,0.011070662426819724
1.47,37.97,0.009625140648667716
1.47,42.19,0.008508330433664472
1.76,0.0,0.10228369481221597
1.76,4.22,0.06520470477422943
1.76,8.44,0.042317843672313664
1.76,12.66,0.029010040105896445
1.76,16.88,0.021265971481501614
1.76,21.09,0.01647699073702393
1.76,25.31,0.013316138917321184
1.76,29.53,0.011111342614728877
1.76,33.75,0.009503175173435017
1.76,37.97,0.008287270119769239
1.76,42.19,0.0073407631401849385
2.05,0.0,0.07803045804728267
2.05,4.22,0.052839939066502147
2.05,8.44,0.03509338099384449
2.05,12.66,0.024501247403256442
2.05,16.88,0.018238915658648592
2.05,21.09,0.014303718202457853
2.05,25.31,0.011668334141356656
2.05,29.53,0.009806748706983472
2.05,33.75,0.008434137213377027
2.05,37.97,0.007386579375369727
2.05,42.19,0.006564420718491521
2.34,0.0,0.06311472554422345
2.34,4.22,0.04363652286699769
2.34,8.44,0.029544201120109335
2.34,12.66,0.021045856265167452
2.34,16.88,0.015931012215552126
2.34,21.09,0.012656018964447891
2.34,25.31,0.010426493532214148
2.34,29.53,0.008829849860200993
2.34,33.75,0.007639054150899895
2.34,37.97,0.00672146929204187
2.34,42.19,0.005995379304411196
2.64,0.0,0.052331912487367266
2.64,4.22,0.03654325795968814
2.64,8.44,0.025237230294911955
2.64,12.66,0.018345782756816902
2.64,16.88,0.014116883033259127
2.64,21.09,0.011356763826442825
2.64,25.31,0.009446544929749213
2.64,29.53,0.008059787261639622
2.64,33.75,0.007013802845786245
2.64,37.97,0.006200182352174807
2.64,42.19,0.005551210917802775
2.93,0.0,0.04397716557335567
2.93,4.22,0.030990516908612077
2.93,8.44,0.021849967810342194
2.93,12.66,0.016197076326148686
2.93,16.88,0.012656830551766965
2.93,21.09,0.010302960982706133
2.93,25.31,0.008648081043086805
2.93,29.53,0.007430958448235379
2.93,33.75,0.006502991527724828
2.93,37.97,0.00577465731052042
2.93,42.19,0.005189285378128071
