a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439889
0.0,12.66,0.4408752593263855
0.0,16.88,0.36113352479830796
0.0,21.09,0.30696653823874387
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110435
0.0,33.75,0.21388935693750133
0.0,37.97,0.194631307999954
0.0,42.19,0.1786544721672376
4.22,0.0,0.7743326972356636
4.22,4.22,0.45673445148428937
4.22,8.44,0.2081551984259758
4.22,12.66,0.12955078515547527
4.22,16.88,0.09395613121771597
4.22,21.09,0.07247816777269092
4.22,25.31,0.057338429759889016
4.22,29.53,0.045997163084855415
4.22,33.75,0.03737503063531068
4.22,37.97,0.03079883906381386
4.22,42.19,0.02575797419977747
8.44,0.0,0.5686224951439891
8.44,4.22,0.20815519842597613
8.44,8.44,0.09633554038350436
8.44,12.66,0.06048812733912296
8.44,16.88,0.040664337381390275
8.44,21.09,0.028620606387091515
8.44,25.31,0.021133068253767793
8.44,29.53,0.016306360494270217
8.44,33.75,0.01305531415052529
8.44,37.97,0.010770149403363714
8.44,42.19,0.00910184070726269
12.66,0.0,0.4408752593263853
12.66,4.22,0.12955078515545712
12.66,8.44,0.0604881273407907
12.66,12.66,0.0344073563766504
12.66,16.88,0.02169271275430716
12.66,21.09,0.015014574217171072
12.66,25.31,0.011168179809268831
12.66,29.53,0.008757781506677288
12.66,33.75,0.0071403212422026015
12.66,37.97,0.005994731742589084
12.66,42.19,0.0051479146458540065
16.88,0.0,0.3611335247983081
16.88,4.22,0.09395613121786332
16.88,8.44,0.0406643373815561
16.88,12.66,0.021692712754416643
16.88,16.88,0.01361106185834859
16.88,21.09,0.009564329946026035
16.88,25.31,0.0072454604282332375
16.88,29.53,0.005778131684076973
16.88,33.75,0.004779653472481252
16.88,37.97,0.004062187448140996
16.88,42.19,0.0035245861426386757
21.09,0.0,0.30696653823874404
21.09,4.22,0.07247816777145163
21.09,8.44,0.028620606388621204
21.09,12.66,0.015014574216773761
21.09,16.88,0.009564329946018009
21.09,21.09,0.0068440944631651185
21.09,25.31,0.005266545514412717
21.09,29.53,0.004253655085240193
21.09,33.75,0.0035548499940968132
21.09,37.97,0.0030465525592106267
21.09,42.19,0.002661621986918116
25.31,0.0,0.26761376584393937
25.31,4.22,0.05733842975714652
25.31,8.44,0.021133068255009494
25.31,12.66,0.01116817980879575
25.31,16.88,0.007245460428269678
25.31,21.09,0.0052665455145080725
25.31,25.31,0.004102225522834138
25.31,29.53,0.003344648863740726
25.31,33.75,0.0028160018553748077
25.31,37.97,0.0024277637776458556
25.31,42.19,0.0021313599749851345
29.53,0.0,0.23760459314110435
29.53,4.22,0.045997163081110896
29.53,8.44,0.01630636049481634
29.53,12.66,0.008757781506342582
29.53,16.88,0.005778131683969258
29.53,21.09,0.00425365508512429
29.53,25.31,0.0033446488636509892
29.53,29.53,0.002746550548580331
29.53,33.75,0.0023253450124769157
29.53,37.97,0.00201366475223885
29.53,42.19,0.001774206939477936
33.75,0.0,0.21388935693750166
33.75,4.22,0.0373750306358979
33.75,8.44,0.013055314150836878
33.75,12.66,0.007140321242106926
33.75,16.88,0.004779653472645153
33.75,21.09,0.003554849994193453
33.75,25.31,0.002816001855466149
33.75,29.53,0.002325345012448181
33.75,33.75,0.00197723198079729
33.75,37.97,0.0017180785430541015
33.75,42.19,0.0015179802533938972
37.97,0.0,0.194631307999954
37.97,4.22,0.030798839064791646
37.97,8.44,0.01077014940333803
37.97,12.66,0.005994731742725694
37.97,16.88,0.0040621874481586535
37.97,21.09,0.0030465525592038843
37.97,25.31,0.0024277637774795468
37.97,29.53,0.002013664752059859
37.97,33.75,0.0017180785430449515
37.97,37.97,0.0014969475547264334
37.97,42.19,0.0013255175307661468
42.19,0.0,0.17865447216723937
42.19,4.22,0.025757974198197052
42.19,8.44,0.009101840707206986
42.19,12.66,0.005147914645824629
42.19,16.88,0.0035245861426519997
42.19,21.09,0.002661621986881194
42.19,25.31,0.0021313599750708576
42.19,29.53,0.0017742069395126105
42.19,33.75,0.0015179802534497615
42.19,37.97,0.0013255175307237668
42.19,42.19,0.0011758168537559937
