a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983081
0.0,21.09,0.3069665382387437
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750166
0.0,37.97,0.19463130799995385
0.0,42.19,0.17865447216723856
4.22,0.0,0.7743326972356632
4.22,4.22,0.5686224951439891
4.22,8.44,0.4408752593263852
4.22,12.66,0.3611335247983081
4.22,16.88,0.30696653823874387
4.22,21.09,0.26761376584393937
4.22,25.31,0.23760459314110435
4.22,29.53,0.21388935693750116
4.22,33.75,0.19463130799995335
4.22,37.97,0.17865447216724628
4.22,42.19,0.1651683735463452
8.44,0.0,0.5686224951439891
8.44,4.22,0.4408752593263852
8.44,8.44,0.36113352479830796
8.44,12.66,0.30696653823874404
8.44,16.88,0.26761376584393964
8.44,21.09,0.23760459314110435
8.44,25.31,0.21388935693750133
8.44,29.53,0.19463130799995274
8.44,33.75,0.17865447216724387
8.44,37.97,0.1651683735463415
8.44,42.19,0.15362020915285862
12.66,0.0,0.4408752593263853
12.66,4.22,0.3611335247983083
12.66,8.44,0.30696653823874387
12.66,12.66,0.2676137658439392
12.66,16.88,0.2376045931411042
12.66,21.09,0.21388935693750072
12.66,25.31,0.19463130799995176
12.66,29.53,0.17865447216724017
12.66,33.75,0.16516837354633349
12.66,37.97,0.15362020915286137
12.66,42.19,0.1436104726748579
16.88,0.0,0.3611335247983081
16.88,4.22,0.30696653823874404
16.88,8.44,0.26761376584393937
16.88,12.66,0.23760459314110435
16.88,16.88,0.21388935693750102
16.88,21.09,0.19463130799995032
16.88,25.31,0.17865447216723634
16.88,29.53,0.1651683735463216
16.88,33.75,0.153620209152854
16.88,37.97,0.1436104726748441
16.88,42.19,0.1348423361984406
21.09,0.0,0.3069665382387437
21.09,4.22,0.26761376584393937
21.09,8.44,0.23760459314110435
21.09,12.66,0.21388935693750089
21.09,16.88,0.19463130799995032
21.09,21.09,0.17865447216723696
21.09,25.31,0.16516837354632322
21.09,29.53,0.15362020915281724
21.09,33.75,0.14361047267476287
21.09,37.97,0.13484233619839422
21.09,42.19,0.12709001524654231
25.31,0.0,0.26761376584393937
25.31,4.22,0.23760459314110435
25.31,8.44,0.21388935693750116
25.31,12.66,0.19463130799995176
25.31,16.88,0.17865447216723473
25.31,21.09,0.1651683735463126
25.31,25.31,0.1536202091528198
25.31,29.53,0.14361047267475485
25.31,33.75,0.13484233619827285
25.31,37.97,0.1270900152463489
25.31,42.19,0.12017830745638952
29.53,0.0,0.23760459314110452
29.53,4.22,0.2138893569375015
29.53,8.44,0.19463130799995257
29.53,12.66,0.17865447216724434
29.53,16.88,0.16516837354632674
29.53,21.09,0.1536202091528113
29.53,25.31,0.1436104726747314
29.53,29.53,0.13484233619839503
29.53,33.75,0.12709001524633778
29.53,37.97,0.12017830745632324
29.53,42.19,0.1139689599316548
33.75,0.0,0.21388935693750166
33.75,4.22,0.19463130799995368
33.75,8.44,0.1786544721672437
33.75,12.66,0.16516837354633748
33.75,16.88,0.15362020915285415
33.75,21.09,0.14361047267476496
33.75,25.31,0.13484233619834476
33.75,29.53,0.12709001524637537
33.75,33.75,0.12017830745643897
33.75,37.97,0.11396895993181808
33.75,42.19,0.1083513423483473
37.97,0.0,0.19463130799995385
37.97,4.22,0.17865447216724645
37.97,8.44,0.16516837354633812
37.97,12.66,0.15362020915284033
37.97,16.88,0.14361047267483013
37.97,21.09,0.1348423361984165
37.97,25.31,0.12709001524628882
37.97,29.53,0.12017830745626641
37.97,33.75,0.11396895993164903
37.97,37.97,0.1083513423484902
37.97,42.19,0.10323590818510912
42.19,0.0,0.17865447216723856
42.19,4.22,0.1651683735463444
42.19,8.44,0.15362020915285016
42.19,12.66,0.14361047267486016
42.19,16.88,0.13484233619841604
42.19,21.09,0.12709001524651262
42.19,25.31,0.12017830745637653
42.19,29.53,0.11396895993188517
42.19,33.75,0.10835134234832516
42.19,37.97,0.10323590818517976
42.19,42.19,0.09854950403672379
