a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983081
0.0,21.09,0.3069665382387437
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750166
0.0,37.97,0.19463130799995385
0.0,42.19,0.17865447216723856
0.14,0.0,0.9585334237998612
0.14,4.22,0.7255094634853787
0.14,8.44,0.5061439869532545
0.14,12.66,0.36978063156447444
0.14,16.88,0.2826353730162887
0.14,21.09,0.21936087911476176
0.14,25.31,0.0035771055061731808
0.14,29.53,0.0023273462179684164
0.14,33.75,0.0017256716574463073
0.14,37.97,0.001365999371076788
0.14,42.19,0.0011272513513020577
0.27,0.0,0.9084433744688263
0.27,4.22,0.6607673138529119
0.27,8.44,0.40136060160756326
0.27,12.66,0.0027858925449597226
0.27,16.88,0.0015709092770528105
0.27,21.09,0.0010706547596036735
0.27,25.31,0.0008050178476429672
0.27,29.53,0.0006422840013955917
0.27,33.75,0.000533057868854922
0.27,37.97,0.00045496318035052885
0.27,42.19,0.0003964847667915423
0.41,0.0,0.8448458650285238
0.41,4.22,0.5548298749808169
0.41,8.44,0.002453601422675767
0.41,12.66,0.0012158982102386852
0.41,16.88,0.0007842738755386144
0.41,21.09,0.0005732647933240128
0.41,25.31,0.00044990561066863725
0.41,29.53,0.00036949188079429124
0.41,33.75,0.0003131126209466591
0.41,37.97,0.00027147515750062596
0.41,42.19,0.00023950534777599032
0.54,0.0,0.7551709034157381
0.54,4.22,0.004263873842614781
0.54,8.44,0.001393672855486422
0.54,12.66,0.0007655901964793062
0.54,16.88,0.0005183926372589316
0.54,21.09,0.0003895651721843815
0.54,25.31,0.00031123815533418153
0.54,29.53,0.0002588050482347494
0.54,33.75,0.0002213303362547473
0.54,37.97,0.00019324847482371442
0.54,42.19,0.0001714391553945423
0.68,0.0,0.5061726804658144
0.68,4.22,0.002593318055424576
0.68,8.44,0.0009594177570825294
0.68,12.66,0.0005557745208409073
0.68,16.88,0.0003862051415584567
0.68,21.09,0.00029465485911069474
0.68,25.31,0.0002377499024477011
0.68,29.53,0.00019907688126647246
0.68,33.75,0.00017113075190866624
0.68,37.97,0.0001500129246595876
0.68,42.19,0.0001335035455170994
0.81,0.0,0.028247813405504894
0.81,4.22,0.001810151343165029
0.81,8.44,0.0007272381830069514
0.81,12.66,0.0004353674650780026
0.81,16.88,0.0003075020008233422
0.81,21.09,0.00023686868176872461
0.81,25.31,0.0001923302752971102
0.81,29.53,0.0001617621950542382
0.81,33.75,0.00013951384300404533
0.81,37.97,0.00012260949439489417
0.81,42.19,0.00010933714201394879
0.95,0.0,0.02055198019062751
0.95,4.22,0.0013736759650847415
0.95,8.44,0.0005838990329799129
0.95,12.66,0.0003575394201254003
0.95,16.88,0.0002553874211738992
0.95,21.09,0.00019803444980233037
0.95,25.31,0.00016150052113912518
0.95,29.53,0.00013625107070012367
0.95,33.75,0.00011778050453390288
0.95,37.97,0.00010369240444993377
0.95,42.19,9.259769556152526e-05
1.08,0.0,0.01541189205278941
1.08,4.22,0.0011002210266388265
1.08,8.44,0.0004869966627601774
1.08,12.66,0.00030318169040147007
1.08,16.88,0.00021836002649631113
1.08,21.09,0.00017015084887809712
1.08,25.31,0.00013920616209897005
1.08,29.53,0.00011770790527454477
1.08,33.75,0.00010192191035351862
1.08,37.97,8.9846877181922e-05
1.08,42.19,8.031611173889898e-05
1.22,0.0,0.01194954642139643
1.22,4.22,0.0009145976750890207
1.22,8.44,0.0004172608867807078
1.22,12.66,0.00026309036870810534
1.22,16.88,0.00019069897234376805
1.22,21.09,0.00014915648493868088
1.22,25.31,0.00012233079054912768
1.22,29.53,0.00010361811995599992
1.22,33.75,8.983707657263655e-05
1.22,37.97,7.927219589181734e-05
1.22,42.19,7.091885801330548e-05
1.35,0.0,0.009561690027961702
1.35,4.22,0.0007810952417973
1.35,8.44,0.0003647373957229089
1.35,12.66,0.0002323040790013269
1.35,16.88,0.00016924584963740478
1.35,21.09,0.00013277489173766282
1.35,25.31,0.00010910923780934554
1.35,29.53,9.254645321434992e-05
1.35,33.75,8.031974467480269e-05
1.35,37.97,7.092968383716423e-05
1.35,42.19,6.349487596874115e-05
