a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.14,0.9585334237998612
0.0,0.27,0.9084433744688263
0.0,0.41,0.8448458650285238
0.0,0.54,0.7551709034157381
0.0,0.68,0.5061726804658144
0.0,0.81,0.028247813402853744
0.0,0.95,0.020551980191428877
0.0,1.08,0.015411892053914886
0.0,1.22,0.011949546421997295
0.0,1.35,0.009561690027961702
0.14,0.0,0.9585334237998612
0.14,0.14,0.9084433744688263
0.14,0.27,0.8448458650285238
0.14,0.41,0.7551709034157374
0.14,0.54,0.506172680495218
0.14,0.68,0.028247813403272246
0.14,0.81,0.020551980190544356
0.14,0.95,0.015411892052930675
0.14,1.08,0.011949546419975096
0.14,1.22,0.009561690025935491
0.14,1.35,0.007863967893662227
0.27,0.0,0.9084433744688263
0.27,0.14,0.8448458650285241
0.27,0.27,0.7551709034157374
0.27,0.41,0.5061726804870111
0.27,0.54,0.02824781340241116
0.27,0.68,0.02055198018866744
0.27,0.81,0.015411892054113622
0.27,0.95,0.011949546419371826
0.27,1.08,0.009561690027203678
0.27,1.22,0.007863967893731737
0.27,1.35,0.006618966376369296
0.41,0.0,0.8448458650285238
0.41,0.14,0.7551709034157374
0.41,0.27,0.5061726805236403
0.41,0.41,0.028247813402981686
0.41,0.54,0.020551980188678997
0.41,0.68,0.015411892053190253
0.41,0.81,0.0119495464196184
0.41,0.95,0.009561690026148996
0.41,1.08,0.007863967893150779
0.41,1.22,0.006618966377212882
0.41,1.35,0.005679400035778546
0.54,0.0,0.7551709034157381
0.54,0.14,0.5061726804939003
0.54,0.27,0.028247813402982165
0.54,0.41,0.02055198018886168
0.54,0.54,0.015411892052499493
0.54,0.68,0.01194954641935256
0.54,0.81,0.009561690026570549
0.54,0.95,0.007863967892609952
0.54,1.08,0.00661896637694608
0.54,1.22,0.00567940003592543
0.54,1.35,0.004952002777272389
0.68,0.0,0.5061726804658144
0.68,0.14,0.028247813402373756
0.68,0.27,0.020551980189885223
0.68,0.41,0.015411892053614535
0.68,0.54,0.011949546419453054
0.68,0.68,0.009561690026699455
0.68,0.81,0.007863967892570945
0.68,0.95,0.0066189663760347515
0.68,1.08,0.005679400035497297
0.68,1.22,0.004952002776681799
0.68,1.35,0.004376134676703103
0.81,0.0,0.028247813405504894
0.81,0.14,0.020551980190197452
0.81,0.27,0.015411892053068893
0.81,0.41,0.011949546420413985
0.81,0.54,0.009561690026448546
0.81,0.68,0.007863967892522625
0.81,0.81,0.00661896637620973
0.81,0.95,0.005679400036187577
0.81,1.08,0.00495200277654583
0.81,1.22,0.004376134676497624
0.81,1.35,0.0039112695664081
0.95,0.0,0.02055198019062751
0.95,0.14,0.015411892053420454
0.95,0.27,0.011949546418908535
0.95,0.41,0.009561690026596393
0.95,0.54,0.007863967892114559
0.95,0.68,0.006618966376246009
0.95,0.81,0.005679400035502594
0.95,0.95,0.004952002776661572
0.95,1.08,0.004376134676237084
0.95,1.22,0.003911269566288827
0.95,1.35,0.0035295971387735913
1.08,0.0,0.01541189205278941
1.08,0.14,0.01194954642015152
1.08,0.27,0.009561690025916067
1.08,0.41,0.00786396789214249
1.08,0.54,0.006618966376370901
1.08,0.68,0.005679400036203469
1.08,0.81,0.004952002776317236
1.08,0.95,0.004376134675828695
1.08,1.08,0.003911269566456741
1.08,1.22,0.003529597138658812
1.08,1.35,0.0032115577588908532
1.22,0.0,0.01194954642139643
1.22,0.14,0.009561690024648684
1.22,0.27,0.007863967893370544
1.22,0.41,0.006618966377214969
1.22,0.54,0.0056794000361516175
1.22,0.68,0.004952002776455452
1.22,0.81,0.004376134676756238
1.22,0.95,0.003911269566582116
1.22,1.08,0.00352959713892465
1.22,1.22,0.0032115577592030844
1.22,1.35,0.002943081789151636
1.35,0.0,0.009561690027961702
1.35,0.14,0.007863967893022997
1.35,0.27,0.006618966377078518
1.35,0.41,0.005679400036428372
1.35,0.54,0.004952002777136901
1.35,0.68,0.004376134676832971
1.35,0.81,0.003911269566108712
1.35,0.95,0.003529597139123547
1.35,1.08,0.0032115577588908532
1.35,1.22,0.002943081808654108
1.35,1.35,0.0027138400606124243
