a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177239
0.0,2.11,0.49274070668695963
0.0,3.16,0.4003981903440512
0.0,4.22,0.3388157969919568
0.0,5.27,0.29439535450604193
0.0,6.33,0.2606582682712718
0.0,7.38,0.2340765158424713
0.0,8.44,0.2125458850192917
0.0,9.49,0.19472553174300655
0.0,10.55,0.17971677007524658
0.14,0.0,0.9585334237998612
0.14,1.05,0.600003343226876
0.14,2.11,0.4406004486528777
0.14,3.16,0.3486456333079254
0.14,4.22,0.28814391097287334
0.14,5.27,0.24525458446412127
0.14,6.33,0.21333960251424572
0.14,7.38,0.18875079846509937
0.14,8.44,0.1692905039447864
0.14,9.49,0.1535448812309729
0.14,10.55,0.14055916020357487
0.27,0.0,0.9084433744688263
0.27,1.05,0.5347320510629016
0.27,2.11,0.36982324845990927
0.27,3.16,0.2753265501504264
0.27,4.22,0.2152741337809893
0.27,5.27,0.17541308272808134
0.27,6.33,0.1480300150995344
0.27,7.38,0.128455932232063
0.27,8.44,0.11385536530368422
0.27,9.49,0.10251626880602764
0.27,10.55,0.09339825985000601
0.41,0.0,0.8448458650285238
0.41,1.05,0.4362549387394695
0.41,2.11,0.22070438863667544
0.41,3.16,0.1190125727876506
0.41,4.22,0.09385439822721524
0.41,5.27,0.08053785281896111
0.41,6.33,0.07153448467994725
0.41,7.38,0.06476453529388601
0.41,8.44,0.05936778342213303
0.41,9.49,0.0549050749170446
0.41,10.55,0.05112100808354591
0.54,0.0,0.7551709034157381
0.54,1.05,0.062002097403142484
0.54,2.11,0.05362137295874437
0.54,3.16,0.04790874027756557
0.54,4.22,0.04363200797966483
0.54,5.27,0.04024405488290687
0.54,6.33,0.03745642607193674
0.54,7.38,0.03510058869430311
0.54,8.44,0.03306996657288875
0.54,9.49,0.031292956671598336
0.54,10.55,0.02971913333163726
0.68,0.0,0.5061726804658144
0.68,1.05,0.035010634046927745
0.68,2.11,0.03092258307299633
0.68,3.16,0.028209307847717045
0.68,4.22,0.026195413125889307
0.68,5.27,0.024593256824837574
0.68,6.33,0.02326186012225874
0.68,7.38,0.022122619297057524
0.68,8.44,0.021127337763393296
0.68,9.49,0.02024429687555014
0.68,10.55,0.019451462640556562
0.81,0.0,0.028247813405504894
0.81,1.05,0.02306814480965005
0.81,2.11,0.02048761156797621
0.81,3.16,0.01889957135654114
0.81,4.22,0.017750670437945582
0.81,5.27,0.016844761417368195
0.81,6.33,0.01609293540839467
0.81,7.38,0.015447912591211579
0.81,8.44,0.014881651512467958
0.81,9.49,0.014376156231464765
0.81,10.55,0.01391916994425146
0.95,0.0,0.02055198019062751
0.95,1.05,0.01641833361320137
0.95,2.11,0.014734231553887587
0.95,3.16,0.013729973232112015
0.95,4.22,0.01301100222465377
0.95,5.27,0.012445860686154515
0.95,6.33,0.011976638862718788
0.95,7.38,0.011573105246708515
0.95,8.44,0.011217578558430958
0.95,9.49,0.010898840918597389
0.95,10.55,0.010609326353536477
1.08,0.0,0.01541189205278941
1.08,1.05,0.012375939181051706
1.08,2.11,0.011234061121241699
1.08,3.16,0.010560090020716568
1.08,4.22,0.010078871759870265
1.08,5.27,0.009700556964229426
1.08,6.33,0.009385939340104467
1.08,7.38,0.009114687092625601
1.08,8.44,0.008874974424801606
1.08,9.49,0.008659335577442926
1.08,10.55,0.00846275836959133
1.22,0.0,0.01194954642139643
1.22,1.05,0.009750827058701608
1.22,2.11,0.008944771725818675
1.22,3.16,0.008469478624541437
1.22,4.22,0.00812989567344613
1.22,5.27,0.007862539064381105
1.22,6.33,0.007639753656748653
1.22,7.38,0.00744722277585824
1.22,8.44,0.007276635296640867
1.22,9.49,0.0071227552980799936
1.22,10.55,0.0069820753860554705
1.35,0.0,0.009561690027961702
1.35,1.05,0.007950885466048694
1.35,2.11,0.0073603818744484096
1.35,3.16,0.007011113472409909
1.35,4.22,0.006761081311628374
1.35,5.27,0.006563866358810872
1.35,6.33,0.006399209696618874
1.35,7.38,0.006256618703300196
1.35,8.44,0.006130004115024118
1.35,9.49,0.0060155327836820816
1.35,10.55,0.005910639800214538
