a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.14,0.9585334237998612
0.0,0.27,0.9084433744688263
0.0,0.41,0.8448458650285238
0.0,0.54,0.7551709034157381
0.0,0.68,0.5061726804658144
0.0,0.81,0.028247813405059104
0.0,0.95,0.02055198019062751
0.0,1.08,0.01541189205278941
0.0,1.22,0.01194954642139643
0.0,1.35,0.009561690027961702
0.29,0.0,0.9565746237078314
0.29,0.14,0.906123446510571
0.29,0.27,0.8419837575361164
0.29,0.41,0.7513139677150849
0.29,0.54,0.47424728947995937
0.29,0.68,0.033672057426694026
0.29,0.81,0.023856774463000392
0.29,0.95,0.01755296581357411
0.29,1.08,0.013397939125078195
0.29,1.22,0.010581097676758168
0.29,1.35,0.008607823140587239
0.59,0.0,0.9037903596459581
0.59,0.14,0.8391045751893964
0.59,0.27,0.7474358544621168
0.59,0.41,0.437754581854156
0.59,0.54,0.04106405322233157
0.59,0.68,0.02816302524500843
0.59,0.81,0.020261907926248355
0.59,0.95,0.015185907107120275
0.59,1.08,0.01181278231991362
0.59,1.22,0.009490044990786177
0.59,1.35,0.007833384725449958
0.88,0.0,0.8362084970569079
0.88,0.14,0.7435379841815934
0.88,0.27,0.42254127861271606
0.88,0.41,0.051257389361290914
0.88,0.54,0.03386548105428538
0.88,0.68,0.02374716255026291
0.88,0.81,0.01742768130629499
0.88,0.95,0.01332148515710633
0.88,1.08,0.010548778890290851
0.88,1.22,0.008604587904654676
0.88,1.35,0.007193140821180825
1.17,0.0,0.7396219249744318
1.17,0.14,0.4351871728805232
1.17,0.27,0.06506103189661827
1.17,0.41,0.04146685199045343
1.17,0.54,0.02829614960603856
1.17,0.68,0.02028310936877839
1.17,0.81,0.015196867553716584
1.17,0.95,0.011835848018694382
1.17,1.08,0.00952404039825603
1.17,1.22,0.007873453814701182
1.17,1.35,0.006655158404664119
1.47,0.0,0.4526354541391884
1.47,0.14,0.08250779812531221
1.47,0.27,0.05144362576850157
1.47,0.41,0.03427491013184467
1.47,0.54,0.023972026619573004
1.47,0.68,0.017563549273043
1.47,0.81,0.013422408566679566
1.47,0.95,0.010633649463411833
1.47,1.08,0.008679470345668105
1.47,1.22,0.0072601765065602696
1.47,1.35,0.0061965981387436244
1.76,0.0,0.10228369481227681
1.76,0.14,0.06386702612091892
1.76,0.27,0.042056160342790486
1.76,0.41,0.028779699762586323
1.76,0.54,0.020592960203917467
1.76,0.68,0.015406722499765194
1.76,0.81,0.011990471646794242
1.76,0.95,0.009645414581073344
1.76,1.08,0.00797272686000736
1.76,1.22,0.006738536664902467
1.76,1.35,0.005800835321154711
2.05,0.0,0.0780304580468136
2.05,0.14,0.05179453077549129
2.05,0.27,0.0350226991662769
2.05,0.41,0.024511698466669587
2.05,0.54,0.017923854487174637
2.05,0.68,0.013672760794321476
2.05,0.81,0.010817493694904704
2.05,0.95,0.008821021988670772
2.05,1.08,0.007373210391866738
2.05,1.22,0.006289377933907379
2.05,1.35,0.005455543128767143
2.34,0.0,0.06311472554285524
2.34,0.14,0.042916931843396226
2.34,0.27,0.029589035816381046
2.34,0.41,0.021154674962753806
2.34,0.54,0.015787802694619817
2.34,0.68,0.012258623733348968
2.34,0.81,0.009842839124591753
2.34,0.95,0.00812408118331757
2.34,1.08,0.006858486881316128
2.34,1.22,0.005898459176452185
2.34,1.35,0.005151416081228995
2.64,0.0,0.05233191249031764
2.64,0.14,0.03606471037641928
2.64,0.27,0.025324594717085227
2.64,0.41,0.018480345314203468
2.64,0.54,0.014054704950849197
2.64,0.68,0.011089231137917365
2.64,0.81,0.009022312293130158
2.64,0.95,0.007527833330645213
2.64,1.08,0.006411840995326122
2.64,1.22,0.005555010770306186
2.64,1.35,0.004881310289259612
2.93,0.0,0.043977165573886055
2.93,0.14,0.030667784641608454
2.93,0.27,0.02193648583018965
2.93,0.41,0.01632198725915396
2.93,0.54,0.012629532119659538
2.93,0.68,0.010109698606486436
2.93,0.81,0.008323341381924022
2.93,0.95,0.007012306803106619
2.93,1.08,0.0060206150725895784
2.93,1.22,0.0052507555367729015
2.93,1.35,0.00463965558387376
