a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177239
0.0,2.11,0.49274070668695996
0.0,3.16,0.40039819034405105
0.0,4.22,0.33881579699195646
0.0,5.27,0.2943953545060416
0.0,6.33,0.2606582682712718
0.0,7.38,0.2340765158424713
0.0,8.44,0.21254588501929153
0.0,9.49,0.19472553174300591
0.0,10.55,0.179716770075244
0.29,0.0,0.9565746237078314
0.29,1.05,0.5988803128713018
0.29,2.11,0.4412562146080392
0.29,3.16,0.3513404097186001
0.29,4.22,0.2928496855650572
0.29,5.27,0.25175572013173564
0.29,6.33,0.2213276381708506
0.29,7.38,0.19789712842535973
0.29,8.44,0.17929156834073862
0.29,9.49,0.16414484925991116
0.29,10.55,0.15155701018015952
0.59,0.0,0.9037903596459581
0.59,1.05,0.5332294237485887
0.59,2.11,0.3757110147336698
0.59,3.16,0.29017905952762657
0.59,4.22,0.23791345966004324
0.59,5.27,0.20323346983121757
0.59,6.33,0.17864114494409075
0.59,7.38,0.16024919136308183
0.59,8.44,0.1459036181546736
0.59,9.49,0.13433447533571746
0.59,10.55,0.1247503179061519
0.88,0.0,0.8362084970569079
0.88,1.05,0.4407712397180106
0.88,2.11,0.2844672039357467
0.88,3.16,0.21445804055567305
0.88,4.22,0.17752791262715029
0.88,5.27,0.15444292102918092
0.88,6.33,0.13826888499704823
0.88,7.38,0.12606152120335176
0.88,8.44,0.11636505467299306
0.88,9.49,0.10837290606333527
0.88,10.55,0.10159913280969714
1.17,0.0,0.7396219249744318
1.17,1.05,0.26436141386485473
1.17,2.11,0.17522220836410576
1.17,3.16,0.1454388515932753
1.17,4.22,0.12810599576776974
1.17,5.27,0.11600466500782616
1.17,6.33,0.1067459102762862
1.17,7.38,0.09925735179274382
1.17,8.44,0.09297007686764008
1.17,9.49,0.08754841995842473
1.17,10.55,0.0827791800813427
1.47,0.0,0.4526354541391884
1.47,1.05,0.1318830332393539
1.47,2.11,0.11554736490248758
1.47,3.16,0.10466014317525175
1.47,4.22,0.09642244877824882
1.47,5.27,0.08976313731978003
1.47,6.33,0.08415516822861975
1.47,7.38,0.0793002370918102
1.47,8.44,0.07501342466876793
1.47,9.49,0.0711724474074996
1.47,10.55,0.06769239094557998
1.76,0.0,0.10228369481227681
1.76,1.05,0.09333025919401051
1.76,2.11,0.08632861486534384
1.76,3.16,0.08057782478947473
1.76,4.22,0.07567996072920703
1.76,5.27,0.07140439396516172
1.76,6.33,0.06760624314602831
1.76,7.38,0.06418850300363592
1.76,8.44,0.061082924674683646
1.76,9.49,0.05823954684266083
1.76,10.55,0.05562057753338167
2.05,0.0,0.0780304580468136
2.05,1.05,0.07263218860427574
2.05,2.11,0.068152890142523
2.05,3.16,0.06429627168662327
2.05,4.22,0.060888832778707526
2.05,5.27,0.057830273096011554
2.05,6.33,0.05505502402927346
2.05,7.38,0.052516774478645896
2.05,8.44,0.05018107352572831
2.05,9.49,0.048021307750636275
2.05,10.55,0.04601631137472027
2.34,0.0,0.06311472554285524
2.34,1.05,0.05866654249178124
2.34,2.11,0.055250332320097066
2.34,3.16,0.05235064483755678
2.34,4.22,0.049787163136249535
2.34,5.27,0.047475780479692656
2.34,6.33,0.04536732954230961
2.34,7.38,0.043428954701775054
2.34,8.44,0.04163679551757356
2.34,9.49,0.03997254572671698
2.34,10.55,0.038421612551692755
2.64,0.0,0.05233191249031764
2.64,1.05,0.0483202317676586
2.64,2.11,0.04554232996774553
2.64,3.16,0.04325750636816556
2.64,4.22,0.04126066220627049
2.64,5.27,0.0394673474228394
2.64,6.33,0.03783261919320078
2.64,7.38,0.03632843389283988
2.64,8.44,0.03493537890627049
2.64,9.49,0.03363903763817117
2.64,10.55,0.032428164466805416
2.93,0.0,0.043977165573886055
2.93,1.05,0.04035244424955229
2.93,2.11,0.038051825066449524
2.93,3.16,0.03621711651331062
2.93,4.22,0.03463483457300124
2.93,5.27,0.03322218810332508
2.93,6.33,0.03193742011803275
2.93,7.38,0.030755680118223924
2.93,8.44,0.02966043515601436
2.93,9.49,0.028639792681867778
2.93,10.55,0.027684704383319964
