a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439889
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983081
0.0,21.09,0.3069665382387437
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750166
0.0,37.97,0.19463130799995385
0.0,42.19,0.17865447216723856
1.05,0.0,0.6512145775177239
1.05,4.22,0.3327144312252481
1.05,8.44,0.17000103125366056
1.05,12.66,0.11486688455600103
1.05,16.88,0.08655254379444559
1.05,21.09,0.06824320615414738
1.05,25.31,0.05488236597625549
1.05,29.53,0.0446620850064852
1.05,33.75,0.03675086423554019
1.05,37.97,0.030611540366035587
1.05,42.19,0.02582943510431023
2.11,0.0,0.49274070668695996
2.11,4.22,0.18547013988847286
2.11,8.44,0.09321559399896301
2.11,12.66,0.05996014665502353
2.11,16.88,0.040940901916015
2.11,21.09,0.02915957207996361
2.11,25.31,0.02171458461222936
2.11,29.53,0.01685354943920084
2.11,33.75,0.013548152657767291
2.11,37.97,0.011208528079108855
2.11,42.19,0.009491613865888763
3.16,0.0,0.40039819034405133
3.16,4.22,0.12584284667048307
3.16,8.44,0.06099780088464974
3.16,12.66,0.03518165836368291
3.16,16.88,0.022352838839799858
3.16,21.09,0.015544698399043376
3.16,25.31,0.011598881383246499
3.16,29.53,0.009115754054370385
3.16,33.75,0.007444365710461182
3.16,37.97,0.006257786194697448
3.16,42.19,0.005379026052740277
4.22,0.0,0.3388157969919563
4.22,4.22,0.09431516270939148
4.22,8.44,0.04179725470726063
4.22,12.66,0.02243487438957587
4.22,16.88,0.014105545384432703
4.22,21.09,0.009926038851912716
4.22,25.31,0.007529284641980303
4.22,29.53,0.006011597101144243
4.22,33.75,0.004978006525875531
4.22,37.97,0.004234655511921277
4.22,42.19,0.0036771624698883464
5.27,0.0,0.29439535450604193
5.27,4.22,0.0740271031140907
5.27,8.44,0.029714341816272714
5.27,12.66,0.015592930580258348
5.27,16.88,0.009925694389132761
5.27,21.09,0.007103174827552415
5.27,25.31,0.005468979446552561
5.27,29.53,0.004420544359434175
5.27,33.75,0.003697342996939799
5.27,37.97,0.003171191734690229
5.27,42.19,0.002772570679211733
6.33,0.0,0.2606582682712718
6.33,4.22,0.05926834034862856
6.33,8.44,0.022051761931228545
6.33,12.66,0.011617244036350607
6.33,16.88,0.007522179717211546
6.33,21.09,0.005464670044882271
6.33,25.31,0.004257342075331957
6.33,29.53,0.003472955374422234
6.33,33.75,0.002925980756092667
6.33,37.97,0.0025243575598700354
6.33,42.19,0.002217694582863048
7.38,0.0,0.23407651584247147
7.38,4.22,0.04797333359404506
7.38,8.44,0.017057291339316674
7.38,12.66,0.009116417295289152
7.38,16.88,0.005999898919366955
7.38,21.09,0.004413138949702863
7.38,25.31,0.0034699369478306
7.38,29.53,0.0028504776282985565
7.38,33.75,0.0024146596955189584
7.38,37.97,0.002092307066806561
7.38,42.19,0.0018446691566304713
8.44,0.0,0.2125458850192912
8.44,4.22,0.039235755311148555
8.44,8.44,0.013672602783671226
8.44,12.66,0.00743542603541036
8.44,16.88,0.004963889511669976
8.44,21.09,0.0036881644887084147
8.44,25.31,0.002921108499883831
8.44,29.53,0.0024127320496194872
8.44,33.75,0.0020524622358477507
8.44,37.97,0.0017844186760501892
8.44,42.19,0.0015775033689978523
9.49,0.0,0.19472553174300544
9.49,4.22,0.03247760574013564
9.49,8.44,0.011285375409023307
9.49,12.66,0.006243891371591813
9.49,16.88,0.004219516244093842
9.49,21.09,0.003161138125256999
9.49,25.31,0.0025184174617469803
9.49,29.53,0.002089180313859918
9.49,33.75,0.0017831669919486904
9.49,37.97,0.0015543954166051795
9.49,42.19,0.0013771016101988129
10.55,0.0,0.1797167700752424
10.55,4.22,0.027241542594330297
10.55,8.44,0.00953922194326279
10.55,12.66,0.005362773598160662
10.55,16.88,0.003661816167807882
10.55,21.09,0.002762196296910288
10.55,25.31,0.002211186307500649
10.55,29.53,0.0018408139326880528
10.55,33.75,0.0015754416395381658
10.55,37.97,0.0013762610378642418
10.55,42.19,0.0012213987094326878
