a1,a2,growth
0.0,0.0,1.0
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263855
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874404
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110435
0.0,33.75,0.2138893569375015
0.0,37.97,0.19463130799995318
0.0,42.19,0.1786544721672392
4.22,0.0,0.7743326972356632
4.22,4.22,0.5156976695539685
4.22,8.44,0.3282376191828625
4.22,12.66,0.2501635465743247
4.22,16.88,0.20946611556789965
4.22,21.09,0.18383867094074954
4.22,25.31,0.16578709795951369
4.22,29.53,0.15213070439286994
4.22,33.75,0.14128246997724608
4.22,37.97,0.13235585798566074
4.22,42.19,0.12481293220928372
8.44,0.0,0.5686224951439891
8.44,4.22,0.3282376191828626
8.44,8.44,0.2184346364785347
8.44,12.66,0.1758674233724023
8.44,16.88,0.15297560587829273
8.44,21.09,0.13821161408254146
8.44,25.31,0.12761675340384263
8.44,29.53,0.11946693601416397
8.44,33.75,0.1128874117213544
8.44,37.97,0.10738498997530804
8.44,42.19,0.10265920569950697
12.66,0.0,0.4408752593263852
12.66,4.22,0.2501635465743249
12.66,8.44,0.17586742337240485
12.66,12.66,0.1455296037855666
12.66,16.88,0.1287904267295217
12.66,21.09,0.11787055140630667
12.66,25.31,0.10998396902391279
12.66,29.53,0.10388893207609805
12.66,33.75,0.09894741130478342
12.66,37.97,0.0947972291502269
12.66,42.19,0.09121702648887402
16.88,0.0,0.3611335247983083
16.88,4.22,0.20946611556789949
16.88,8.44,0.15297560587830974
16.88,12.66,0.12879042672941687
16.88,16.88,0.11517008601240046
16.88,21.09,0.10620048202768136
16.88,25.31,0.09969137657870875
16.88,29.53,0.0946481168057365
16.88,33.75,0.09055353967099197
16.88,37.97,0.08711168729245045
16.88,42.19,0.08414063348484785
21.09,0.0,0.30696653823874404
21.09,4.22,0.18383867094075068
21.09,8.44,0.13821161408261562
21.09,12.66,0.11787055140633701
21.09,16.88,0.10620048202733637
21.09,21.09,0.09844459385102325
21.09,25.31,0.09279031356847417
21.09,29.53,0.0884001148115508
21.09,33.75,0.08483329604864238
21.09,37.97,0.0818354137874828
21.09,42.19,0.07924899487949694
25.31,0.0,0.26761376584393937
25.31,4.22,0.16578709795950597
25.31,8.44,0.12761675340404602
25.31,12.66,0.10998396902395276
25.31,16.88,0.09969137657870072
25.31,21.09,0.0927903135680043
25.31,25.31,0.08773669944689141
25.31,29.53,0.08380508812472304
25.31,33.75,0.08060920126932083
25.31,37.97,0.07792401945151135
25.31,42.19,0.07560931412434253
29.53,0.0,0.23760459314110435
29.53,4.22,0.15213070439284987
29.53,8.44,0.11946693601413877
29.53,12.66,0.10388893207588454
29.53,16.88,0.0946481168055612
29.53,21.09,0.08840011481174184
29.53,25.31,0.08380508812494104
29.53,29.53,0.08022335471987105
29.53,33.75,0.07731035764814553
29.53,37.97,0.0748636429246322
29.53,42.19,0.0727562051290346
33.75,0.0,0.2138893569375015
33.75,4.22,0.14128246997727179
33.75,8.44,0.11288741172130963
33.75,12.66,0.0989474113051541
33.75,16.88,0.09055353967054376
33.75,21.09,0.08483329604833818
33.75,25.31,0.08060920126937879
33.75,29.53,0.07731035764758239
33.75,33.75,0.07462585287230443
33.75,37.97,0.07237150273931219
33.75,42.19,0.07043104270051753
37.97,0.0,0.19463130799995318
37.97,4.22,0.1323558579856243
37.97,8.44,0.10738498997511121
37.97,12.66,0.09479722915033027
37.97,16.88,0.08711168729230163
37.97,21.09,0.08183541378865836
37.97,25.31,0.07792401945229041
37.97,29.53,0.07486364292395059
37.97,33.75,0.07237150273936756
37.97,37.97,0.07027879115077476
37.97,42.19,0.06847833285424362
42.19,0.0,0.17865447216724
42.19,4.22,0.1248129322093558
42.19,8.44,0.10265920569956043
42.19,12.66,0.0912170264892654
42.19,16.88,0.08414063348449372
42.19,21.09,0.07924899487935246
42.19,25.31,0.07560931412473133
42.19,29.53,0.07275620513086754
42.19,33.75,0.07043104270150623
42.19,37.97,0.06847833285442374
42.19,42.19,0.06679882375507325
