a1,a2,growth
0.0,0.0,1.0
0.0,0.29,0.9565746237078318
0.0,0.59,0.9037903596459588
0.0,0.88,0.8362084970569079
0.0,1.17,0.7396219249744321
0.0,1.47,0.45263545418007173
0.0,1.76,0.10228369481222897
0.0,2.05,0.07803045804741736
0.0,2.34,0.06311472554277386
0.0,2.64,0.05233191249069681
0.0,2.93,0.043977165575290376
0.29,0.0,0.9565746237078318
0.29,0.29,0.9133215141279778
0.29,0.59,0.8600043302186132
0.29,0.88,0.7899830087814074
0.29,1.17,0.6829012886892575
0.29,1.47,0.08358469087467361
0.29,1.76,0.07024913583158487
0.29,2.05,0.062074790578325975
0.29,2.34,0.05605284158476829
0.29,2.64,0.051227259529315027
0.29,2.93,0.04718192191453266
0.59,0.0,0.9037903596459584
0.59,0.29,0.8600043302186136
0.59,0.59,0.8048794649678611
0.59,0.88,0.7292985517953632
0.59,1.17,0.5927413334246942
0.59,1.47,0.06562632224725541
0.59,1.76,0.06066631985564444
0.59,2.05,0.05668278225391648
0.59,2.34,0.05332005507334902
0.59,2.64,0.05039385082378613
0.59,2.93,0.04779712724761639
0.88,0.0,0.8362084970569073
0.88,0.29,0.7899830087814077
0.88,0.59,0.7292985517953618
0.88,0.88,0.6364180442468254
0.88,1.17,0.06413014820521107
0.88,1.47,0.06011243258508775
0.88,1.76,0.05686846283151607
0.88,2.05,0.054136263039506353
0.88,2.34,0.051754840924245184
0.88,2.64,0.04963309731188692
0.88,2.93,0.0477138431060819
1.17,0.0,0.7396219249744321
1.17,0.29,0.6829012886892571
1.17,0.59,0.5927413334246935
1.17,0.88,0.0641301482046993
1.17,1.17,0.059988750759799196
1.17,1.47,0.05696725302921553
1.17,1.76,0.054516432971643346
1.17,2.05,0.05241969073662131
1.17,2.34,0.05057068841317337
1.17,2.64,0.04890749953650656
1.17,2.93,0.04739007460524402
1.47,0.0,0.4526354541320763
1.47,0.29,0.08358469087476303
1.47,0.59,0.0656263222469886
1.47,0.88,0.060112432584758346
1.47,1.17,0.05696725303010165
1.47,1.47,0.05463811180102431
1.47,1.76,0.052713997888906884
1.47,2.05,0.05104446586375846
1.47,2.34,0.049556624922129366
1.47,2.64,0.04820715640954895
1.47,2.93,0.04696723197054093
1.76,0.0,0.10228369481231854
1.76,0.29,0.07024913583140299
1.76,0.59,0.06066631985471513
1.76,0.88,0.056868462832075514
1.76,1.17,0.054516432972588076
1.76,1.47,0.05271399788830185
1.76,1.76,0.05119307657658401
1.76,2.05,0.04985125508466684
1.76,2.34,0.048639579715893846
1.76,2.64,0.047529095034465174
1.76,2.93,0.046500118744602435
2.05,0.0,0.07803045804671424
2.05,0.29,0.06207479057973816
2.05,0.59,0.056682782255122875
2.05,0.88,0.05413626303893391
2.05,1.17,0.05241969073364316
2.05,1.47,0.05104446586325792
2.05,1.76,0.049851255082787836
2.05,2.05,0.0487763548934116
2.05,2.34,0.04778936439807024
2.05,2.64,0.0468726086889227
2.05,2.93,0.04601395277813577
2.34,0.0,0.06311472554341357
2.34,0.29,0.056052841584903125
2.34,0.59,0.053320055076123786
2.34,0.88,0.05175484092451439
2.34,1.17,0.05057068841389993
2.34,1.47,0.04955662492243709
2.34,1.76,0.04863957971618538
2.34,2.05,0.04778936440337977
2.34,2.34,0.04699150390298408
2.34,2.64,0.04623762417272347
2.34,2.93,0.045521817129072266
2.64,0.0,0.05233191249049134
2.64,0.29,0.051227259529158506
2.64,0.59,0.0503938508251866
2.64,0.88,0.04963309731151047
2.64,1.17,0.04890749953404853
2.64,1.47,0.048207156408508076
2.64,1.76,0.04752909503698903
2.64,2.05,0.046872608696395375
2.64,2.34,0.0462376241743909
2.64,2.64,0.045623951612615156
2.64,2.93,0.045030998315326566
2.93,0.0,0.043977165574292036
2.93,0.29,0.04718192191325212
2.93,0.59,0.047797127245412956
2.93,0.88,0.04771384310528149
2.93,1.17,0.047390074604998084
2.93,1.47,0.04696723197145788
2.93,1.76,0.046500118745230426
2.93,2.05,0.046013952778213144
2.93,2.34,0.04552181713008056
2.93,2.64,0.04503099831259419
2.93,2.93,0.04454563966550929
