a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439889
0.0,12.66,0.4408752593263855
0.0,16.88,0.36113352479830796
0.0,21.09,0.30696653823874387
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110435
0.0,33.75,0.21388935693750133
0.0,37.97,0.194631307999954
0.0,42.19,0.1786544721672376
0.29,0.0,0.9565746237078314
0.29,4.22,0.7230731884800518
0.29,8.44,0.5028832652986092
0.29,12.66,0.36592883952747113
0.29,16.88,0.2781625479951355
0.29,21.09,0.21387266371482797
0.29,25.31,0.012894611544969129
0.29,29.53,0.008551441586160025
0.29,33.75,0.006289807457486268
0.29,37.97,0.004919944034107554
0.29,42.19,0.004012540969449197
0.59,0.0,0.9037903596459584
0.59,4.22,0.6541764486846976
0.59,8.44,0.3879875487023573
0.59,12.66,0.010154136687260748
0.59,16.88,0.0057221175287475315
0.59,21.09,0.0038296396959737015
0.59,25.31,0.002831276326142018
0.59,29.53,0.0022281137664962674
0.59,33.75,0.0018289462279606624
0.59,37.97,0.0015471544764015337
0.59,42.19,0.001338474528481394
0.88,0.0,0.8362084970569076
0.88,4.22,0.5360148651854075
0.88,8.44,0.009037972356008533
0.88,12.66,0.00439557762583794
0.88,16.88,0.002764502763968963
0.88,21.09,0.0019831793117130146
0.88,25.31,0.0015353443900824187
0.88,29.53,0.0012481400756054483
0.88,33.75,0.0010494193046078578
0.88,37.97,0.00090423155071054
0.88,42.19,0.0007937420904941284
1.17,0.0,0.7396219249744321
1.17,4.22,0.015791538994141922
1.17,8.44,0.005092486398617616
1.17,12.66,0.00270099489373999
1.17,16.88,0.0017868646098018867
1.17,21.09,0.001322299729764314
1.17,25.31,0.0010451319296376851
1.17,29.53,0.0008622292334805705
1.17,33.75,0.0007329513487647064
1.17,37.97,0.0006369300106949169
1.17,42.19,0.0005628916088810834
1.47,0.0,0.4526354541926558
1.47,4.22,0.009859488214759581
1.47,8.44,0.003440906738040465
1.47,12.66,0.001926214203948296
1.47,16.88,0.0013120815864186772
1.47,21.09,0.00098836067170639
1.47,25.31,0.0007904999012218111
1.47,29.53,0.0006576840018934517
1.47,33.75,0.0005626098050635927
1.47,37.97,0.0004912984112778857
1.47,42.19,0.00043588302674994
1.76,0.0,0.10228369481227746
1.76,4.22,0.006841318767728555
1.76,8.44,0.002566698424755463
1.76,12.66,0.001489791461088143
1.76,16.88,0.0010343225553635159
1.76,21.09,0.0007881584573548052
1.76,25.31,0.0006352304616962785
1.76,29.53,0.0005313965773592757
1.76,33.75,0.0004564377496187643
1.76,37.97,0.0003998470680792004
1.76,42.19,0.000355643345435039
2.05,0.0,0.07803045804692968
2.05,4.22,0.005122603425892746
2.05,8.44,0.002034661971776096
2.05,12.66,0.0012119436988191977
2.05,16.88,0.000852801240899668
2.05,21.09,0.0006551142171188507
2.05,25.31,0.0005308456999526067
2.05,29.53,0.0004457746070433846
2.05,33.75,0.0003839879674100511
2.05,37.97,0.0003371245651868522
2.05,42.19,0.0003003841179286976
2.34,0.0,0.06311472554293295
2.34,4.22,0.004046216128993328
2.34,8.44,0.0016798428826152556
2.34,12.66,0.0010202283551429127
2.34,16.88,0.0007251267102087594
2.34,21.09,0.0005603909303759999
2.34,25.31,0.0004559014581475966
2.34,29.53,0.00038392401169471085
2.34,33.75,0.00033140803682864614
2.34,37.97,0.0002914368803175246
2.34,42.19,0.00026001340056551583
2.64,0.0,0.05233191248891814
2.64,4.22,0.0033213694408208735
2.64,8.44,0.0014275412046935566
2.64,12.66,0.0008802161489525048
2.64,16.88,0.0006305074991102535
2.64,21.09,0.0004895412293271121
2.64,25.31,0.00039948969582583667
2.64,29.53,0.0003371527836862471
2.64,33.75,0.0002915074801921104
2.64,37.97,0.00025667076271256896
2.64,42.19,0.00022922479601448565
2.93,0.0,0.04397716557594694
2.93,4.22,0.002805430495660422
2.93,8.44,0.0012394797872278586
2.93,12.66,0.0007735722968193802
2.93,16.88,0.0005575980927327974
2.93,21.09,0.00043455181562930745
2.93,25.31,0.00035548949256478156
2.93,29.53,0.0003005409075045801
2.93,33.75,0.000260188636737808
2.93,37.97,0.00022932359243084844
2.93,42.19,0.00020496453969014826
