a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.29,0.9565746237078314
0.0,0.59,0.9037903596459584
0.0,0.88,0.8362084970569079
0.0,1.17,0.7396219249744315
0.0,1.47,0.45263545416685075
0.0,1.76,0.102283694812176
0.0,2.05,0.07803045804653717
0.0,2.34,0.06311472554483234
0.0,2.64,0.0523319124918894
0.0,2.93,0.04397716557693565
0.29,0.0,0.9565746237078314
0.29,0.29,0.9132287872140961
0.29,0.59,0.8597620519024659
0.29,0.88,0.7894334520081893
0.29,1.17,0.6812368454437709
0.29,1.47,0.00261173268301783
0.29,1.76,0.0017741632088315068
0.29,2.05,0.0012586537674482445
0.29,2.34,0.0009551161235096169
0.29,2.64,0.0007625981346669191
0.29,2.93,0.0006317995991273024
0.59,0.0,0.9037903596459584
0.59,0.29,0.8597620519024656
0.59,0.59,0.8042277067830494
0.59,0.88,0.727695544761042
0.59,1.17,0.5843890884470279
0.59,1.47,0.0010505232614139634
0.59,1.76,0.0007050112651869439
0.59,2.05,0.0005180089448639422
0.59,2.34,0.0004058864454383547
0.59,2.64,0.00033234650051033323
0.59,2.93,0.00028080106416141946
0.88,0.0,0.8362084970569076
0.88,0.29,0.7894334520081896
0.88,0.59,0.7276955447610417
0.88,0.88,0.6312121419504514
0.88,1.17,0.0009201012584497639
0.88,1.47,0.000581497502816672
0.88,1.76,0.0004066272989155595
0.88,2.05,0.00030845269976180343
0.88,2.34,0.0002470456157693682
0.88,2.64,0.00020545849370039775
0.88,2.93,0.0001756004714062224
1.17,0.0,0.7396219249744321
1.17,0.29,0.6812368454437709
1.17,0.59,0.5843890884470279
1.17,0.88,0.0009201012585223234
1.17,1.17,0.000558452853018115
1.17,1.47,0.00037322663742941393
1.17,1.76,0.0002729146318913388
1.17,2.05,0.00021271395931153826
1.17,2.34,0.000173370340757457
1.17,2.64,0.00014592713661159258
1.17,2.93,0.0001258076122665867
1.47,0.0,0.4526354541926558
1.47,0.29,0.0026117326830581234
1.47,0.59,0.0010505232614471931
1.47,0.88,0.000581497502816351
1.47,1.17,0.0003732266374342298
1.47,1.47,0.00026382529302727966
1.47,1.76,0.00019982736206561606
1.47,2.05,0.0001591729184094643
1.47,2.34,0.0001315800629442547
1.47,2.64,0.00011183356525220515
1.47,2.93,9.709207256169558e-05
1.76,0.0,0.10228369481227746
1.76,0.29,0.001774163208875813
1.76,0.59,0.0007050112652129499
1.76,0.88,0.0004066272989145963
1.76,1.17,0.0002729146318870045
1.76,1.47,0.00019982736206256601
1.76,1.76,0.00015511662442297547
1.76,2.05,0.00012561736245495403
1.76,2.34,0.00010501687246462645
1.76,2.64,8.996579852792394e-05
1.76,2.93,7.855802393436832e-05
2.05,0.0,0.07803045804692968
2.05,0.29,0.0012586537674442312
2.05,0.59,0.0005180089448639422
2.05,0.88,0.00030845269975987707
2.05,1.17,0.00021271395930961193
2.05,1.47,0.0001591729184073774
2.05,1.76,0.00012561736245864623
2.05,2.05,0.00010296646444984167
2.05,2.34,8.6837152148894e-05
2.05,2.64,7.486790845239473e-05
2.05,2.93,6.568561418649789e-05
2.34,0.0,0.06311472554293295
2.34,0.29,0.0009551161234877848
2.34,0.59,0.0004058864454457391
2.34,0.88,0.00024704561577482625
2.34,1.17,0.00017337034075617274
2.34,1.47,0.00013158006294826795
2.34,1.76,0.00010501687246847919
2.34,2.05,8.683715215033876e-05
2.34,2.34,7.372576184458785e-05
2.34,2.64,6.388772257093617e-05
2.34,2.93,5.627058986975599e-05
2.64,0.0,0.05233191248891814
2.64,0.29,0.0007625981346757482
2.64,0.59,0.0003323465005204466
2.64,0.88,0.0002054584937002372
2.64,1.17,0.00014592713661351893
2.64,1.47,0.0001118335652520446
2.64,1.76,8.996579852647916e-05
2.64,2.05,7.486790845191313e-05
2.64,2.34,6.388772257045458e-05
2.64,2.64,5.558523888907458e-05
2.64,2.93,4.9113281708167626e-05
2.93,0.0,0.04397716557594694
2.93,0.29,0.0006317995991162258
2.93,0.59,0.00028080106416591424
2.93,0.88,0.00017560047140879087
2.93,1.17,0.00012580761226578408
2.93,1.47,9.709207256073242e-05
2.93,1.76,7.855802393404725e-05
2.93,2.05,6.56856141860163e-05
2.93,2.34,5.6270589869595465e-05
2.93,2.64,4.911328170720444e-05
2.93,2.93,4.350645641062976e-05
