a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.86,0.9143952828123175
0.0,1.73,0.8119090777218179
0.0,2.59,0.6828967534657915
0.0,3.46,0.5072609648798206
0.0,4.32,0.29588650165975655
0.0,5.19,0.17787740446624734
0.0,6.05,0.12345925767428512
0.0,6.91,0.09193381695163516
0.0,7.78,0.0697694856803486
0.0,8.64,0.0523351655442897
0.86,0.0,0.9143952828123175
0.86,0.86,0.8271125415170572
0.86,1.73,0.7184826965448415
0.86,2.59,0.5710151176807697
0.86,3.46,0.3358200130645969
0.86,4.32,0.14317389049753382
0.86,5.19,0.0822566727369938
0.86,6.05,0.04997570118420355
0.86,6.91,0.0305157559564133
0.86,7.78,0.01939270235904545
0.86,8.64,0.013042103301090924
1.73,0.0,0.8119090777218179
1.73,0.86,0.7184826965448415
1.73,1.73,0.5929822203062483
1.73,2.59,0.3770405231796966
1.73,3.46,0.10611995606654676
1.73,4.32,0.05394833639310298
1.73,5.19,0.029429759635447136
1.73,6.05,0.017176223056304087
1.73,6.91,0.010894436809674418
1.73,7.78,0.007437957561612838
1.73,8.64,0.005383978878742557
2.59,0.0,0.6828967534657915
2.59,0.86,0.5710151176807702
2.59,1.73,0.37704052317969544
2.59,2.59,0.0942463156043895
2.59,3.46,0.044215927182551205
2.59,4.32,0.02276722761873272
2.59,5.19,0.012954609892341299
2.59,6.05,0.008150463775131124
2.59,6.91,0.0055585480524018745
2.59,7.78,0.004029300424041653
2.59,8.64,0.0030584163936554208
3.46,0.0,0.5072609648798204
3.46,0.86,0.3358200130645966
3.46,1.73,0.10611995606716737
3.46,2.59,0.04421592718103789
3.46,3.46,0.021139240029216612
3.46,4.32,0.011534186731152515
3.46,5.19,0.007087899574376468
3.46,6.05,0.004765751605795035
3.46,6.91,0.003422732843003623
3.46,7.78,0.002581176733024548
3.46,8.64,0.0020198934340966367
4.32,0.0,0.29588650165975555
4.32,0.86,0.14317389049757717
4.32,1.73,0.053948336398641585
4.32,2.59,0.022767227602157995
4.32,3.46,0.0115341867241335
4.32,4.32,0.0067982268565532095
4.32,5.19,0.004455737667342031
4.32,6.05,0.0031457579298959514
4.32,6.91,0.0023432618000087807
4.32,7.78,0.0018166959550006744
4.32,8.64,0.001452391892640942
5.19,0.0,0.17787740446624717
5.19,0.86,0.08225667273647592
5.19,1.73,0.02942975963684744
5.19,2.59,0.012954609886976063
5.19,3.46,0.0070878995724239415
5.19,4.32,0.004455737666308218
5.19,5.19,0.003064638186261374
5.19,6.05,0.002242156987284968
5.19,6.91,0.0017154159947547075
5.19,7.78,0.0013574265989125887
5.19,8.64,0.001102726942761707
6.05,0.0,0.1234592576742347
6.05,0.86,0.04997570119668202
6.05,1.73,0.017176223066294193
6.05,2.59,0.008150463773272828
6.05,3.46,0.004765751606307286
6.05,4.32,0.0031457579297151945
6.05,5.19,0.002242156987605386
6.05,6.05,0.0016845456497739174
6.05,6.91,0.001315125139412461
6.05,7.78,0.0010571765790780134
6.05,8.64,0.0008696131801172755
6.91,0.0,0.09193381695117829
6.91,0.86,0.03051575595744133
6.91,1.73,0.010894436797115192
6.91,2.59,0.005558548052166698
6.91,3.46,0.0034227328430216026
6.91,4.32,0.0023432618000444184
6.91,5.19,0.0017154159949897235
6.91,6.05,0.0013151251393654258
6.91,6.91,0.001042957973490617
6.91,7.78,0.0008488873309737376
6.91,8.64,0.0007053271368686451
7.78,0.0,0.0697694856804653
7.78,0.86,0.01939270235265106
7.78,1.73,0.007437957560345454
7.78,2.59,0.004029300423630536
7.78,3.46,0.002581176733151367
7.78,4.32,0.0018166959551440274
7.78,5.19,0.0013574265989321735
7.78,6.05,0.0010571765792170324
7.78,6.91,0.000848887331027194
7.78,7.78,0.0006979010316274761
7.78,8.64,0.0005846725793270794
8.64,0.0,0.0523351655472754
8.64,0.86,0.013042103303846423
8.64,1.73,0.005383978876542814
8.64,2.59,0.0030584163939692565
8.64,3.46,0.002019893433782479
8.64,4.32,0.0014523918925378819
8.64,5.19,0.0011027269426438782
8.64,6.05,0.0008696131800848485
8.64,6.91,0.0007053271368877482
8.64,7.78,0.0005846725793192135
8.64,8.64,0.0004931886201373853
