a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.15,0.8180679644152553
0.0,0.29,0.6431105680741943
0.0,0.44,0.4938513038046726
0.0,0.59,0.3788871265415095
0.0,0.73,0.2949496713003452
0.0,0.88,0.2342883372328949
0.0,1.03,0.18990429717488852
0.0,1.17,0.1567575037982803
0.0,1.32,0.1314202995480998
0.0,1.46,0.11151193299595133
0.09,0.0,0.9495557633133087
0.09,0.15,0.7660455530339803
0.09,0.29,0.5874195382283444
0.09,0.44,0.43398051317262815
0.09,0.59,0.3148841040665017
0.09,0.73,0.22573637899159407
0.09,0.88,0.00018555332327062918
0.09,1.03,0.00011111212709322001
0.09,1.17,8.061307476146779e-05
0.09,1.32,6.352461526024858e-05
0.09,1.46,5.249113976539113e-05
0.18,0.0,0.891301103158799
0.18,0.15,0.7027252113094898
0.18,0.29,0.5132743206143573
0.18,0.44,0.33772786715289765
0.18,0.59,5.488540857157097e-05
0.18,0.73,3.3739686765786e-05
0.18,0.88,2.444115082413292e-05
0.18,1.03,1.9188522530729162e-05
0.18,1.17,1.5806309754635374e-05
0.18,1.32,1.3442390436582458e-05
0.18,1.46,1.169435125653443e-05
0.28,0.0,0.8210423426348302
0.28,0.15,0.6176479226787794
0.28,0.29,7.323571344911185e-05
0.28,0.44,2.819435924527993e-05
0.28,0.59,1.719421166769387e-05
0.28,0.73,1.2298885193499866e-05
0.28,0.88,9.557952295406519e-06
0.28,1.03,7.812598018722488e-06
0.28,1.17,6.605229449824099e-06
0.28,1.32,5.720395420088612e-06
0.28,1.46,5.043841698469324e-06
0.37,0.0,0.7279200437220434
0.37,0.15,6.43887000799447e-05
0.37,0.29,2.23134808919904e-05
0.37,0.44,1.2457322940143717e-05
0.37,0.59,8.453714189326643e-06
0.37,0.73,6.351710245537687e-06
0.37,0.88,5.073533421719599e-06
0.37,1.03,4.219044137090893e-06
0.37,1.17,3.6089743888165113e-06
0.37,1.32,3.15199385437855e-06
0.37,1.46,2.796994789583272e-06
0.46,0.0,0.3024755477064709
0.46,0.15,2.3296612178000937e-05
0.46,0.29,1.1315420335728171e-05
0.46,0.44,7.051983934931943e-06
0.46,0.59,5.021335982857206e-06
0.46,0.73,3.869684601251374e-06
0.46,0.88,3.138026218410219e-06
0.46,1.03,2.6352767224737917e-06
0.46,1.17,2.269655743713496e-06
0.46,1.32,1.992193335067011e-06
0.46,1.46,1.7745789238590405e-06
0.55,0.0,3.121098398819055e-05
0.55,0.15,1.247101766928964e-05
0.55,0.29,6.879822171402199e-06
0.55,0.44,4.534161015601828e-06
0.55,0.59,3.320696764937999e-06
0.55,0.73,2.600061053491408e-06
0.55,0.88,2.129246812482729e-06
0.55,1.03,1.7998032083894525e-06
0.55,1.17,1.5572185177050967e-06
0.55,1.32,1.3714815298410736e-06
0.55,1.46,1.2248457728037253e-06
0.64,0.0,1.7239869150721438e-05
0.64,0.15,7.840647717424497e-06
0.64,0.29,4.626132324719168e-06
0.64,0.44,3.155572502238244e-06
0.64,0.59,2.3549522069867243e-06
0.64,0.73,1.8644903752592275e-06
0.64,0.88,1.5376546053489535e-06
0.64,1.03,1.305919905997636e-06
0.64,1.17,1.1337096556579346e-06
0.64,1.32,1.0009797035600605e-06
0.64,1.46,8.956745735554671e-07
0.74,0.0,1.105706475731983e-05
0.74,0.15,5.399522490137087e-06
0.74,0.29,3.32106353816115e-06
0.74,0.44,2.3191152575892433e-06
0.74,0.59,1.7544523467002456e-06
0.74,0.73,1.4006745797306366e-06
0.74,0.88,1.1613830010259318e-06
0.74,1.03,9.899832216759747e-07
0.74,1.17,8.616919161141822e-07
0.74,1.32,7.62294325721979e-07
0.74,1.46,6.831257592191755e-07
0.83,0.0,7.735566057255132e-06
0.83,0.15,3.947779442772987e-06
0.83,0.29,2.4973598347975842e-06
0.83,0.44,1.7738746897138028e-06
0.83,0.59,1.3559761102991767e-06
0.83,0.73,1.089661724844017e-06
0.83,0.88,9.074099810864783e-07
0.83,1.03,7.757946759628313e-07
0.83,1.17,6.767034683613709e-07
0.83,1.32,5.995991497508578e-07
0.83,1.46,5.379882777108208e-07
0.92,0.0,5.730713358089557e-06
0.92,0.15,3.0124539063686375e-06
0.92,0.29,1.944416245367864e-06
0.92,0.44,1.3990614014647705e-06
0.92,0.59,1.078273853420552e-06
0.92,0.73,8.711228915314206e-07
0.92,0.88,7.280157334261301e-07
0.92,1.03,6.239689466006573e-07
0.92,1.17,5.452484256596579e-07
0.92,1.32,4.837718292804993e-07
0.92,1.46,4.34513259185215e-07
