a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.86,0.9143952828123172
0.0,1.73,0.8119090777218179
0.0,2.59,0.6828967534657915
0.0,3.46,0.5072609648798206
0.0,4.32,0.2958865016597567
0.0,5.19,0.17787740446624925
0.0,6.05,0.12345925767435109
0.0,6.91,0.09193381694792803
0.0,7.78,0.06976948566944668
0.0,8.64,0.052335165556342614
0.19,0.0,0.9491143638216609
0.19,0.86,0.8639771962133348
0.19,1.73,0.7594760781311507
0.19,2.59,0.6222088200795286
0.19,3.46,0.41684914845536947
0.19,4.32,0.002380344228755636
0.19,5.19,0.00102735686857969
0.19,6.05,0.0006461230995273897
0.19,6.91,0.00046283589440784725
0.19,7.78,0.0003555699101418899
0.19,8.64,0.00028549097439649633
0.38,0.0,0.8903312222988858
0.38,0.86,0.8040448657436021
0.38,1.73,0.6940510322121958
0.38,2.59,0.5362160469889545
0.38,3.46,0.0006019787699098396
0.38,4.32,0.0003054284230312784
0.38,5.19,0.00020143643289916333
0.38,6.05,0.0001484508250570984
0.38,6.91,0.00011646523028631158
0.38,7.78,9.512681558394707e-05
0.38,8.64,7.991469421101165e-05
0.58,0.0,0.8194095573130341
0.58,0.86,0.7281594669656322
0.58,1.73,0.6016967246678507
0.58,2.59,0.0004100173056194346
0.58,3.46,0.0001883944560570393
0.58,4.32,0.00011781053966346527
0.58,5.19,8.42308705720048e-05
0.58,6.05,6.488014618258093e-05
0.58,6.91,5.23850220948437e-05
0.58,7.78,4.368561583673466e-05
0.58,8.64,3.729690455944339e-05
0.77,0.0,0.7253660607936241
0.77,0.86,0.6136797899247676
0.77,1.73,0.00032725801844434883
0.77,2.59,0.00015127456435552988
0.77,3.46,8.945587321158478e-05
0.77,4.32,6.112863780779408e-05
0.77,5.19,4.56036872599486e-05
0.77,6.05,3.600535204545733e-05
0.77,6.91,2.9550682217460543e-05
0.77,7.78,2.493830709246778e-05
0.77,8.64,2.1489477667531502e-05
0.96,0.0,0.30122474490655365
0.96,0.86,0.00028057602691246617
0.96,1.73,0.00013436823074605987
0.96,2.59,7.775549381821949e-05
0.96,3.46,5.1160333095181284e-05
0.96,4.32,3.6843903980591594e-05
0.96,5.19,2.828244564125481e-05
0.96,6.05,2.271968330511769e-05
0.96,6.91,1.8863947954972944e-05
0.96,7.78,1.6053878580587856e-05
0.96,8.64,1.3923847954891947e-05
1.15,0.0,0.00033951499492485687
1.15,0.86,0.00013410527154440825
1.15,1.73,7.363315045939739e-05
1.15,2.59,4.6827036176469295e-05
1.15,3.46,3.266469211473945e-05
1.15,4.32,2.4357370692003298e-05
1.15,5.19,1.9094753928088593e-05
1.15,6.05,1.5545682775895014e-05
1.15,6.91,1.3025389184693695e-05
1.15,7.78,1.1158463197481358e-05
1.15,8.64,9.727139240593656e-06
1.34,0.0,0.0001876722275162734
1.34,0.86,7.960348669805826e-05
1.34,1.73,4.6521069593849886e-05
1.34,2.59,3.107326568835615e-05
1.34,3.46,2.2461237330165107e-05
1.34,4.32,1.7160074825015828e-05
1.34,5.19,1.3670530501370434e-05
1.34,6.05,1.1250369468982583e-05
1.34,6.91,9.497583245758558e-06
1.34,7.78,8.181130227795405e-06
1.34,8.64,7.16181445949044e-06
1.54,0.0,0.00012036504517386641
1.54,0.86,5.3001523859526955e-05
1.54,1.73,3.204257688170531e-05
1.54,2.59,2.203091863289646e-05
1.54,3.46,1.6297861008772607e-05
1.54,4.32,1.266952426380246e-05
1.54,5.19,1.0219883041468458e-05
1.54,6.05,8.485353180634336e-06
1.54,6.91,7.209079924748009e-06
1.54,7.78,6.239201725864308e-06
1.54,8.64,5.481691613403604e-06
1.73,0.0,8.420546926475462e-05
1.73,0.86,3.791529751053806e-05
1.73,1.73,2.340126348012777e-05
1.73,2.59,1.639053893205334e-05
1.73,3.46,1.2318125005687414e-05
1.73,4.32,9.698249816712707e-06
1.73,5.19,7.899821523912042e-06
1.73,6.05,6.607077874407865e-06
1.73,6.91,5.643908614735088e-06
1.73,7.78,4.904727553462474e-06
1.73,8.64,4.32300844021814e-06
1.92,0.0,6.23850791913951e-05
1.92,0.86,2.850070693115627e-05
1.92,1.73,1.783244278802461e-05
1.92,2.59,1.2648464789035282e-05
1.92,3.46,9.612760802650338e-06
1.92,4.32,7.640371314697295e-06
1.92,5.19,6.271544531531221e-06
1.92,6.05,5.276942030600177e-06
1.92,6.91,4.528702836934271e-06
1.92,7.78,3.949793685722869e-06
1.92,8.64,3.491216944413867e-06
