a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.09,0.9495557633133087
0.0,0.18,0.891301103158799
0.0,0.28,0.8210423426348302
0.0,0.37,0.7279200437220434
0.0,0.46,0.3024755583348635
0.0,0.55,3.121098398915373e-05
0.0,0.64,1.7239869150239846e-05
0.0,0.74,1.105706475731983e-05
0.0,0.83,7.735566057255132e-06
0.0,0.92,5.7307133579290275e-06
0.19,0.0,0.9491143638216609
0.19,0.09,0.898336065340282
0.19,0.18,0.8387432026768612
0.19,0.28,0.7648106774940754
0.19,0.37,0.6593697926981934
0.19,0.46,2.9141653474498395e-06
0.19,0.55,1.3449427130909598e-06
0.19,0.64,7.837102856640326e-07
0.19,0.74,5.171781386608203e-07
0.19,0.83,3.681950851033535e-07
0.19,0.92,2.759946511595764e-07
0.38,0.0,0.8903312222988855
0.38,0.09,0.8382091490221377
0.38,0.18,0.7755050069585704
0.38,0.28,0.6937007291110858
0.38,0.37,0.54969821825031
0.38,0.46,1.1475271909154747e-06
0.38,0.55,5.87459424715925e-07
0.38,0.64,3.597870490673821e-07
0.38,0.74,2.439083482333562e-07
0.38,0.83,1.7656609757552728e-07
0.38,0.92,1.3385362728073417e-07
0.58,0.0,0.8194095573130341
0.58,0.09,0.7635944421643021
0.58,0.18,0.6930015925450455
0.58,0.28,0.5869539728542225
0.58,0.37,1.3342611171125368e-06
0.58,0.46,6.021788035300063e-07
0.58,0.55,3.3907683771082645e-07
0.58,0.64,2.172666172892032e-07
0.58,0.74,1.5107666961526958e-07
0.58,0.83,1.1113024483327753e-07
0.58,0.92,8.517363581111786e-08
0.77,0.0,0.7253660607936241
0.77,0.09,0.6571604244435216
0.77,0.18,0.5479314844881568
0.77,0.28,1.55922093103687e-06
0.77,0.37,6.850341881606373e-07
0.77,0.46,3.6401737161560903e-07
0.77,0.55,2.2128307756369627e-07
0.77,0.64,1.4755995536311863e-07
0.77,0.74,1.0504847283401532e-07
0.77,0.83,7.845695038434364e-08
0.77,0.92,6.07684014766021e-08
0.96,0.0,0.3012249969383076
0.96,0.09,6.404105593199882e-06
0.96,0.18,1.8452478250715648e-06
0.96,0.28,7.898435454215494e-07
0.96,0.37,4.1024368123032664e-07
0.96,0.46,2.4132871789159134e-07
0.96,0.55,1.5542348719769185e-07
0.96,0.64,1.0722380316963152e-07
0.96,0.74,7.79768617452124e-08
0.96,0.83,5.907305270659013e-08
0.96,0.92,4.621619590205194e-08
1.15,0.0,0.00033951499433218003
1.15,0.09,3.1045677553930977e-06
1.15,0.18,1.0249741699731707e-06
1.15,0.28,4.87644811189343e-07
1.15,0.37,2.745822402516751e-07
1.15,0.46,1.7136648943592178e-07
1.15,0.55,1.1498795359443647e-07
1.15,0.64,8.154769580591568e-08
1.15,0.74,6.042341378321015e-08
1.15,0.83,4.6376020879666544e-08
1.15,0.92,3.6626331236717574e-08
1.34,0.0,0.00018767222717530765
1.34,0.09,1.8918760824459678e-06
1.34,0.18,6.703554476830378e-07
1.34,0.28,3.368203925165121e-07
1.34,0.37,1.9828359358579442e-07
1.34,0.46,1.2829880440087299e-07
1.34,0.55,8.856782198965566e-08
1.34,0.64,6.417182888711707e-08
1.34,0.74,4.830589454564284e-08
1.34,0.83,3.7509571129135105e-08
1.34,0.92,2.988267467877129e-08
1.54,0.0,0.00012036504482969005
1.54,0.09,1.294515557611825e-06
1.54,0.18,4.794922827684374e-07
1.54,0.28,2.4929595645693953e-07
1.54,0.37,1.5097046471623798e-07
1.54,0.46,1.0004531941323994e-07
1.54,0.55,7.045732568900365e-08
1.54,0.64,5.188882614906679e-08
1.54,0.74,3.956833451310457e-08
1.54,0.83,3.103648520013596e-08
1.54,0.92,2.492066317716779e-08
1.73,0.0,8.420546902829389e-05
1.73,0.09,9.493047284476257e-07
1.73,0.18,3.6294552563836746e-07
1.73,0.28,1.9332120548075114e-07
1.73,0.37,1.1943429000032884e-07
1.73,0.46,8.050632468818244e-08
1.73,0.55,5.753306762425449e-08
1.73,0.64,4.290246207479716e-08
1.73,0.74,3.305871885309578e-08
1.73,0.83,2.6153356387226267e-08
1.73,0.92,2.114597412398948e-08
1.92,0.0,6.238507893117593e-05
1.92,0.09,7.293137052078725e-07
1.92,0.18,2.857232242013828e-07
1.92,0.28,1.5503040358495395e-07
1.92,0.37,9.72414793533584e-08
1.92,0.46,6.639965815961827e-08
1.92,0.55,4.798715864837875e-08
1.92,0.64,3.613512765915166e-08
1.92,0.74,2.807979005528641e-08
1.92,0.83,2.237447621614255e-08
1.92,0.92,1.820010271610836e-08
