a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.15,0.8180679644152553
0.0,0.29,0.6431105680741946
0.0,0.44,0.4938513038046723
0.0,0.59,0.37888712654150886
0.0,0.73,0.29494967130034444
0.0,0.88,0.23428833723289424
0.0,1.03,0.18990429717488724
0.0,1.17,0.15675750379832973
0.0,1.32,0.1314202995485289
0.0,1.46,0.11151193299592163
0.19,0.0,0.9491143638216609
0.19,0.15,0.7655924887753774
0.19,0.29,0.586958668171247
0.19,0.44,0.4335483251280966
0.19,0.59,0.3145555032153459
0.19,0.73,0.22567906978893942
0.19,0.88,0.0019003215621792512
0.19,1.03,0.0010793747163858963
0.19,1.17,0.000753957764274094
0.19,1.32,0.0005759208955121408
0.19,1.46,0.0004632532701680984
0.38,0.0,0.8903312222988855
0.38,0.15,0.7016956107775147
0.38,0.29,0.512201022531393
0.38,0.44,0.33695738650982365
0.38,0.59,0.0005737235635930967
0.38,0.73,0.0003461815730302351
0.38,0.88,0.000246559481309579
0.38,1.03,0.00019063688052056105
0.38,1.17,0.00015484934892483356
0.38,1.32,0.00012998184774194182
0.38,1.46,0.0001116946794736809
0.58,0.0,0.8194095573130341
0.58,0.15,0.6158064660394454
0.58,0.29,0.0007754982294528435
0.58,0.44,0.0002988123218251393
0.58,0.59,0.000180289975274148
0.58,0.73,0.00012760778932131278
0.58,0.88,9.819519521895377e-05
0.58,1.03,7.952162476248002e-05
0.58,1.17,6.664074219908978e-05
0.58,1.32,5.722658507453525e-05
0.58,1.46,5.004747804362457e-05
0.77,0.0,0.7253660607936241
0.77,0.15,0.0006859097786522212
0.77,0.29,0.00023886126384185655
0.77,0.44,0.00013244832458392844
0.77,0.59,8.920955050910535e-05
0.77,0.73,6.654290449629248e-05
0.77,0.88,5.278388013200467e-05
0.77,1.03,4.360120938691828e-05
0.77,1.17,3.7055764114697355e-05
0.77,1.32,3.2160497460893635e-05
0.77,1.46,2.836354585816991e-05
0.96,0.0,0.3012249960861857
0.96,0.15,0.0002511397298310643
0.96,0.29,0.00012140416116451738
0.96,0.44,7.523724711952781e-05
0.96,0.59,5.327116904202737e-05
0.96,0.73,4.0827958952028794e-05
0.96,0.88,3.2931479382961956e-05
0.96,1.03,2.7511272789429542e-05
0.96,1.17,2.357349156599542e-05
0.96,1.32,2.0588183336379806e-05
0.96,1.46,1.8249140662084178e-05
1.15,0.0,0.0003395149943511226
1.15,0.15,0.00013470014071853542
1.15,0.29,7.395515097375896e-05
1.15,0.44,4.851964868217772e-05
1.15,0.59,3.537571807034849e-05
1.15,0.73,2.7576617822149345e-05
1.15,0.88,2.248504701014482e-05
1.15,1.03,1.892482904451419e-05
1.15,1.17,1.6305074932582194e-05
1.15,1.32,1.4300610070426533e-05
1.15,1.46,1.2719218654295458e-05
1.34,0.0,0.0001876722271770735
1.34,0.15,8.47775161858311e-05
1.34,0.29,4.981319716935199e-05
1.34,0.44,3.385128756425649e-05
1.34,0.59,2.5169447364064012e-05
1.34,0.73,1.9854266610397845e-05
1.34,0.88,1.6314159549219092e-05
1.34,1.03,1.380535603409256e-05
1.34,1.17,1.1941870022322172e-05
1.34,1.32,1.0506298308041233e-05
1.34,1.46,9.367915064375837e-06
1.54,0.0,0.00012036504482985057
1.54,0.15,5.843494435223851e-05
1.54,0.29,3.581332989950978e-05
1.54,0.44,2.4929195521715888e-05
1.54,0.59,1.8800269658633e-05
1.54,0.73,1.49621305646711e-05
1.54,0.88,1.2367007846268367e-05
1.54,1.03,1.0508808169947032e-05
1.54,1.17,9.118438022826297e-06
1.54,1.32,8.041588473501644e-06
1.54,1.46,7.184213534364508e-06
1.73,0.0,8.42054690278123e-05
1.73,0.15,4.275852538404584e-05
1.73,0.29,2.696522963965193e-05
1.73,0.44,1.9100692742481607e-05
1.73,0.59,1.4561131185073104e-05
1.73,0.73,1.1669255379329284e-05
1.73,0.88,9.690727486952466e-06
1.73,1.03,8.262255503447486e-06
1.73,1.17,7.187046513353026e-06
1.73,1.32,6.350630347213837e-06
1.73,1.46,5.682472398902405e-06
1.92,0.0,6.238507893133648e-05
1.92,0.15,3.265215388900607e-05
1.92,0.29,2.1018127977338573e-05
1.92,0.44,1.508642902938317e-05
1.92,0.59,1.1599374087062392e-05
1.92,0.73,9.348230722555105e-06
1.92,0.88,7.793359567829556e-06
1.92,1.03,6.663076774397377e-06
1.92,1.17,5.808071991095457e-06
1.92,1.32,5.140488811229539e-06
1.92,1.46,4.605697783067289e-06
