a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.15,0.8180679644152553
0.0,0.29,0.6431105680741943
0.0,0.44,0.4938513038046723
0.0,0.59,0.3788871265415092
0.0,0.73,0.2949496713003448
0.0,0.88,0.2342883372328944
0.0,1.03,0.18990429717488752
0.0,1.17,0.15675750379829617
0.0,1.32,0.13142029954849824
0.0,1.46,0.11151193299761827
0.15,0.0,0.8180679644152553
0.15,0.15,0.6357326974443118
0.15,0.29,0.46653225063436476
0.15,0.44,0.3349613718534648
0.15,0.59,0.24432086507085746
0.15,0.73,0.18389709725688327
0.15,0.88,0.14286852427753824
0.15,1.03,0.11388135893632327
0.15,1.17,0.09213185370142742
0.15,1.32,0.07449067504149555
0.15,1.46,0.05932686446980057
0.29,0.0,0.6431105680741946
0.29,0.15,0.46653225063436493
0.29,0.29,0.3197038218471241
0.29,0.44,0.22097973412113547
0.29,0.59,0.15930332628533866
0.29,0.73,0.11977233391320728
0.29,0.88,0.09250525901092453
0.29,1.03,0.07155081487514202
0.29,1.17,0.05415468309033667
0.29,1.32,0.039941763773265714
0.29,1.46,0.029126960607391717
0.44,0.0,0.4938513038046723
0.44,0.15,0.3349613718534654
0.44,0.29,0.2209797341211348
0.44,0.44,0.15215067294159
0.44,0.59,0.11033429123577608
0.44,0.73,0.08219642957543569
0.44,0.88,0.060507558825722896
0.44,1.03,0.043103371667571354
0.44,1.17,0.030115069588935048
0.44,1.32,0.021192118636926646
0.44,1.46,0.015293891608848129
0.59,0.0,0.3788871265415095
0.59,0.15,0.24432086507085762
0.59,0.29,0.15930332628530786
0.59,0.44,0.11033429123611624
0.59,0.59,0.07907430483645365
0.59,0.73,0.055642952107289964
0.59,0.88,0.037707518204510425
0.59,1.03,0.025290269195777718
0.59,1.17,0.017345382396546736
0.59,1.32,0.012352101873768565
0.59,1.46,0.009149189482819531
0.73,0.0,0.2949496713003448
0.73,0.15,0.1838970972568834
0.73,0.29,0.1197723339131779
0.73,0.44,0.08219642957677996
0.73,0.59,0.05564295210882431
0.73,0.73,0.03609457438186127
0.73,0.88,0.023283863534142402
0.73,1.03,0.015538108127489321
0.73,1.17,0.010877752860838245
0.73,1.32,0.00797547193276291
0.73,1.46,0.0060836785305329755
0.88,0.0,0.2342883372328944
0.88,0.15,0.14286852427753532
0.88,0.29,0.09250525901014484
0.88,0.44,0.0605075588195754
0.88,0.59,0.037707518193545904
0.88,0.73,0.023283863534185104
0.88,0.88,0.015002314047868915
0.88,1.03,0.010249343143640127
0.88,1.17,0.007392787640211726
0.88,1.32,0.005577221829373645
0.88,1.46,0.004361644158153789
1.03,0.0,0.18990429717488674
1.03,0.15,0.11388135893625632
1.03,0.29,0.07155081488115837
1.03,0.44,0.0431033716472285
1.03,0.59,0.025290269198401907
1.03,0.73,0.015538108135752444
1.03,0.88,0.010249343140586042
1.03,1.03,0.007215257634596802
1.03,1.17,0.00535219172562643
1.03,1.32,0.004135685597906297
1.03,1.46,0.0032994479723347137
1.17,0.0,0.15675750379830164
1.17,0.15,0.0921318537018135
1.17,0.29,0.05415468309328224
1.17,0.44,0.030115069594091274
1.17,0.59,0.017345382395892898
1.17,0.73,0.010877752860305125
1.17,0.88,0.007392787640168384
1.17,1.03,0.005352191725730935
1.17,1.17,0.004065206584797867
1.17,1.32,0.003202781402372231
1.17,1.46,0.0025960835506951903
1.32,0.0,0.13142029954837736
1.32,0.15,0.07449067503079335
1.32,0.29,0.039941763777164026
1.32,0.44,0.021192118630932615
1.32,0.59,0.012352101874690808
1.32,0.73,0.007975471932948001
1.32,0.88,0.005577221829223709
1.32,1.03,0.00413568559792524
1.32,1.17,0.0032027814022152325
1.32,1.32,0.0025631960249682534
1.32,1.46,0.00210436595587498
1.46,0.0,0.11151193299597638
1.46,0.15,0.05932686449710769
1.46,0.29,0.02912696057559281
1.46,0.44,0.01529389160592311
1.46,0.59,0.009149189486222608
1.46,0.73,0.006083678530908295
1.46,0.88,0.0043616441584045365
1.46,1.03,0.003299447972323316
1.46,1.17,0.002596083550698401
1.46,1.32,0.0021043659558796354
1.46,1.46,0.0017457664022794582
