Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.7516481706018998, 0.7773518457197731, 0.8013854185245304, 0.8239031288005851, 0.8450370296597257, 0.8649002943581966, 0.8835902769695035, 0.9011911667369904, 0.9177762211624102, 0.9334096176262938, 0.9481479788847726]",0.0
0.25,2,"[0.29588650165975605, 0.3787000851643123, 0.47368882060288514, 0.5597494380137916, 0.6319489843080367, 0.6925157612966316, 0.7440507666569853, 0.788469946239726, 0.8271125415170572, 0.8609299696444677, 0.8906199631142276]",0.0
0.25,3,"[0.10598933873991141, 0.11902574430955319, 0.14025901931835053, 0.17911488503293263, 0.26391208363156754, 0.4186965606409787, 0.5535677784527641, 0.6500931372548225, 0.7229179918063509, 0.7800947377030756, 0.8259015183062994]",0.0
0.25,4,"[0.052335165534081914, 0.05330470502382691, 0.05755648485075944, 0.06642428610564853, 0.08225667273479759, 0.11189906374837874, 0.196980445956252, 0.4427881332251436, 0.5929822203062483, 0.6863806052998878, 0.7516481706018998]",0.0
0.25,5,"[0.024350093881013897, 0.02145355015720302, 0.02117382509325674, 0.023380186207258773, 0.028817648776499845, 0.03966725010992921, 0.060730000345601325, 0.10739803131005302, 0.3837268919032017, 0.5697322699247885, 0.66405594415787]",0.0031762687877571576
0.25,6,"[0.012282298845724364, 0.009742869718901308, 0.009055154918917988, 0.00954965082657477, 0.011298457223426614, 0.01511391209987871, 0.023380148390929372, 0.04270524276798397, 0.09424631560685187, 0.39805614104667913, 0.5570472114145716]",0.0032271439268063765
0.25,7,"[0.007116211677417567, 0.0052913271807094936, 0.004752594738498993, 0.00486032404642679, 0.005546195904799839, 0.007093766308078455, 0.010447433666906075, 0.018680987585308353, 0.0432006539507593, 0.15042201256467927, 0.42576807012484996]",0.0023636169389185746
0.25,8,"[0.004608900446985883, 0.003270972226034859, 0.0028713945682278296, 0.00287594973617624, 0.003199803538577267, 0.003955567219485543, 0.005558548052927129, 0.00937752543211855, 0.02113924002036402, 0.07428202343351738, 0.29588650165975605]",0.0017375058787580536
0.25,9,"[0.003232053961389856, 0.0022065297456600537, 0.00190293289598664, 0.0018771416267759822, 0.0020515698318968817, 0.0024760091040236173, 0.0033608969876512767, 0.005386336155859991, 0.011379882762821885, 0.041147680212216264, 0.2108024115420421]",0.001354912334613874
0.25,10,"[0.0023991270808784108, 0.0015814233061419002, 0.0013435831939298524, 0.0013096957651877207, 0.0014126957099390844, 0.0016759270401303127, 0.0022190616364506552, 0.0034214372216574045, 0.006798226854904085, 0.023383890585821146, 0.16070504898744647]",0.00108943131569069
0.5,1,"[0.8657030637112519, 0.8747384931134612, 0.8833234348889104, 0.8914703335093568, 0.8991908718365662, 0.9064960441427811, 0.9133962252346518, 0.9199012349703358, 0.9260203978043031, 0.9317625972279446, 0.9371363251309779]",0.0
