Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.7516481706018998, 0.7796637888928545, 0.805918121747347, 0.8305921470123288, 0.8538375214149515, 0.8757817214639415, 0.8965324321329675, 0.91618115962263, 0.934806160808908, 0.9524748074151322, 0.9692454953679781]",0.0
0.25,2,"[0.29588650165975605, 0.38686644254231795, 0.4886355023015408, 0.5790541203669083, 0.6547960879834994, 0.7188051028536652, 0.7738768894123779, 0.8219692344202688, 0.8644168848481177, 0.9021501139833291, 0.9358383002009713]",0.0
0.25,3,"[0.10598933874025929, 0.12156690665921767, 0.14852838834242615, 0.2021472325798183, 0.31955477010937644, 0.48454186504812313, 0.6139118397791705, 0.7103700911978289, 0.7862175653462001, 0.8479521947688587, 0.8991215117331617]",0.0
0.25,4,"[0.052335165535427, 0.026807859375966085, 0.00031686970219994045, 0.00015179999162444398, 0.00011202834617358171, 0.00011060256920940081, 0.3399064150028134, 0.5628282468831654, 0.6951174399939419, 0.7881198522943603, 0.8580851533677939]",0.052224562966217594
0.25,5,"[0.024350093879368945, 0.00040359744810705966, 9.524194833803244e-05, 5.236687010393942e-05, 3.801533664296359e-05, 3.349508349960691e-05, 3.625861795840622e-05, 5.691636019058947e-05, 0.5772847900587755, 0.7192842351748706, 0.8110263763348866]",0.024316598795869337
0.25,6,"[0.01228229886114215, 0.00014616148899075442, 4.607918726372241e-05, 2.5899290040909076e-05, 1.8619498250210932e-05, 1.5863346914349668e-05, 1.5906892738226158e-05, 1.9922720980805707e-05, 3.968579460645676e-05, 0.632917799912964, 0.7546187523194637]",0.0122664355142278
0.25,7,"[0.00711621168631077, 7.819622121748656e-05, 2.6513388752338983e-05, 1.5001118453754871e-05, 1.0715151098494856e-05, 8.975640303842906e-06, 8.700837769842556e-06, 1.0108746381534303e-05, 1.592729248483448e-05, 0.4638089548268958, 0.6802427247605951]",0.007107510848540928
0.25,8,"[0.004608900451772889, 4.819135954003665e-05, 1.6837918744698753e-05, 9.547077534611608e-06, 6.787850521800675e-06, 5.627404974706837e-06, 5.35127646895664e-06, 5.982770465980412e-06, 8.596486884729134e-06, 1.8761633550712772e-05, 0.30247539532289724]",0.004603549175303932
0.25,9,"[0.003232053967042921, 3.220215100001227e-05, 1.1420563094267355e-05, 6.478425963989151e-06, 4.5900162182627355e-06, 3.77878378050885e-06, 3.5491187872312198e-06, 3.876231473361818e-06, 5.297952060193143e-06, 1.0433129257149983e-05, 4.155033210337862e-05]",3.80012133161474e-05
0.25,10,"[0.0023991270869615357, 2.272375838758636e-05, 8.125226283563387e-06, 4.608093117555413e-06, 3.2559774893341166e-06, 2.667008974502441e-06, 2.48337095364356e-06, 2.6700170355632556e-06, 3.5363639003831105e-06, 6.580349353868612e-06, 2.637735256814248e-05]",2.3893981614498917e-05
0.5,1,"[0.8657030637112519, 0.8772941318878275, 0.8884289664186696, 0.8991240096192831, 0.9093942869777955, 0.919253556949872, 0.9287144469594504, 0.937788576437376, 0.9464866678768522, 0.9548186469205246, 0.9627937324657424]",0.0
0.5,2,"[0.6828967534657922, 0.7176117647799164, 0.7492263906075184, 0.7780833204701721, 0.8044691999959446, 0.8286201705196938, 0.8507303107465892, 0.8709597968048292, 0.8894418727618769, 0.9062885281497706, 0.9215950305015543]",0.0
0.5,3,"[0.39781784461028896, 0.4797700322429983, 0.5552359204661296, 0.6200061098246414, 0.6750333944189462, 0.7220343770399098, 0.7624286590224972, 0.7972632154727173, 0.8273006191021576, 0.8531051593196756, 0.8751051967410632]",0.0
0.5,4,"[0.17787740446624603, 0.21068481863076272, 0.2717067220984139, 0.37736575035997777, 0.4927234484317233, 0.5849144712960235, 0.6562280689690162, 0.7124459414768095, 0.757277400504756, 0.7929910741315935, 0.8210423426348306]",0.0
0.5,5,"[0.10598933874025929, 0.10257918654480545, 0.0002797791115487479, 0.00012680718267320032, 9.483706625418515e-05, 0.0001038295864316349, 0.5074899028426957, 0.6057026134029574, 0.6731789380809237, 0.7211571473383392, 0.7546187523194637]",0.1058945016740051
0.5,6,"[0.06976948567169795, 0.00044775085459824125, 8.82562539053961e-05, 4.624576435702465e-05, 3.325739324225986e-05, 2.9655406820807608e-05, 3.261688234722726e-05, 4.525597859771448e-05, 0.5515886943187394, 0.6226261676832264, 0.661129645257703]",0.06973983026487715
0.5,7,"[0.045016520030864565, 0.00016190522752735444, 4.4463302367395415e-05, 2.38836261840684e-05, 1.6933332767097625e-05, 1.444468247775624e-05, 1.450301441791537e-05, 1.7131500460412968e-05, 2.299628127980371e-05, 3.268744112291594e-05, 5.753635536682584e-05]",4.30916728890696e-05
