Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8580851533677939, 0.8720540957112695, 0.8852239653056059, 0.8976764554569772, 0.9094786587892828, 0.9206864854569663, 0.9313471194290168, 0.9415008245403016, 0.9511822991888437, 0.9604217103919892, 0.9692454953679778]",0.0
0.25,2,"[0.30247555312408586, 0.6518370856682271, 0.7127273073471175, 0.7577999583693045, 0.7945218688438531, 0.8257748038415965, 0.8530352884375481, 0.8771803980540422, 0.8987819649689889, 0.9182377905072543, 0.9358383002009713]",0.0
0.25,3,"[1.3620028598295532e-05, 3.803808743735767e-06, 1.338585908370162e-06, 1.4224055697343163e-06, 0.5958476637212378, 0.6960874076177573, 0.7574881345851466, 0.8039045407150381, 0.8414026396581299, 0.8726539563541097, 0.8991215117331617]",1.228144268992537e-05
0.25,4,"[5.730713358089557e-06, 5.614048024814043e-07, 3.282322939642031e-07, 3.1658441559011824e-07, 3.834863408961289e-07, 5.987815419172404e-07, 0.6151465728625434, 0.7144544150069754, 0.7765480943009477, 0.8224040726392048, 0.8580851533677939]",5.414128942499439e-06
0.25,5,"[3.168898324074857e-06, 2.1388464712454487e-07, 1.3596097443479701e-07, 1.2547583831216494e-07, 1.397757810650546e-07, 1.8584543520698084e-07, 3.177760365510359e-07, 0.5790474945857126, 0.6987792859668798, 0.7652273011523593, 0.8110263763348863]",3.0434224857626923e-06
0.25,6,"[2.013099875286857e-06, 1.0868247273073712e-07, 6.980591250388207e-08, 6.293811406397639e-08, 6.751206285044915e-08, 8.409754959378309e-08, 1.2588696742612783e-07, 2.559336216207881e-07, 0.5894306411516215, 0.6962269682960812, 0.7546187523194641]",1.9501617612228807e-06
0.25,7,"[1.3924533855545093e-06, 6.340849769988683e-08, 4.0660697030253445e-08, 3.613830021404535e-08, 3.7940311714721614e-08, 4.566349792709287e-08, 6.418383781726366e-08, 1.135362788081314e-07, 2.9336076475561654e-07, 0.5989709125652811, 0.6802427247605958]",1.3563150853404639e-06
0.25,8,"[1.0205122199354096e-06, 4.0347431514667865e-08, 2.5776237485523e-08, 2.2687989269027432e-08, 2.3490804260796315e-08, 2.7678735484662995e-08, 3.752031749063125e-08, 6.173774678515015e-08, 1.3734858489853093e-07, 4.378924277798685e-07, 0.302475554659037]",9.978242306663822e-07
0.25,9,"[7.79995115846814e-07, 2.7294350030826062e-08, 1.7371199508307586e-08, 1.5183140586440524e-08, 1.5568338161676397e-08, 1.8081322537000232e-08, 2.3940560912141906e-08, 3.771550482491016e-08, 7.697376451721571e-08, 2.223156684916855e-07, 4.155033195601205e-05]",7.648119752603735e-07
0.25,10,"[6.15496835326073e-07, 1.9334096608476842e-08, 1.2263279698058963e-08, 1.0661920936909323e-08, 1.0854115028333007e-08, 1.247533568794602e-08, 1.6247637820175373e-08, 2.486487963543132e-08, 4.8131688967285093e-08, 1.305462483555983e-07, 2.63773525233546e-05]",6.048349143891637e-07
