Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.5643986641837853, 0.5996315639757428, 0.6367857096018352, 0.6756467456205983, 0.7159444067115345, 0.7573649844162149, 0.7995669761115431, 0.8421974418608973, 0.8849067542596375, 0.9273601551986462, 0.9692454953679778]",0.0
0.25,2,"[0.29494967130034444, 0.3267785639772439, 0.3652024255309929, 0.41136200030597586, 0.4661919961349871, 0.5300924745359833, 0.6025717287252302, 0.6820553798425364, 0.7660455530339803, 0.8515957592824083, 0.9358383002009713]",0.0
0.25,3,"[0.1721712657522231, 0.18950909536221858, 0.2126542438032928, 0.24413296923189776, 0.28733076985727424, 0.3463068316722232, 0.42493354146444945, 0.5249094540543308, 0.6431785322255659, 0.7714054717720921, 0.8991215117331617]",0.0
0.25,4,"[0.11151193299693168, 0.11641802010565767, 0.11908015001847556, 0.0003282919481431468, 0.00018555332333130957, 0.00015625183203599185, 0.0002107863104469171, 0.36937402674965514, 0.5132743206143581, 0.6842165129995641, 0.8580851533677939]",0.11135568116489569
0.25,5,"[0.07519402310832565, 0.022557981333978062, 0.00016800771825425159, 7.870026408666161e-05, 5.206082984702799e-05, 4.199431402689939e-05, 4.020317019126985e-05, 4.790540608126476e-05, 9.613090324463697e-05, 0.5834118088371912, 0.8110263763348863]",0.07515381993813439
0.25,6,"[0.04823101502979565, 0.0003153489652054362, 7.28093016664283e-05, 3.724033903517815e-05, 2.5084444503625662e-05, 2.0033706360614978e-05, 1.8462136278195634e-05, 2.0016164618984025e-05, 2.8194359246243106e-05, 8.622539285051518e-05, 0.7546187523194641]",0.04821255289351745
0.25,7,"[0.029179832877554213, 0.0001431164927992933, 4.065975838053319e-05, 2.1407211475129705e-05, 1.4505595975420091e-05, 1.1526225453182435e-05, 1.0452116660594077e-05, 1.0942372542572798e-05, 1.4165266030698514e-05, 2.889637492576416e-05, 0.6802427247605958]",0.029169380760893617
0.25,8,"[0.01787227932231782, 8.373782065096637e-05, 2.5595580614471464e-05, 1.3656269988805055e-05, 9.276549213031633e-06, 7.3483340546660945e-06, 6.60522944998463e-06, 6.7913424068737835e-06, 8.453714189326643e-06, 1.539598218683493e-05, 0.3024755547988491]",0.017865674092867836
0.25,9,"[0.011590029370475496, 5.4734401318509845e-05, 1.734106253464431e-05, 9.317960284710229e-06, 6.336850116244679e-06, 5.009282631002486e-06, 4.478413870838036e-06, 4.555281075524333e-06, 5.5455260133141085e-06, 9.555191647555296e-06, 4.155033195585152e-05]",3.707191808501349e-05
0.25,10,"[0.008004866728148619, 3.823680083740483e-05, 1.2362301623951492e-05, 6.670166305737637e-06, 4.538655145649028e-06, 3.5825734471315067e-06, 3.1914400749855075e-06, 3.223616676853714e-06, 3.869684601251374e-06, 6.4574112711594736e-06, 2.6377352524959902e-05]",2.3185912449974395e-05
