Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8580851533677939, 0.8720279096415822, 0.8851716746420715, 0.8975980299758681, 0.9093739845511588, 0.9205553849490695, 0.9311893664612075, 0.9413161555288092, 0.9509704218894205, 0.9601823107907377, 0.9689782432135394]",0.0
0.25,2,"[0.30247554702437673, 0.6517596140033368, 0.7125981749592663, 0.7576207310724181, 0.7942921128328013, 0.8254933679060059, 0.8527006938012553, 0.8767910060557906, 0.8983360653402817, 0.9177336547884475, 0.9352742174487964]",0.0
0.25,3,"[1.3620028598456062e-05, 5.944868026188243e-06, 3.7464461519352583e-06, 4.4331850456795026e-06, 0.5952310145104661, 0.6955678325466148, 0.7569240854287689, 0.8032711309965785, 0.8406882005096447, 0.8718507903817425, 0.8982237027223359]",9.873582446520803e-06
0.25,4,"[5.7307133579290275e-06, 1.415836397916442e-06, 1.0276361021326422e-06, 1.0570199223728328e-06, 1.3449427130909598e-06, 2.20562639614004e-06, 0.6140477417335198, 0.7134782360933808, 0.7755050069585707, 0.8212524579120662, 0.8568053251045689]",4.7030772557963856e-06
0.25,5,"[3.168898324074857e-06, 6.063636618881252e-07, 4.377548012152382e-07, 4.2566374888403294e-07, 4.964205211824382e-07, 6.942908795003354e-07, 1.2625225033668095e-06, 0.5771423464346243, 0.6972774461547857, 0.7636486192914069, 0.8092968317411092]",2.7432345751908242e-06
0.25,6,"[2.013099875126327e-06, 3.2313753665286417e-07, 2.2792890102397012e-07, 2.153643279790963e-07, 2.4136943039294504e-07, 3.160536959414786e-07, 5.036630877223539e-07, 1.1132927015151177e-06, 0.5869539728542235, 0.6940711420208712, 0.7523337700277288]",1.7977355471472305e-06
0.25,7,"[1.3924533855545093e-06, 1.9339025650803402e-07, 1.3395384585458536e-07, 1.2436819734984038e-07, 1.3623930460358612e-07, 1.7226037985341024e-07, 2.5777421715521017e-07, 4.965513536347998e-07, 1.4567856844288834e-06, 0.5957733901096574, 0.6771997885269528]",1.2680851882046688e-06
0.25,8,"[1.0205122199354096e-06, 1.250421622745324e-07, 8.545624747621668e-08, 7.840251641853144e-08, 8.461969806277196e-08, 1.0469530822271515e-07, 1.5107666961526958e-07, 2.708558089321084e-07, 6.850341883211673e-07, 2.7480716256257484e-06, 0.3012249851683293]",9.421097035168781e-07
0.25,9,"[7.79995116007344e-07, 8.554007609499572e-08, 5.786570782967609e-08, 5.263325893904662e-08, 5.6216036112586054e-08, 6.853157186560143e-08, 9.658019004000884e-08, 1.658195440854713e-07, 3.851043869139579e-07, 1.3967592339480672e-06, 0.0004515950233922754]",7.273618570682974e-07
0.25,10,"[6.15496835326073e-07, 6.11014499098785e-08, 4.100339026799112e-08, 3.705197627823509e-08, 3.926780464709096e-08, 4.7359111250586836e-08, 6.56418814717999e-08, 1.0949436136113659e-07, 2.4132871789159134e-07, 8.220640748864601e-07, 0.0002870353352534625]",5.784448590478379e-07
0.5,1,"[0.921595030501554, 0.9265932730992371, 0.9313718602985056, 0.935938246696002, 0.9402992472814572, 0.944461110675414, 0.9484295820308299, 0.9522099573027131, 0.9558071302644825, 0.9592256333939478, 0.9624696735492367]",0.0
0.5,2,"[0.8210423426348306, 0.8361873602762795, 0.8498542970516912, 0.8622199130397324, 0.8734199721420397, 0.8835612722608567, 0.8927294898675562, 0.9009944892065351, 0.9084140271636851, 0.9150364047140375, 0.9209024042671881]",0.0
0.5,3,"[0.6611296452577025, 0.7082305080038002, 0.7434532967857159, 0.7716818662521013, 0.7950226862589697, 0.8146107661663828, 0.831138236083942, 0.845061964210413, 0.8567004016688341, 0.8662842149833466, 0.8739849611610986]",0.0
0.5,4,"[3.1210983990598496e-05, 8.870516825601902e-06, 9.365196553280459e-05, 0.6379121667965333, 0.693525941077677, 0.7317542044115934, 0.7603097084560552, 0.7821471666334867, 0.7987575583090872, 0.8110012085011283, 0.8194095573130334]",2.2340467164996594e-05
0.5,5,"[1.3620028598456062e-05, 2.3699710182835653e-06, 1.8378241808234304e-06, 2.023265576725024e-06, 2.717604085162861e-06, 0.6149864626251489, 0.6720307776113743, 0.7074862219439041, 0.7307807781919697, 0.7452350725471618, 0.7523337700277288]",1.1782204417632632e-05
0.5,6,"[7.735566057255132e-06, 1.0927180020611666e-06, 7.990262897287173e-07, 8.019348298791714e-07, 9.845561962678132e-07, 1.467989220187262e-06, 0.5207604125406238, 0.6062782509714044, 0.6424365536003226, 0.6580908728606537, 0.6578884908176729]",-0.00020238204298084206
0.5,7,"[5.012292158665614e-06, 6.035256783760629e-07, 4.2616504626854135e-07, 4.092509089725093e-07, 4.702504364428461e-07, 6.33087934802903e-07, 1.0024943080427168e-06, 1.7624901110822205e-06, 3.1668707192477744e-06, 7.551904357254312e-06, 0.0006248572846884577]",4.603041249693104e-06
0.5,8,"[3.519284793603737e-06, 3.704810387664228e-07, 2.55849874230202e-07, 2.3953055333244584e-07, 2.6565785136222496e-07, 3.3907683771082645e-07, 4.967510736948784e-07, 8.154875361851861e-07, 1.4594971118479329e-06, 3.447974785394257e-06, 0.0003395149943377986]",3.279754240271291e-06
0.5,9,"[2.609478316112809e-06, 2.443724248050953e-07, 1.6617188662251093e-07, 1.5301736156019346e-07, 1.660301013670404e-07, 2.0543133391594503e-07, 2.882400080013498e-07, 4.5229021245958203e-07, 7.934281605033506e-07, 1.8872275989265415e-06, 0.00021385613821910997]",2.4564609545526154e-06
