Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8568053251045689, 0.870906295260973, 0.884199789354195, 0.8967682627285086, 0.9086794429482977, 0.9199897755726547, 0.9307469010081196, 0.940991476161434, 0.9507585411466748, 0.960078562710862, 0.9689782432135394]",0.0
0.25,2,"[0.3012249940279743, 0.6484675001280351, 0.7099956979042853, 0.7555338989349412, 0.7926276185189585, 0.8241904057776331, 0.8517152678959747, 0.8760890958368635, 0.8978901207171079, 0.9175205981122381, 0.9352742174487964]",0.0
0.25,3,"[0.00014826892760647824, 6.379176760071808e-05, 3.871546751264689e-05, 4.42994713207754e-05, 0.5915274952679727, 0.6931104604307895, 0.7552012385799686, 0.8021034982415619, 0.8399735498753079, 0.8715195391607502, 0.8982237027223359]",0.00010955346009383135
0.25,4,"[6.238507893053381e-05, 1.5069971420216019e-05, 1.0640040515444528e-05, 1.060935793313328e-05, 1.2985946416605997e-05, 2.0264760578004157e-05, 0.610930530822592, 0.7116595155484869, 0.7744611907515746, 0.8207879517047217, 0.8568053251045689]",5.1775720997400534e-05
0.25,5,"[3.4510405761023075e-05, 6.455385111263151e-06, 4.544147713219175e-06, 4.287684741752455e-06, 4.815822844285043e-06, 6.414783346892144e-06, 1.0919734362881138e-05, 0.5738787594130855, 0.6957731668771174, 0.7630222379108969, 0.8092968317411092]",3.0222721019270618e-05
0.25,6,"[2.1934691917451232e-05, 3.444198119413815e-06, 2.3705898400207923e-06, 2.174620283060196e-06, 2.348638523680843e-06, 2.9315711353995586e-06, 4.379415078124827e-06, 8.824477520945534e-06, 0.5844630231895267, 0.6932145247213807, 0.7523337700277288]",1.9760071634391036e-05
0.25,7,"[1.5179848273418811e-05, 2.0634700825789203e-06, 1.3952142910564243e-06, 1.2579952710651739e-06, 1.3284738910620582e-06, 1.6020107153209479e-06, 2.249236790650802e-06, 3.9565697670985435e-06, 1.0079710680607241e-05, 0.5943821019359475, 0.6771997885269528]",1.3921853002353638e-05
0.25,8,"[1.1130242470090196e-05, 1.3353731135755129e-06, 8.910758681495238e-07, 7.940955592684101e-07, 8.264198551812652e-07, 9.755112512555832e-07, 1.321452043835915e-06, 2.165771114848498e-06, 4.770424458484441e-06, 1.4980876099773214e-05, 0.30122499073132364]",1.0336146910821786e-05
0.25,9,"[8.510484552312357e-06, 9.141764170155713e-07, 6.039153038509919e-07, 5.336421468758477e-07, 5.496837657588044e-07, 6.394742868407218e-07, 8.463067415878757e-07, 1.329174769327113e-06, 2.6925884238482708e-06, 7.681913168903415e-06, 0.00045159502342422095]",7.976842405436509e-06
0.25,10,"[6.718034825312799e-06, 6.533895603226895e-07, 4.282379486555656e-07, 3.759755005908708e-07, 3.843311073599882e-07, 4.4241523940566245e-07, 5.760102118801813e-07, 8.793111609993207e-07, 1.6919881127766646e-06, 4.541661468009137e-06, 0.000287035335253302]",6.342059324721928e-06
0.5,1,"[0.9209024042671881, 0.9259781187638844, 0.9308321769661841, 0.9354721086729338, 0.9399047981929166, 0.9441365582807589, 0.9481731936477604, 0.9520200557651357, 0.9556820903493449, 0.9591638786615646, 0.9624696735492367]",0.0
0.5,2,"[0.8194095573130334, 0.8347662996686763, 0.8486307619801285, 0.8611814950993818, 0.8725556637527291, 0.8828611859575766, 0.8921846518240154, 0.9005966847344562, 0.9081556835597626, 0.914910501553723, 0.9209024042671881]",0.0
0.5,3,"[0.6578884908176732, 0.7055718647367442, 0.7412582688143858, 0.7698784226501177, 0.7935608871079943, 0.8134530364106527, 0.830254720983886, 0.8444280184589178, 0.8562951155029238, 0.8660894996973862, 0.8739849611610986]",0.0
0.5,4,"[0.00033951499434036706, 9.332486492350833e-05, 0.0002859740512983598, 0.6347916211067665, 0.6911827717419683, 0.7299802163671409, 0.7589977854673308, 0.7812279378623663, 0.7981808056403481, 0.8107282426951875, 0.8194095573130334]",0.0002461901294168587
0.5,5,"[0.00014826892760647824, 2.462553638114823e-05, 1.8188781620680657e-05, 1.8962694387743827e-05, 2.3774313484423712e-05, 0.612095509977693, 0.6700788866685943, 0.7061771902645968, 0.7299802163671409, 0.7448617287320738, 0.7523337700277288]",0.0001300801459857976
0.5,6,"[8.420546902845442e-05, 1.1370187851469453e-05, 7.936459509147021e-06, 7.550602994275781e-06, 8.699210020426806e-06, 1.2009379763587395e-05, 0.5164541737434163, 0.6042079493537729, 0.6412455143918541, 0.6575401135678441, 0.6578884908176729]",7.665486603417864e-05
0.5,7,"[5.456730209311268e-05, 6.290225815774875e-06, 4.24393871879429e-06, 3.866079597893156e-06, 4.172321710235059e-06, 5.2051425130470195e-06, 7.49589878579747e-06, 1.166514613783702e-05, 1.764169539238796e-05, 3.263589812146382e-05, 0.0006248572846728863]",5.070122249521952e-05
0.5,8,"[3.8322575180584575e-05, 3.866741513755195e-06, 2.5528114974014843e-06, 2.2681434025436694e-06, 2.3638904631018965e-06, 2.7980673184552423e-06, 3.7328632497709197e-06, 5.438394364171438e-06, 8.302020954544714e-06, 1.5469511498888316e-05, 0.00033951499433426696]",3.6054431778040904e-05
0.5,9,"[2.8423883114685792e-05, 2.5535159988292143e-06, 1.6605257943938214e-06, 1.451531110648021e-06, 1.4805163963179288e-06, 1.6996228978330111e-06, 2.1732226121797646e-06, 3.029497209333777e-06, 4.53729188839281e-06, 8.5397930594095e-06, 0.00021385613821894942]",2.697235200403777e-05
0.5,10,"[2.1934691917451232e-05, 1.777081581498355e-06, 1.1427599899841804e-06, 9.875281928136322e-07, 9.925859973973442e-07, 1.1169811761522783e-06, 1.3911248061549275e-06, 1.8890302363337871e-06, 2.798067318776302e-06, 5.29812795872115e-06, 0.00014826892760615718]",2.0947163724637598e-05
