a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263852
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874387
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750183
0.0,37.97,0.19463130799995418
0.0,42.19,0.17865447216723776
4.22,0.0,0.7743326972356636
4.22,4.22,0.5027904241565403
4.22,8.44,0.25382191495772843
4.22,12.66,0.15440659374029403
4.22,16.88,0.10937937821414276
4.22,21.09,0.0833804107194575
4.22,25.31,0.06555930205093895
4.22,29.53,0.05227023191240693
4.22,33.75,0.042137025804763195
4.22,37.97,0.03440452291673479
4.22,42.19,0.028500467060584934
8.44,0.0,0.5686224951439892
8.44,4.22,0.25382191495772827
8.44,8.44,0.11757296392077005
8.44,12.66,0.07330196821510249
8.44,16.88,0.0490783274953823
8.44,21.09,0.034000266746521464
8.44,25.31,0.02458485640634365
8.44,29.53,0.018592590816039357
8.44,33.75,0.014631871890394983
8.44,37.97,0.011900771442427556
8.44,42.19,0.009941406843422441
12.66,0.0,0.4408752593263853
12.66,4.22,0.15440659374032648
12.66,8.44,0.0733019682154229
12.66,12.66,0.04195371874761762
12.66,16.88,0.025905859568437245
12.66,21.09,0.017460928916351252
12.66,25.31,0.01269263965015456
12.66,29.53,0.009773086858711859
12.66,33.75,0.007854794250519293
12.66,37.97,0.006520263923439616
12.66,42.19,0.00554848222613847
16.88,0.0,0.3611335247983081
16.88,4.22,0.10937937821408433
16.88,8.44,0.04907832749470888
16.88,12.66,0.025905859568404178
16.88,16.88,0.01581655516182504
16.88,21.09,0.010849140711801217
16.88,25.31,0.008066486676699168
16.88,29.53,0.006341295591729971
16.88,33.75,0.005187265705198869
16.88,37.97,0.004369686636182434
16.88,42.19,0.003764243960071859
21.09,0.0,0.30696653823874387
21.09,4.22,0.08338041072025597
21.09,8.44,0.03400026674646592
21.09,12.66,0.01746092891619361
21.09,16.88,0.010849140712018574
21.09,21.09,0.007614300057484301
21.09,25.31,0.005774141174960544
21.09,29.53,0.004611591153285561
21.09,33.75,0.0038201367082382216
21.09,37.97,0.003250756153686404
21.09,42.19,0.0028235302248345376
25.31,0.0,0.26761376584393937
25.31,4.22,0.06555930204952307
25.31,8.44,0.02458485640586447
25.31,12.66,0.012692639650628442
25.31,16.88,0.008066486676883297
25.31,21.09,0.005774141175066334
25.31,25.31,0.0044460459817327455
25.31,29.53,0.003592731631098676
25.31,33.75,0.0030034163147251054
25.31,37.97,0.002574349132168281
25.31,42.19,0.002249163575864746
29.53,0.0,0.23760459314110452
29.53,4.22,0.05227023191213724
29.53,8.44,0.018592590814876638
29.53,12.66,0.009773086858673494
29.53,16.88,0.006341295591839613
29.53,21.09,0.004611591153341747
29.53,25.31,0.003592731631185362
29.53,29.53,0.002928950661322342
29.53,33.75,0.002465289766863913
29.53,37.97,0.0021245441069049904
29.53,42.19,0.0018642918856370725
33.75,0.0,0.21388935693750183
33.75,4.22,0.042137025804076925
33.75,8.44,0.014631871891057972
33.75,12.66,0.007854794251045029
33.75,16.88,0.005187265705218614
33.75,21.09,0.0038201367081733676
33.75,25.31,0.003003416314894946
33.75,29.53,0.0024652897669062927
33.75,33.75,0.002085979506439604
33.75,37.97,0.0018051612568289323
33.75,42.19,0.0015893712883956245
37.97,0.0,0.1946313079999548
37.97,4.22,0.034404522916397354
37.97,8.44,0.011900771442452116
37.97,12.66,0.006520263923344099
37.97,16.88,0.00436968663625997
37.97,21.09,0.0032507561535669695
37.97,25.31,0.0025743491322368275
37.97,29.53,0.0021245441068773793
37.97,33.75,0.0018051612567902445
37.97,37.97,0.0015673056985338954
37.97,42.19,0.0013836362552902414
42.19,0.0,0.17865447216724245
42.19,4.22,0.0285004670619976
42.19,8.44,0.009941406843701282
42.19,12.66,0.005548482226173466
42.19,16.88,0.003764243960051632
42.19,21.09,0.0028235302248738677
42.19,25.31,0.0022491635758764648
42.19,29.53,0.0018642918856418885
42.19,33.75,0.001589371288399156
42.19,37.97,0.0013836362553326213
42.19,42.19,0.0012241369331722934
