a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439892
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874404
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110435
0.0,33.75,0.21388935693750216
0.0,37.97,0.19463130799995562
0.0,42.19,0.17865447216723937
0.14,0.0,0.9584359124428965
0.14,4.22,0.7253907105568604
0.14,8.44,0.5059827619013306
0.14,12.66,0.36958235121339617
0.14,16.88,0.2823900949359273
0.14,21.09,0.21902615558129304
0.14,25.31,0.0035474818068700967
0.14,29.53,0.002314195439747527
0.14,33.75,0.0017174534436783383
0.14,37.97,0.0013601856558419112
0.14,42.19,0.0011228323852765874
0.27,0.0,0.9082031378002648
0.27,4.22,0.6604333820268116
0.27,8.44,0.40064068793009466
0.27,12.66,0.002770972246933817
0.27,16.88,0.001564286515316895
0.27,21.09,0.0010667198424652916
0.27,25.31,0.0008023142442369521
0.27,29.53,0.0006402606949053816
0.27,33.75,0.0005314572021022719
0.27,37.97,0.00045364696502006374
0.27,42.19,0.00039537141400765194
0.41,0.0,0.8443716211361544
0.41,4.22,0.5537965492160764
0.41,8.44,0.002442032331000966
0.41,12.66,0.0012113625147913765
0.41,16.88,0.0007817029436819474
0.41,21.09,0.0005715307846030376
0.41,25.31,0.00044861727338516797
0.41,29.53,0.0003684749987828545
0.41,33.75,0.0003122764543517346
0.41,37.97,0.00027076710135829707
0.41,42.19,0.00023889244269551777
0.54,0.0,0.7541951804953123
0.54,4.22,0.004242353403597326
0.54,8.44,0.0013883507641535456
0.54,12.66,0.0007631239667468062
0.54,16.88,0.0005168724507042265
0.54,21.09,0.00038848806810426695
0.54,25.31,0.00031041155305139507
0.54,29.53,0.0002581374971050241
0.54,33.75,0.00022077197124192576
0.54,37.97,0.0001927693697282909
0.54,42.19,0.0001710200424928132
0.68,0.0,0.305132072464424
0.68,4.22,0.002581715542577401
0.68,8.44,0.0009561597734741884
0.68,12.66,0.0005541286461618605
0.68,16.88,0.00038514413470354175
0.68,21.09,0.00029388243525929695
0.68,25.31,0.00023714626086006492
0.68,29.53,0.00019858300762991456
0.68,33.75,0.0001707135978864524
0.68,37.97,0.00014965224700984453
0.68,42.19,0.00013318609765785853
0.81,0.0,0.028127162050496885
0.81,4.22,0.001802893580407751
0.81,8.44,0.0007249503873825582
0.81,12.66,0.0004341476301892641
0.81,16.88,0.0003066930081289177
0.81,21.09,0.00023626940844564278
0.81,25.31,0.00019185643069982808
0.81,29.53,0.00016137123187490152
0.81,33.75,0.0001391815046756577
0.81,37.97,0.00012232071709642917
0.81,42.19,0.00010908195965358368
0.95,0.0,0.020458019967427885
0.95,4.22,0.0013686079485858865
0.95,8.44,0.0005821585271633354
0.95,12.66,0.00035657609058628944
0.95,16.88,0.0002547358430356683
0.95,21.09,0.00019754590891029133
0.95,25.31,0.00016111105866879215
0.95,29.53,0.00013592782779637798
0.95,33.75,0.00011750450390942104
0.95,37.97,0.00010345174258500517
0.95,42.19,9.238443432569137e-05
1.08,0.0,0.015340078507207443
1.08,4.22,0.0010964152928249647
1.08,8.44,0.0004856016847006117
1.08,12.66,0.00030238800794069796
1.08,16.88,0.000217815377355403
1.08,21.09,0.00016973883697131794
1.08,25.31,0.00013887572767273771
1.08,29.53,0.00011743246172296269
1.08,33.75,0.00010168595106029355
1.08,37.97,8.964060167935601e-05
1.08,42.19,8.013294485167228e-05
1.22,0.0,0.011894551853670578
1.22,4.22,0.0009115920392747353
1.22,8.44,0.0004161015311536668
1.22,12.66,0.00026241647902817055
1.22,16.88,0.00019023138218393854
1.22,21.09,0.00014880036166028504
1.22,25.31,0.00012204386846357964
1.22,29.53,0.00010337815661741095
1.22,33.75,8.963099833658973e-05
1.22,37.97,7.909169085279293e-05
1.22,42.19,7.075832335700929e-05
1.36,0.0,0.009518885265660538
1.36,4.22,0.0007786329298822634
1.36,8.44,0.0003637480028510438
1.36,12.66,0.0002317189837074333
1.36,16.88,0.0001688362965269671
1.36,21.09,0.00013246130555275636
1.36,25.31,0.00010885567961889767
1.36,29.53,9.233384514838124e-05
1.36,33.75,8.0136802860143e-05
1.36,37.97,7.076919999632656e-05
1.36,42.19,6.335197286340133e-05
