a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.14,0.9584359124428965
0.0,0.27,0.9082031378002648
0.0,0.41,0.8443716211361544
0.0,0.54,0.7541951804953123
0.0,0.68,0.3051324008002572
0.0,0.81,0.02812716200481742
0.0,0.95,0.020458019913785493
0.0,1.08,0.015340078464311895
0.0,1.22,0.011894551791201762
0.0,1.36,0.009518885222952649
0.14,0.0,0.9584359124428965
0.14,0.14,0.9183176865016599
0.14,0.27,0.8690065632643353
0.14,0.41,0.8046978881761206
0.14,0.54,0.7085080387275545
0.14,0.68,0.00025247251323590197
0.14,0.81,0.00016961889630219462
0.14,0.95,0.00012063676129563217
0.14,1.08,9.187053262941183e-05
0.14,1.22,7.361097104128886e-05
0.14,1.36,6.117928440701539e-05
0.27,0.0,0.9082031378002648
0.27,0.14,0.8690065632643353
0.27,0.27,0.8198528182845232
0.27,0.41,0.7533663322463442
0.27,0.54,0.6424502445077533
0.27,0.68,0.00010800816666208267
0.27,0.81,7.206659116119359e-05
0.27,0.95,5.2464172050137474e-05
0.27,1.08,4.08550085078974e-05
0.27,1.22,3.331633099127129e-05
0.27,1.36,2.8070474867287013e-05
0.41,0.0,0.8443716211361544
0.41,0.14,0.804697888176121
0.41,0.27,0.7533663322463442
0.41,0.41,0.6787613975623134
0.41,0.54,9.871207672413335e-05
0.41,0.68,6.204268607465347e-05
0.41,0.81,4.252226536928192e-05
0.41,0.95,3.180637187448099e-05
0.41,1.08,2.5238831320345832e-05
0.41,1.22,2.0855725123814854e-05
0.41,1.36,1.774226513225164e-05
0.54,0.0,0.7541951804953123
0.54,0.14,0.7085080387275545
0.54,0.27,0.642450244507754
0.54,0.41,9.871207671498315e-05
0.54,0.54,6.110976788311217e-05
0.54,0.68,4.010930090805002e-05
0.54,0.81,2.8759138747360603e-05
0.54,0.95,2.210222071413328e-05
0.54,1.08,1.783662700201521e-05
0.54,1.22,1.4905820499380326e-05
0.54,1.36,1.2781839576279425e-05
0.68,0.0,0.30513240075652937
0.68,0.14,0.0002524725132392731
0.68,0.27,0.00010800816666192212
0.68,0.41,6.204268607641931e-05
0.68,0.54,4.010930090917373e-05
0.68,0.68,2.8120988740443796e-05
0.68,0.81,2.103937231093819e-05
0.68,0.95,1.657300137050615e-05
0.68,1.08,1.3578057774150006e-05
0.68,1.22,1.1460067459973253e-05
0.68,1.36,9.89514298173017e-06
0.81,0.0,0.02812716200575572
0.81,0.14,0.00016961889630091038
0.81,0.27,7.206659116055147e-05
0.81,0.41,4.252226536912139e-05
0.81,0.54,2.8759138747360603e-05
0.81,0.68,2.103937231061713e-05
0.81,0.81,1.62402186165088e-05
0.81,0.95,1.3056676241852734e-05
0.81,1.08,1.0839197221243962e-05
0.81,1.22,9.229287467736343e-06
0.81,1.36,8.018004026940023e-06
0.95,0.0,0.02045801991538983
0.95,0.14,0.00012063676129579271
0.95,0.27,5.246417204853218e-05
0.95,0.41,3.180637187512311e-05
0.95,0.54,2.21022207147754e-05
0.95,0.68,1.6573001370345622e-05
0.95,0.81,1.3056676241852734e-05
0.95,0.95,1.0659865263086225e-05
0.95,1.08,8.94656685797254e-06
0.95,1.22,7.67629162268164e-06
0.95,1.36,6.705301209977307e-06
1.08,0.0,0.015340078465005545
1.08,0.14,9.187053262780654e-05
1.08,0.27,4.0855008508539516e-05
1.08,0.41,2.523883132002477e-05
1.08,0.54,1.783662700153362e-05
1.08,0.68,1.3578057773828947e-05
1.08,0.81,1.0839197221243962e-05
1.08,0.95,8.946566857812011e-06
1.08,1.08,7.572835063985255e-06
1.08,1.22,6.539296308934729e-06
1.08,1.36,5.739343779259377e-06
1.22,0.0,0.011894551792507193
1.22,0.14,7.361097104096779e-05
1.22,0.27,3.331633099159235e-05
1.22,0.41,2.0855725124456973e-05
1.22,0.54,1.4905820499380326e-05
1.22,0.68,1.1460067459812723e-05
1.22,0.81,9.229287467415284e-06
1.22,0.95,7.67629162268164e-06
1.22,1.08,6.539296308934729e-06
1.22,1.22,5.675872577247294e-06
1.22,1.36,5.001585783272456e-06
1.36,0.0,0.00951888522439758
1.36,0.14,6.117928440669434e-05
1.36,0.27,2.8070474867929132e-05
1.36,0.41,1.774226513193058e-05
1.36,0.54,1.2781839576279425e-05
1.36,0.68,9.89514298156964e-06
1.36,0.81,8.018004027261082e-06
1.36,0.95,6.705301209816777e-06
1.36,1.08,5.739343779259377e-06
1.36,1.22,5.001585783111926e-06
1.36,1.36,4.421958785611776e-06
