a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177234
0.0,2.11,0.4927407066869598
0.0,3.16,0.40039819034405105
0.0,4.22,0.33881579699195663
0.0,5.27,0.29439535450604176
0.0,6.33,0.260658268271272
0.0,7.38,0.23407651584247224
0.0,8.44,0.21254588501929475
0.0,9.49,0.1947255317430202
0.0,10.55,0.17971677007529893
0.14,0.0,0.9584359124428965
0.14,1.05,0.6061936594688251
0.14,2.11,0.44121029397124933
0.14,3.16,0.3424442727123698
0.14,4.22,0.27409373108005236
0.14,5.27,0.2217104366752999
0.14,6.33,0.004219599561064742
0.14,7.38,0.0025836076433587
0.14,8.44,0.0018837998786424357
0.14,9.49,0.0014780811636479862
0.14,10.55,0.0012130116120366806
0.27,0.0,0.9082031378002648
0.27,1.05,0.5444708406027341
0.27,2.11,0.3524067395229215
0.27,3.16,0.002782233370002113
0.27,4.22,0.0015970455458575931
0.27,5.27,0.0010980303292875194
0.27,6.33,0.0008297438216655871
0.27,7.38,0.0006641440590131069
0.27,8.44,0.0005524357928651271
0.27,9.49,0.0004722805084748329
0.27,10.55,0.0004120978922349236
0.41,0.0,0.8443716211361547
0.41,1.05,0.4192882135514137
0.41,2.11,0.0022870091667767673
0.41,3.16,0.0011913823939857574
0.41,4.22,0.000785198966986987
0.41,5.27,0.0005804789335210122
0.41,6.33,0.0004587095279482656
0.41,7.38,0.0003784579280347476
0.41,8.44,0.00032176765405152023
0.41,9.49,0.0002796706251682592
0.41,10.55,0.00024721294436809226
0.54,0.0,0.7541951804953116
0.54,1.05,0.003690387101921499
0.54,2.11,0.0013086147374609767
0.54,3.16,0.0007497779216504551
0.54,4.22,0.0005177851096084369
0.54,5.27,0.0003933826804513319
0.54,6.33,0.0003164502505594702
0.54,7.38,0.00026437587676513604
0.54,8.44,0.00022686698799937493
0.54,9.49,0.00019859764893896396
0.54,10.55,0.00017654559013205386
0.68,0.0,0.3051324004763508
0.68,1.05,0.0022894660039087127
0.68,2.11,0.0009089259327557298
0.68,3.16,0.0005456046552729821
0.68,4.22,0.00038592057736248415
0.68,5.27,0.0002974546908613744
0.68,6.33,0.00024158450673342953
0.68,7.38,0.00020320877993185865
0.68,8.44,0.0001752670215743595
0.68,9.49,0.00015403307827711196
0.68,10.55,0.0001373602592091369
0.81,0.0,0.028127162005308327
0.81,1.05,0.0016353700811765693
0.81,2.11,0.0006945316883250443
0.81,3.16,0.00042863470606873056
0.81,4.22,0.0003076290569553445
0.81,5.27,0.00023922244033030627
0.81,6.33,0.00019544817828942587
0.81,7.38,0.00016510166950699766
0.81,8.44,0.00014285443197053908
0.81,9.49,0.0001258587479413996
0.81,10.55,0.00011245798593270548
0.95,0.0,0.020458019915170062
0.95,1.05,0.0012647866426546404
0.95,2.11,0.0005615588084292413
0.95,3.16,0.0003529899014624794
0.95,4.22,0.00025581929534675553
0.95,5.27,0.00020012724433681175
0.95,6.33,0.00016416711162132246
0.95,7.38,0.00013907917960080622
0.95,8.44,0.00012060031221121515
0.95,9.49,0.00010643217228146144
0.95,10.55,9.522866407340616e-05
1.08,0.0,0.015340078465804343
1.08,1.05,0.0010286137875044792
1.08,2.11,0.0004712380598590207
1.08,3.16,0.00030009134548336907
1.08,4.22,0.00021900023443490585
1.08,5.27,0.00017206086589076808
1.08,6.33,0.00014155410929816978
1.08,7.38,0.00012017253035420732
1.08,8.44,0.00010436962266055089
1.08,9.49,9.222114118869932e-05
1.08,10.55,8.259449484336984e-05
1.22,0.0,0.01189455179217939
1.22,1.05,0.0008657784550646482
1.22,2.11,0.0004059473991685352
1.22,3.16,0.00026102303723741707
1.22,4.22,0.00019148179813371327
1.22,5.27,0.00015092618664155303
1.22,6.33,0.00012443820646189263
1.22,7.38,0.00010580844915256245
1.22,8.44,9.200358946189781e-05
1.22,9.49,8.136979496699555e-05
1.22,10.55,7.292995535277616e-05
1.36,0.0,0.009518885223940711
1.36,1.05,0.0007470270373978375
1.36,2.11,0.00035656568158843417
1.36,3.16,0.00023098424367656764
1.36,4.22,0.00017012918207762943
1.36,5.27,0.00013443215515772416
1.36,6.33,0.00011102764799216945
1.36,7.38,9.45216379716648e-05
1.36,8.44,8.226560967812629e-05
1.36,9.49,7.281001281444122e-05
1.36,10.55,6.529588691964038e-05
