a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.14,0.9584359124428965
0.0,0.27,0.9082031378002648
0.0,0.41,0.844371621136154
0.0,0.54,0.7541951804953116
0.0,0.68,0.30513240130198693
0.0,0.81,0.02812716200443006
0.0,0.95,0.02045801991686382
0.0,1.08,0.01534007846406789
0.0,1.22,0.011894551791746122
0.0,1.36,0.009518885224931502
0.29,0.0,0.9564377777954748
0.29,0.14,0.9163624651729614
0.29,0.27,0.8670689379241872
0.29,0.41,0.802702673112664
0.29,0.54,0.7061166303319251
0.29,0.68,0.0007736704703387904
0.29,0.81,0.000528018194270785
0.29,0.95,0.0003761936763118475
0.29,1.08,0.000286629213635097
0.29,1.22,0.00022967025232843345
0.29,1.36,0.00019085664249201553
0.59,0.0,0.903450806815468
0.59,0.14,0.8642594217479244
0.59,0.27,0.8150256103577138
0.59,0.41,0.7481793280351822
0.59,0.54,0.635013882663459
0.59,0.68,0.0003384005684504993
0.59,0.81,0.00022615409066301017
0.59,0.95,0.00016487958270985548
0.59,1.08,0.00012850300830134518
0.59,1.22,0.00010484111083421772
0.59,1.36,8.83575972116809e-05
0.88,0.0,0.8355313739766219
0.88,0.14,0.795567986099261
0.88,0.27,0.7436063184123579
0.88,0.41,0.667033364629434
0.88,0.54,0.0003024859065115045
0.88,0.68,0.0001940383057848662
0.88,0.81,0.00013348685204485797
0.88,0.95,0.0001000826989961441
0.88,1.08,7.9526746060381e-05
0.88,1.22,6.577178664044864e-05
0.88,1.36,5.598415402548137e-05
1.18,0.0,0.7382028913512025
1.18,0.14,0.6905485693407091
1.18,0.27,0.619095506242904
1.18,0.41,0.00030447668430773605
1.18,0.54,0.00018972205659027681
1.18,0.68,0.00012521093108218572
1.18,0.81,9.024017771326479e-05
1.18,0.95,6.956071618215855e-05
1.18,1.08,5.623642366693893e-05
1.18,1.22,4.704915213084051e-05
1.18,1.36,4.037541631156216e-05
1.47,0.0,0.29060654836307376
1.47,0.14,0.0008593770926000158
1.47,0.27,0.00034419618022783516
1.47,0.41,0.00019329963942860636
1.47,0.54,0.00012469457871013652
1.47,0.68,8.78219922340038e-05
1.47,0.81,6.600727874506688e-05
1.47,0.95,5.2158644202980515e-05
1.47,1.08,4.2819452058335235e-05
1.47,1.22,3.618811792434605e-05
1.47,1.36,3.127464534732856e-05
1.76,0.0,0.10171193460198599
1.76,0.14,0.0005709483834636928
1.76,0.27,0.00022858169178963943
1.76,0.41,0.000133036154724806
1.76,0.54,8.979885482594183e-05
1.76,0.68,6.583588091631726e-05
1.76,0.81,5.097839923265915e-05
1.76,0.95,4.109759493631928e-05
1.76,1.08,3.4186695644430536e-05
1.76,1.22,2.915035902339908e-05
1.76,1.36,2.5349895259215262e-05
2.06,0.0,0.07766655028685271
2.06,0.14,0.000402081245725225
2.06,0.27,0.00016660254315714457
2.06,0.41,9.991531684155344e-05
2.06,0.54,6.927139175659206e-05
2.06,0.68,5.198224042566131e-05
2.06,0.81,4.103102856243071e-05
2.06,0.95,3.356828713861851e-05
2.06,1.08,2.8223203127755824e-05
2.06,1.22,2.4249403771105656e-05
2.06,1.36,2.1203936514558665e-05
2.35,0.0,0.06282960007225942
2.35,0.14,0.0003040575015096286
2.35,0.27,0.00012990829061260348
2.35,0.41,7.952084542147283e-05
2.35,0.54,5.60637360733446e-05
2.35,0.68,4.268066445965351e-05
2.35,0.81,3.410835224929403e-05
2.35,0.95,2.819329939956421e-05
2.35,1.08,2.3898311387324292e-05
2.35,1.22,2.0662091833516855e-05
2.35,1.36,1.815249279001694e-05
2.64,0.0,0.05208903022681286
2.64,0.14,0.00024239608539222904
2.64,0.27,0.00010604486617307568
2.64,0.41,6.585419910893337e-05
2.64,0.54,4.695526100670806e-05
2.64,0.68,3.608905236221881e-05
2.64,0.81,2.9080809180846948e-05
2.64,0.95,2.4210883670208347e-05
2.64,1.08,2.0647127264994564e-05
2.64,1.22,1.7939364135770574e-05
2.64,1.36,1.5822303881352412e-05
2.94,0.0,0.043764086311138116
2.94,0.14,0.00020069884726185683
2.94,0.27,8.941402537045496e-05
2.94,0.41,5.611449885777717e-05
2.94,0.54,4.033353584254413e-05
2.94,0.68,3.1208043013269504e-05
2.94,0.81,2.529439931135376e-05
2.94,0.95,2.1166730704122836e-05
2.94,1.08,1.813193464875353e-05
2.94,1.22,1.5814173327726166e-05
2.94,1.36,1.3992193324128264e-05
