a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.44087525932638505
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874404
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110435
0.0,33.75,0.21388935693750216
0.0,37.97,0.19463130799995562
0.0,42.19,0.17865447216723937
1.05,0.0,0.6512145775177239
1.05,4.22,0.3327144312252479
1.05,8.44,0.1700010312536803
1.05,12.66,0.11486688455870145
1.05,16.88,0.08655254378653258
1.05,21.09,0.06824320612471114
1.05,25.31,0.05488236593118974
1.05,29.53,0.044662084876909855
1.05,33.75,0.03675086411130616
1.05,37.97,0.03061154024285833
1.05,42.19,0.025829434982415286
2.11,0.0,0.49274070668695996
2.11,4.22,0.18547013988847544
2.11,8.44,0.09321559400221213
2.11,12.66,0.05996014663922399
2.11,16.88,0.040940901854154596
2.11,21.09,0.02915957196950595
2.11,25.31,0.021714584486910313
2.11,29.53,0.016853549343497334
2.11,33.75,0.013548152568349018
2.11,37.97,0.011208527986352038
2.11,42.19,0.009491613780388384
3.16,0.0,0.40039819034405133
3.16,4.22,0.12584284667084875
3.16,8.44,0.06099780089166571
3.16,12.66,0.035181658322318975
3.16,16.88,0.02235283876476877
3.16,21.09,0.015544698303882621
3.16,25.31,0.011598881290623721
3.16,29.53,0.009115753982622293
3.16,33.75,0.007444365656304934
3.16,37.97,0.006257786138941999
3.16,42.19,0.005379026000022538
4.22,0.0,0.33881579699195663
4.22,4.22,0.09431516271090915
4.22,8.44,0.04179725470892918
4.22,12.66,0.022434874342317595
4.22,16.88,0.014105545318163982
4.22,21.09,0.009926038777290975
4.22,25.31,0.007529284571732203
4.22,29.53,0.006011597051625706
4.22,33.75,0.0049780064813497995
4.22,37.97,0.004234655467507435
4.22,42.19,0.0036771624287770884
5.27,0.0,0.29439535450604176
5.27,4.22,0.07402710312836279
5.27,8.44,0.029714341814914634
5.27,12.66,0.015592930537094552
5.27,16.88,0.009925694334492837
5.27,21.09,0.007103174767610022
5.27,25.31,0.005468979389357479
5.27,29.53,0.0044205443242598
5.27,33.75,0.003697342958048671
5.27,37.97,0.0031711916969151058
5.27,42.19,0.0027725706438920775
6.33,0.0,0.260658268271272
6.33,4.22,0.059268340362951054
6.33,8.44,0.022051761951454685
6.33,12.66,0.011617243998957225
6.33,16.88,0.0075221796714452374
6.33,21.09,0.0054646699948013985
6.33,25.31,0.00425734202709734
6.33,29.53,0.0034729553468243936
6.33,33.75,0.002925980720950397
6.33,37.97,0.002524357526660226
6.33,42.19,0.002217694552311295
7.38,0.0,0.23407651584247208
7.38,4.22,0.047973333607750315
7.38,8.44,0.017057291350715754
7.38,12.66,0.009116417263135954
7.38,16.88,0.005999898880579689
7.38,21.09,0.004413138906828503
7.38,25.31,0.003469936906154437
7.38,29.53,0.002850477600239513
7.38,33.75,0.0024146596637847407
7.38,37.97,0.0020923070371542574
7.38,42.19,0.001844669130106898
8.44,0.0,0.21254588501929603
8.44,4.22,0.03923575532740415
8.44,8.44,0.013672602788513294
8.44,12.66,0.007435426007386151
8.44,16.88,0.0049638894782180875
8.44,21.09,0.0036881644511262486
8.44,25.31,0.0029211084632094625
8.44,29.53,0.002412732022662964
8.44,33.75,0.002052462207617904
8.44,37.97,0.001784418649682651
8.44,42.19,0.0015775033475820231
9.49,0.0,0.19472553174302581
9.49,4.22,0.032477605727670326
9.49,8.44,0.011285375410527472
9.49,12.66,0.006243891331981673
9.49,16.88,0.004219516214844308
9.49,21.09,0.0031611380920643665
9.49,25.31,0.0025184174296628073
9.49,29.53,0.002089180288406438
9.49,33.75,0.0017831669663256903
9.49,37.97,0.0015543953957870037
9.49,42.19,0.0013771015940213995
10.55,0.0,0.1797167700753135
10.55,4.22,0.027241542586901934
10.55,8.44,0.009539221941976301
10.55,12.66,0.005362773563404467
10.55,16.88,0.00366181614177826
10.55,21.09,0.002762196267155245
10.55,25.31,0.002211186281717761
10.55,29.53,0.0018408139091052288
10.55,33.75,0.0015754416161556835
10.55,37.97,0.0013762610214577522
10.55,42.19,0.0012213986962465908
