Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8784716818770191, 0.8915833150546276, 0.9037149810313064, 0.9149698636100387, 0.9254325610598457, 0.9351735584083102, 0.9442524180111589, 0.9527201093541788, 0.9606207444993189, 0.9679928930769627, 0.9748705934630864]",0.0
0.25,2,"[0.30513239890052835, 0.6791511847341049, 0.7439449978998575, 0.7897775327155759, 0.8256417416141204, 0.8549847078185043, 0.8795708710447147, 0.9004516556287959, 0.9183176865016599, 0.9336551517821052, 0.946824754427256]",0.0
0.25,3,"[0.01764197802771663, 0.006222842647611465, 0.0006864709491028579, 0.000482972229117601, 0.6422061263981023, 0.7408006423533388, 0.7990495599623313, 0.8405944709161495, 0.8719957713463103, 0.8962582515039552, 0.9150875350889963]",0.01715900579859903
0.25,4,"[0.00951888522477338, 0.0004935812739483173, 0.0002094819174699343, 0.00017019892684906252, 0.00016961889629882348, 0.00019265839096601088, 0.6793008562356311, 0.7676975658635552, 0.8198528182845228, 0.8546817325427538, 0.8784716818770191]",0.009349266328474557
0.25,5,"[0.0060926717177754485, 0.00019573437579974807, 0.00010415361431018905, 8.346413958373732e-05, 8.032732799296969e-05, 8.979346434069912e-05, 0.000117280575041313, 0.664535755870647, 0.7584157242769279, 0.8070148379924859, 0.8349795356586437]",0.006012344389782479
0.25,6,"[0.004359546336848228, 0.00011322632200338858, 6.248370606236618e-05, 4.942637012927651e-05, 4.6327146380225716e-05, 4.966732228081075e-05, 6.199012086262639e-05, 9.386503873885645e-05, 0.6787613975623134, 0.7494245359016236, 0.7807079110147885]",0.0043132191904680026
0.25,7,"[0.003351672282968381, 7.490247643923084e-05, 4.1779149071432865e-05, 3.276058890839471e-05, 3.0195966913937495e-05, 3.149639508310786e-05, 3.756189910330879e-05, 5.4278051066850284e-05, 0.4929051162083412, 0.6713244875172745, 0.705493227298744]",0.0033214763160544433
0.25,8,"[0.002704714229758767, 5.350762894075252e-05, 2.9970966625096243e-05, 2.336204425909024e-05, 2.129650119032762e-05, 2.1816902818935512e-05, 2.5238831320345832e-05, 3.454513341872798e-05, 6.110976788375429e-05, 0.00013558653356191995, 0.3051324008981293]",0.0026834177285684395
0.25,9,"[0.0022588262305548125, 4.024274834219402e-05, 2.258495526661435e-05, 1.753126672685436e-05, 1.5859546156986178e-05, 1.6047169734323816e-05, 1.8183287451823505e-05, 2.3967611694941494e-05, 3.996281231546877e-05, 9.007933162326114e-05, 0.03191072821062596]",0.0022429666843978265
0.25,10,"[0.001934853246507223, 3.141645700870404e-05, 1.764939741994032e-05, 1.3658495462781022e-05, 1.2288219027025373e-05, 1.2323806098274725e-05, 1.3760296240950726e-05, 1.7665227931886904e-05, 2.8120988740604322e-05, 6.19821122432732e-05, 0.025910311498536277]",0.0019225650274801978
0.5,1,"[0.934627328247965, 0.9392912797313943, 0.943670869922742, 0.9477760529297613, 0.9516159551447511, 0.9551989834769176, 0.9585329171819258, 0.9616249859350767, 0.9644819362837513, 0.9671100882196232, 0.9695153833033053]",0.0
0.5,2,"[0.8443716211361537, 0.8600559648726609, 0.8738223514581945, 0.8859054822217268, 0.8964839735280068, 0.905697775717512, 0.9136593524862493, 0.9204611186041016, 0.9261805206348468, 0.9308835704630868, 0.934627328247965]",0.0
0.5,3,"[0.6854611578439841, 0.7391011703297834, 0.7775071907153606, 0.8070772195821221, 0.8304911264996793, 0.8491717130770342, 0.8639820281955791, 0.875494357365349, 0.8841136482268265, 0.8901405473276296, 0.8938057526865427]",0.0
0.5,4,"[0.028127162006253044, 0.004478754836187727, 0.5583192716537151, 0.6862817769168728, 0.7433908822837428, 0.7809237662609192, 0.8070625501807435, 0.8250808709047066, 0.8366858543562787, 0.8428985432212891, 0.8443716211361537]",0.023648407170065316
0.5,5,"[0.01764197802771663, 0.0004734182385775285, 0.00024084044724109467, 0.00019791408161590383, 0.5714447608167462, 0.6875312979861521, 0.7377046343654974, 0.7661346853315516, 0.7809237662609192, 0.7852911095103688, 0.7807079110147885]",-0.0045831984955803096
0.5,6,"[0.011894551792453415, 0.00023317521038345191, 0.00012883191710399283, 0.00010555880808624878, 0.00010419352801943344, 0.0001148347949443007, 0.6388822703688763, 0.6911611729231998, 0.7097808211713601, 0.7073001281600996, 0.6854611578439844]",-0.024319663327375673
