Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.4413511844801566, 0.46267797743637185, 0.48717595618726994, 0.5155650480706063, 0.548805514803276, 0.588209568981544, 0.6356175210729645, 0.6936726805131532, 0.7662030447699142, 0.8584241762038103, 0.9748705934630864]",0.0
0.25,2,"[0.29439535450604176, 0.3085286212627302, 0.3258834208294435, 0.3474787578557913, 0.3747552297007209, 0.4098175569372017, 0.45588702419396604, 0.5182239400921483, 0.6061936594688258, 0.7381481091093959, 0.946824754427256]",0.0
0.25,3,"[0.22277672271674, 0.22957209083038035, 0.23866432192790868, 0.25117550087766666, 0.26887979018898234, 0.29457249124192253, 0.33263801595947595, 0.39016330655187725, 0.47998857272151124, 0.6307072978493834, 0.9150875350889963]",0.0
0.25,4,"[0.1797167700752997, 0.1793273382633234, 0.178796720415272, 0.1779149260516964, 0.004219599563041669, 0.0031849957417866646, 0.003225625434697139, 0.004141387331596946, 0.35240673952292106, 0.5239491419078388, 0.8784716818770191]",0.17653177433351305
0.25,5,"[0.150796851945997, 0.1428321065681716, 0.0741425761442678, 0.0018081524467748187, 0.001322344208421908, 0.001188839363597096, 0.0012337646365836008, 0.001493987340853322, 0.00231362707856694, 0.006478159937571605, 0.8349795356586437]",0.14960801258239992
0.25,6,"[0.12995269859883127, 0.11174407967541661, 0.0015423075230711237, 0.0009029670908256784, 0.0007178733621705357, 0.0006639149414304267, 0.0006907418939921947, 0.0008187754132301389, 0.0011913823939703465, 0.0028591181741649866, 0.7807079110147879]",0.12928878365740085
0.25,7,"[0.11414152214761605, 0.006129709951192981, 0.0008676038046397139, 0.0005638211476089759, 0.0004632751334401406, 0.000433713313971535, 0.00045144481137253346, 0.0005290784585727166, 0.0007455303293692541, 0.0016339020358671912, 0.7054932272987443]",0.11370780883364452
0.25,8,"[0.10165033008367443, 0.0016408912153517794, 0.0005747866665603114, 0.00039216612692794894, 0.0003279500901161627, 0.00030909652361064786, 0.00032176765404397527, 0.00037454136809183825, 0.0005177851096137344, 0.0010735346012017313, 0.30513239965769984]",0.10134123356006378
0.25,9,"[0.09143969524384256, 0.0010094151120612575, 0.00041491741385238584, 0.00029116307295795336, 0.00024613122704079894, 0.00023296515771068066, 0.00024252962767505696, 0.000281071063897758, 0.00038380017164563976, 0.0007673275700945462, 0.031910728212357756]",0.031677763054647076
0.25,10,"[0.08284976946399973, 0.0007079611773418477, 0.00031618277255735655, 0.00022593536181496172, 0.0001923778093152948, 0.00018261432166925807, 0.00019012443463159226, 0.00021968303639173961, 0.00029745469085222417, 0.0005799507138428996, 0.02591031149693932]",0.025727697175270063
0.5,1,"[0.5596213507581559, 0.5807824736617578, 0.6045136748920612, 0.6312751397917805, 0.6616384455545694, 0.6963169069490739, 0.7361982507688634, 0.7823644059230491, 0.8360474218193086, 0.898371512769686, 0.9695153833033053]",0.0
0.5,2,"[0.40039819034405133, 0.4168600962942891, 0.4365094060782816, 0.4602044980329405, 0.48910637083865255, 0.5248226477287342, 0.569645625884739, 0.6269561319286032, 0.7018825361216848, 0.801996962053989, 0.934627328247965]",0.0
0.5,3,"[0.3149626828824774, 0.3246554458973294, 0.3370559457941326, 0.3532327321271459, 0.3747585306313058, 0.4039631540037457, 0.44433398615748443, 0.501241004247372, 0.5834806148065996, 0.7066345439181405, 0.8938057526865427]",0.0
0.5,4,"[0.260658268271272, 0.2631004852700499, 0.26656374660308285, 0.2717610761966486, 0.2801345376984042, 0.2947680935811252, 0.322056947741891, 0.3726111431847596, 0.4594902259972249, 0.602948993949529, 0.8443716211361537]",0.0
0.5,5,"[0.22277672271674, 0.21751443146206098, 0.2089437467886211, 0.004059620097935223, 0.002438785740751125, 0.002069519103598438, 0.0020952451996248925, 0.002509299402837962, 0.003814267630077405, 0.43110780444915264, 0.7807079110147879]",0.22070720361314158
