Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.49665890133724433, 0.480731174383827, 0.47305370050584244, 0.4751798448426696, 0.48862073648339466, 0.5147922456072854, 0.5539166347303446, 0.6028921462036166, 0.6550501842419194, 0.7039951736522075, 0.7466750375277631]",0.023605200831401885
0.25,2,"[0.30696653823874387, 0.25005121299965233, 0.2154970546090245, 0.1973118675301536, 0.19099108180041205, 0.19522687527107285, 0.21219561498975945, 0.25029407091420414, 0.3327144312252481, 0.47519727279516, 0.6014828868412692]",0.11597545643833182
0.25,3,"[0.22509507833952536, 0.152896289009162, 0.11975103400757228, 0.10401975655233847, 0.09743773847395518, 0.09745108526694149, 0.10421681290120424, 0.12102425156555739, 0.16049309437965376, 0.2836947004640626, 0.5077440697784785]",0.12765733986557018
0.25,4,"[0.17865447216724, 0.10261409420574039, 0.07416673357259694, 0.06079820135698642, 0.05488236592779532, 0.054148448508537, 0.0583848402571652, 0.06931391811097397, 0.09321559400187585, 0.1660486527079778, 0.4413511844801566]",0.124506023658703
0.25,5,"[0.1484435562855275, 0.07189451417098978, 0.046076342094841294, 0.03481592273199646, 0.030150741458403886, 0.029365491865276587, 0.03205492512819881, 0.039759844191422575, 0.05775867405735594, 0.10754580335626157, 0.39140820340812943]",0.1190780644202509
0.25,6,"[0.12709001524514024, 0.05018034521780584, 0.028161845448204232, 0.020203397994928894, 0.017171522514169917, 0.016600289059148687, 0.018108913973466218, 0.022788659630851235, 0.03518165832328761, 0.07408388313431587, 0.3522451414953137]",0.11048972618599155
0.25,7,"[0.11109221344353587, 0.0345372506772058, 0.017768543062795437, 0.012566144205486329, 0.010657012471415822, 0.010271378351151467, 0.01113366868884483, 0.01390705670503782, 0.021697938296966215, 0.05123805543091128, 0.3205875571331054]",0.1008208350923844
0.25,8,"[0.09854950402045247, 0.0239368908203367, 0.011884271302129643, 0.00843644310244237, 0.007180648533021495, 0.006913680092051537, 0.00744436565641602, 0.009178453046172775, 0.0141055453186292, 0.03506065940258589, 0.29439535450604176]",0.09163582392840093
0.25,9,"[0.08834048648472899, 0.01704377805973907, 0.008422877279034534, 0.006035316504909489, 0.005161434957578444, 0.004968222266163833, 0.0053199855002374384, 0.006478633801194425, 0.009745679976770852, 0.024211270416416096, 0.2723227624184352]",0.08337226421856515
0.25,10,"[0.0797708216380911, 0.012563698321924504, 0.006267181945976622, 0.004535462667752886, 0.0038959419521552444, 0.003750126350008066, 0.0039981038295087215, 0.004818952429259052, 0.00710317476757952, 0.017200619988422355, 0.253441697274868]",0.07602069528808303
0.5,1,"[0.6614115411903173, 0.6395937983175599, 0.6255497025073102, 0.6198020922218622, 0.6219282518228868, 0.6307015185954541, 0.6443045176709892, 0.6607110565947063, 0.678132624354002, 0.6952949910688443, 0.7114598555937892]",0.04160944896845509
0.5,2,"[0.44087525932638505, 0.3619130972053683, 0.31143747548383416, 0.2842234639935087, 0.27449879677213707, 0.28034069553807844, 0.30404519638334665, 0.3515596051937466, 0.4229974059553236, 0.49806715202624, 0.5596213507581556]",0.16637646255424798
0.5,3,"[0.33170255342713184, 0.22330643506030445, 0.17228626292007326, 0.14835710714012476, 0.13826965803325908, 0.13774394218396613, 0.14688983235651987, 0.1707277896198537, 0.22668423951443334, 0.3458573477135883, 0.4654895962134486]",0.1939586112431657
0.5,4,"[0.26761376584393937, 0.14997719150424407, 0.10824302798844435, 0.09007217487298554, 0.0820949835980192, 0.08072647733224744, 0.08557426296725032, 0.09893966135142876, 0.13034730382501988, 0.22564119096969862, 0.40039819034405105]",0.18688728851169192
0.5,5,"[0.22509507833952536, 0.10713918656949195, 0.07252340101754494, 0.057175590824933724, 0.05024612335816754, 0.0487352665066087, 0.052128268995892735, 0.061962254248084235, 0.08392078219596648, 0.14811988619815436, 0.3522451414953137]",0.17635981183291666
0.5,6,"[0.19463130799995496, 0.07921881924641982, 0.04852280491158086, 0.03558121301195966, 0.030149470713924882, 0.028893013215674716, 0.031152847857567875, 0.03831022300459264, 0.05551816138137989, 0.10333594604231881, 0.3149626828824774]",0.16573829478428023
0.5,7,"[0.17163899747545264, 0.05882347631913237, 0.031978761160355175, 0.022315582401344874, 0.0185948256958039, 0.01771754442236076, 0.01910417437983014, 0.023778757967569217, 0.036222934920513865, 0.07493090125861203, 0.2851312574000949]",0.15392145305309188
0.5,8,"[0.15362020915273983, 0.04318075246709083, 0.021374152908714476, 0.014658544538497232, 0.012190966348154324, 0.011598881290655026, 0.012458392177554598, 0.015444781955491817, 0.02383881958408618, 0.054497700630180564, 0.260658268271272]",0.1420213278620848
0.5,9,"[0.13908669986278355, 0.031519881783332676, 0.014830512177446412, 0.010187252871337787, 0.008508103555902497, 0.00809787285224611, 0.008658541198196923, 0.010631942504016367, 0.01626903558941888, 0.039311598846370255, 0.24018267746840788]",0.13098882701053743
0.5,10,"[0.12709001524514024, 0.023215273408608076, 0.010745040406355348, 0.0074493136956773325, 0.006257786138968326, 0.005961772736372655, 0.0063486022262055075, 0.007717240196512044, 0.011617243999337841, 0.028434965471348186, 0.22277672271674]",0.12112824250876758
1.0,1,"[0.7743326972356632, 0.7352626064348253, 0.7041107876591575, 0.6810173021711547, 0.6650984361209855, 0.6550501842419194, 0.6495123152074515, 0.6472573997459526, 0.6472736863297353, 0.6487821250311725, 0.6512145775177239]",0.003957177771771292
1.0,2,"[0.5686224951439892, 0.4574775608629197, 0.38594453220036073, 0.34680068167330774, 0.3306486204110806, 0.3327144312252481, 0.35122146806846516, 0.3835334458038954, 0.42260968293018236, 0.46031384808133025, 0.49274070668695996]",0.16209208627587934
1.0,3,"[0.44087525932638505, 0.2806950468437554, 0.20877412715790863, 0.17622070671841578, 0.16230425672930207, 0.16049309437965376, 0.1703235777597655, 0.19670249630869036, 0.2512959042676375, 0.3309452258864549, 0.40039819034405105]",0.2399050959643973
1.0,4,"[0.3611335247983081, 0.1851466940059546, 0.1287452713780689, 0.10556390078745269, 0.09546526734365253, 0.09321559400187585, 0.09803615963113667, 0.1124610962053366, 0.14680994302603412, 0.23160981079697937, 0.3388157969919568]",0.24560020299008095
1.0,5,"[0.30696653823874387, 0.1306075001739853, 0.08655254378592321, 0.06830384162730124, 0.0599601466403994, 0.05775867405735594, 0.060997800891402276, 0.0711642267209032, 0.0943151627112514, 0.15926663462452637, 0.29439535450604176]",0.23663668044868583
1.0,6,"[0.26761376584393937, 0.0965792676569693, 0.05956869660344582, 0.04394166888199749, 0.03705635537181314, 0.03518165832328761, 0.037452615115052476, 0.04516843548895484, 0.06336070298759511, 0.11258625971604191, 0.260658268271272]",0.22547660994798435
1.0,7,"[0.23760459314110435, 0.07299456135896217, 0.04040692769845573, 0.02799472153308559, 0.023031644124084708, 0.021697938296966215, 0.023158636238053924, 0.028456165952088584, 0.042213811717416214, 0.0823397162018421, 0.23407651584247224]",0.21237857754550604
1.0,8,"[0.213889356937502, 0.055072467210710234, 0.02731552723585846, 0.01834205734615783, 0.014997646372752976, 0.0141055453186292, 0.015030035293349918, 0.018494612191154117, 0.028104062621881275, 0.06070278837764952, 0.21254588501929633]",0.19844033970066713
1.0,9,"[0.19463130799995496, 0.04112313816275257, 0.01888953287794027, 0.012615353942012995, 0.010350633094941138, 0.009745679976770852, 0.010352587822863033, 0.01265542939931118, 0.019212974952448576, 0.04442952864379041, 0.19472553174302581]",0.1848856280231841
1.0,10,"[0.17865447216724, 0.030611540241342442, 0.01354815256806279, 0.009115753982416656, 0.007529284571865123, 0.00710317476757952, 0.007522179671741416, 0.009116417263107378, 0.01367260278858762, 0.03247760572754912, 0.17971677007531497]",0.1715512973996605
2.0,1,"[0.8344610387662691, 0.7655257067054315, 0.7098079403614802, 0.6668781234077306, 0.6345856627626173, 0.610625322615822, 0.5930203261237251, 0.5801950280418375, 0.5709316725681558, 0.5643051870992021, 0.5596213507581556]",0.0
2.0,2,"[0.6614115411903173, 0.4956360794030767, 0.39639108185523914, 0.3435259997891073, 0.318596019886079, 0.31230391211985675, 0.3197994060794594, 0.3369025930499939, 0.3586191515714628, 0.3805570351889019, 0.40039819034405105]",0.0880942782241943
2.0,3,"[0.5302986674424063, 0.2938941355182066, 0.2048174280481404, 0.16756146467323016, 0.1514455512250901, 0.14769415431224645, 0.15468786805181492, 0.1752108527099344, 0.21470213984795003, 0.26757786610352013, 0.3149626828824774]",0.16726852857023097
2.0,4,"[0.44087525932638505, 0.1866874789138365, 0.12262717212802274, 0.09792804187769, 0.08702132950804717, 0.08392078219596648, 0.08749887175194782, 0.0995392888552548, 0.1273061873702436, 0.18738552852292784, 0.260658268271272]",0.17673748607530548
2.0,5,"[0.3780621575956973, 0.1285144136429919, 0.08072647733224744, 0.06155330831006192, 0.0526878867383063, 0.049950649275694, 0.052367019216261544, 0.06113966282707767, 0.08120187160471694, 0.13100122566875513, 0.22277672271674]",0.172826073441046
2.0,6,"[0.33170255342713184, 0.09339827029932081, 0.05403410544345543, 0.03815217114149852, 0.03134199086049091, 0.029290707779931976, 0.03088867224001784, 0.037169131461159625, 0.052712841727806, 0.09350180267578864, 0.19472553174302581]",0.16543482396309384
2.0,7,"[0.2960126056300448, 0.0694025326932921, 0.035586311145951545, 0.02372759650973293, 0.019156163006839165, 0.01782496775839143, 0.018817644286916253, 0.022885318877984253, 0.033867434842860374, 0.06748647953215456, 0.17306315674928763]",0.1552381889908962
