a1,a2,growth
0.0,0.0,1.0
0.0,4.22,0.7743326972356636
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983083
0.0,21.09,0.30696653823874404
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110435
0.0,33.75,0.213889356937502
0.0,37.97,0.1946313079999545
0.0,42.19,0.17865447216724
4.22,0.0,0.7743326972356636
4.22,4.22,0.5027904241565403
4.22,8.44,0.2538219149577286
4.22,12.66,0.15440659374030816
4.22,16.88,0.10937937821400535
4.22,21.09,0.08338041072028758
4.22,25.31,0.0655593020485273
4.22,29.53,0.052270231914033904
4.22,33.75,0.04213702580461181
4.22,37.97,0.0344045229162463
4.22,42.19,0.028500467061702384
8.44,0.0,0.5686224951439892
8.44,4.22,0.2538219149577281
8.44,8.44,0.11757296392079399
8.44,12.66,0.07330196821486153
8.44,16.88,0.04907832749602025
8.44,21.09,0.034000266746503804
8.44,25.31,0.024584856407394162
8.44,29.53,0.018592590815001208
8.44,33.75,0.014631871890735308
8.44,37.97,0.011900771441973094
8.44,42.19,0.009941406843251958
12.66,0.0,0.4408752593263852
12.66,4.22,0.15440659374032117
12.66,8.44,0.07330196821530474
12.66,12.66,0.041953718746800844
12.66,16.88,0.02590585956991396
12.66,21.09,0.0174609289161408
12.66,25.31,0.012692639650629889
12.66,29.53,0.009773086858546675
12.66,33.75,0.007854794250841636
12.66,37.97,0.0065202639235511835
12.66,42.19,0.005548482226112625
16.88,0.0,0.3611335247983081
16.88,4.22,0.10937937821422046
16.88,8.44,0.04907832749482061
16.88,12.66,0.02590585956850483
16.88,16.88,0.015816555161230275
16.88,21.09,0.010849140711713086
16.88,25.31,0.008066486676941409
16.88,29.53,0.006341295592060823
16.88,33.75,0.0051872657052229485
16.88,37.97,0.004369686636193832
16.88,42.19,0.0037642439599882226
21.09,0.0,0.30696653823874404
21.09,4.22,0.08338041071925184
21.09,8.44,0.03400026674680753
21.09,12.66,0.017460928916200835
21.09,16.88,0.010849140711400534
21.09,21.09,0.007614300057195509
21.09,25.31,0.005774141174975794
21.09,29.53,0.004611591153373211
21.09,33.75,0.0038201367080818653
21.09,37.97,0.003250756153693146
21.09,42.19,0.0028235302249111104
25.31,0.0,0.2676137658439392
25.31,4.22,0.0655593020522882
25.31,8.44,0.024584856406852047
25.31,12.66,0.012692639650632937
25.31,16.88,0.008066486676854882
25.31,21.09,0.005774141174991045
25.31,25.31,0.004446045981688599
25.31,29.53,0.003592731631143303
25.31,33.75,0.003003416314808741
25.31,37.97,0.002574349132224627
25.31,42.19,0.002249163575842753
29.53,0.0,0.23760459314110452
29.53,4.22,0.05227023191444085
29.53,8.44,0.01859259081468978
29.53,12.66,0.00977308685867815
29.53,16.88,0.006341295591876213
29.53,21.09,0.004611591153386213
29.53,25.31,0.0035927316311755698
29.53,29.53,0.002928950661284938
29.53,33.75,0.002465289766972431
29.53,37.97,0.002124544106836765
29.53,42.19,0.0018642918856028798
33.75,0.0,0.21388935693750183
33.75,4.22,0.04213702580556263
33.75,8.44,0.014631871890804816
33.75,12.66,0.007854794250714817
33.75,16.88,0.005187265705103353
33.75,21.09,0.0038201367080792966
33.75,25.31,0.0030034163148015174
33.75,29.53,0.0024652897669497965
33.75,33.75,0.00208597950638085
33.75,37.97,0.0018051612568077422
33.75,42.19,0.0015893712884476358
37.97,0.0,0.19463130799995512
37.97,4.22,0.034404522915773214
37.97,8.44,0.011900771442676535
37.97,12.66,0.006520263923359992
37.97,16.88,0.004369686636219196
37.97,21.09,0.0032507561536242787
37.97,25.31,0.002574349132234901
37.97,29.53,0.0021245441068399756
37.97,33.75,0.0018051612568650514
37.97,37.97,0.0015673056984462459
37.97,42.19,0.001383636255257172
42.19,0.0,0.1786544721672376
42.19,4.22,0.028500467060218283
42.19,8.44,0.00994140684331922
42.19,12.66,0.005548482226290011
42.19,16.88,0.0037642439599787515
42.19,21.09,0.002823530224860383
42.19,25.31,0.002249163575789457
42.19,29.53,0.0018642918855934086
42.19,33.75,0.0015893712884781368
42.19,37.97,0.0013836362552899204
42.19,42.19,0.0012241369331209239
