a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356636
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874404
0.0,25.31,0.2676137658439392
0.0,29.53,0.23760459314110435
0.0,33.75,0.213889356937502
0.0,37.97,0.19463130799995546
0.0,42.19,0.17865447216724195
0.29,0.0,0.9564377777954748
0.29,4.22,0.7229057488857186
0.29,8.44,0.5026546591118817
0.29,12.66,0.3656458106509661
0.29,16.88,0.2778086124560225
0.29,21.09,0.21337247530895187
0.29,25.31,0.01276861589515503
0.29,29.53,0.008486145866985912
0.29,33.75,0.006248162123110695
0.29,37.97,0.004890540135070683
0.29,42.19,0.003990384475480034
0.59,0.0,0.9034508068154676
0.59,4.22,0.653696428172549
0.59,8.44,0.38685917099601286
0.59,12.66,0.010085003482596774
0.59,16.88,0.005688913835296645
0.59,21.09,0.003809903033401522
0.59,25.31,0.002817899019911378
0.59,29.53,0.002218254000989277
0.59,33.75,0.0018212548839099307
0.59,37.97,0.0015409074913656647
0.59,42.19,0.0013332465605265277
0.88,0.0,0.8355313739766216
0.88,4.22,0.53436606455931
0.88,8.44,0.008982341767212763
0.88,12.66,0.004372685195003737
0.88,16.88,0.002751742892224995
0.88,21.09,0.0019747530720102394
0.88,25.31,0.0015291963048797263
0.88,29.53,0.0012433585364506085
0.88,33.75,0.001045534475798404
0.88,37.97,0.0009009742623365494
0.88,42.19,0.0007909456392855384
1.18,0.0,0.7382028913512029
1.18,4.22,0.015695575317074963
1.18,8.44,0.005065464833161249
1.18,12.66,0.002688730613239801
1.18,16.88,0.0017795076999069014
1.18,21.09,0.0013171972938050157
1.18,25.31,0.0010412792241739422
1.18,29.53,0.0008591566086704566
1.18,33.75,0.0007304066128557714
1.18,37.97,0.0006347638821620536
1.18,42.19,0.0005610091347370627
1.47,0.0,0.2906065477593922
1.47,4.22,0.009801076362038285
1.47,8.44,0.0034244354045189934
1.47,12.66,0.0019181881925888116
1.47,16.88,0.0013070471094172725
1.47,21.09,0.0009847658694850077
1.47,25.31,0.0007877300575735834
1.47,29.53,0.0006554419424565865
1.47,33.75,0.0005607317632673913
1.47,37.97,0.0004896854315220042
1.47,42.19,0.0004344711012008786
1.76,0.0,0.10171193460263549
1.76,4.22,0.006803335525345027
1.76,8.44,0.0025552889338432607
1.76,12.66,0.0014839406268540973
1.76,16.88,0.001030540077837527
1.76,21.09,0.0007854047095841275
1.76,25.31,0.0006330799414260363
1.76,29.53,0.0005296386074563433
1.76,33.75,0.0004549540930246267
1.76,37.97,0.00039856524187494334
1.76,42.19,0.0003545159124451052
2.06,0.0,0.07766655029422505
2.06,4.22,0.005095921716632274
2.06,8.44,0.0020261032055415
2.06,12.66,0.0012073842407439022
2.06,16.88,0.0008497888139941285
2.06,21.09,0.0006528904785962276
2.06,25.31,0.0005290923896067154
2.06,29.53,0.0004443312822539663
2.06,33.75,0.00038276334676006033
2.06,37.97,0.0003360620856036381
2.06,42.19,0.0002994464375848943
2.35,0.0,0.06282960009221394
2.35,4.22,0.004026294285619898
2.35,8.44,0.0016730696210002067
2.35,12.66,0.001016511989218561
2.35,16.88,0.0007226307179427335
2.35,21.09,0.0005585292200128471
2.35,25.31,0.0004544230859885537
2.35,29.53,0.0003827006702879453
2.35,33.75,0.0003303659479187228
2.35,37.97,0.00029052994487539373
2.35,42.19,0.00025921097969197566
2.64,0.0,0.05208903025936192
2.64,4.22,0.0033057876427387647
2.64,8.44,0.0014219738995158203
2.64,12.66,0.000877088417171142
2.64,16.88,0.000628379767602646
2.64,21.09,0.00048794141537015617
2.64,25.31,0.00039821229271452206
2.64,29.53,0.0003360915063900904
2.64,33.75,0.00029060069076825126
2.64,37.97,0.00025587969140413553
2.64,42.19,0.00022852353740596243
2.94,0.0,0.04376408635810952
2.94,4.22,0.0027928012977237334
2.94,8.44,0.0012347739978977072
2.94,12.66,0.0007708766346921383
2.94,16.88,0.000555745284991626
2.94,21.09,0.00043314978853595303
2.94,25.31,0.00035436513249068096
2.94,29.53,0.00029960382365246645
2.94,33.75,0.0002593860399816324
2.94,37.97,0.0002286220984861105
2.94,42.19,0.00020434174477089933
