a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177237
0.0,2.11,0.4927407066869598
0.0,3.16,0.40039819034405105
0.0,4.22,0.3388157969919568
0.0,5.27,0.29439535450604176
0.0,6.33,0.260658268271272
0.0,7.38,0.23407651584247208
0.0,8.44,0.2125458850192957
0.0,9.49,0.19472553174302487
0.0,10.55,0.17971677007531658
0.29,0.0,0.9564377777954748
0.29,1.05,0.6038952165103264
0.29,2.11,0.4385024526730459
0.29,3.16,0.3393023573278634
0.29,4.22,0.2704413154389058
0.29,5.27,0.21734629641000883
0.29,6.33,0.01622072351561039
0.29,7.38,0.010113516284413558
0.29,8.44,0.0072331984145632515
0.29,9.49,0.00556018360316414
0.29,10.55,0.00448038503741018
0.59,0.0,0.903450806815468
0.59,1.05,0.537975012312913
0.59,2.11,0.34105389367472544
0.59,3.16,0.010954091655575168
0.59,4.22,0.006146276847526513
0.59,5.27,0.004101081007003336
0.59,6.33,0.0030245696457041837
0.59,7.38,0.0023755040864021364
0.59,8.44,0.001946735720864462
0.59,9.49,0.0016445335297225016
0.59,10.55,0.0014210571285791427
0.88,0.0,0.8355313739766219
0.88,1.05,0.028535642554611673
0.88,2.11,0.00901443097806944
0.88,3.16,0.004492762003521951
0.88,4.22,0.0028589766623956913
0.88,5.27,0.0020630384188063474
0.88,6.33,0.0016023871222586642
0.88,7.38,0.001305195510322395
0.88,8.44,0.0010987564112374104
0.88,9.49,0.000947520105258798
0.88,10.55,0.0008322032162386118
1.18,0.0,0.7382028913512029
1.18,1.05,0.014922328888040516
1.18,2.11,0.004984346709535971
1.18,3.16,0.0027216535042354165
1.18,4.22,0.0018261843704615976
1.18,5.27,0.0013618194006611354
1.18,6.33,0.0010813730584140775
1.18,7.38,0.0008948357309815243
1.18,8.44,0.0007622657629585601
1.18,9.49,0.0006634081621789586
1.18,10.55,0.0005869551973956637
1.47,0.0,0.2906065486767698
1.47,1.05,0.009204153204069943
1.47,2.11,0.003357358287860834
1.47,3.16,0.0019319981867304047
1.47,4.22,0.0013346303872442651
1.47,5.27,0.0010133918443883199
1.47,6.33,0.0008145793500876592
1.47,7.38,0.000680005806523951
1.47,8.44,0.0005831033009021156
1.47,9.49,0.0005101028660172109
1.47,10.55,0.00045318519979992464
1.76,0.0,0.10171193460242615
1.76,1.05,0.006422355488711709
1.76,2.11,0.002507873213245317
1.76,3.16,0.0014922622155526893
1.76,4.22,0.0010498912073069722
1.76,5.27,0.0008062930640325752
1.76,6.33,0.0006531190779340473
1.76,7.38,0.0005482555459247869
1.76,8.44,0.0004721023971876311
1.76,9.49,0.00041435355411222313
1.76,10.55,0.00036908936631625973
2.06,0.0,0.07766655028948315
2.06,1.05,0.004853603190278413
2.06,2.11,0.001993707453191849
2.06,3.16,0.0012139206180523893
2.06,4.22,0.0008648091101747625
2.06,5.27,0.0006693363065632135
2.06,6.33,0.0005450501204011004
2.06,7.38,0.0004592863374526272
2.06,8.44,0.00039663304240500943
2.06,9.49,0.0003489020838608228
2.06,10.55,0.00031135206098712034
2.35,0.0,0.06282960007606286
2.35,1.05,0.0038698318428169423
2.35,2.11,0.001651474830246
2.35,3.16,0.0010224770153435838
2.35,4.22,0.0007350517987556954
2.35,5.27,0.0005721247307566477
2.35,6.33,0.00046767962093095724
2.35,7.38,0.000395185087338103
2.35,8.44,0.000341993457781329
2.35,9.49,0.00030133292345226964
2.35,10.55,0.0002692584021943205
2.64,0.0,0.05208903023201403
2.64,1.05,0.003203772082994931
2.64,2.11,0.001408182092483322
2.64,3.16,0.000882933751646675
2.64,4.22,0.0006390980596268035
2.64,5.27,0.0004995676701260291
2.64,6.33,0.0004095575943838612
2.64,7.38,0.0003468021389965014
2.64,8.44,0.000300601954051937
2.64,9.49,0.00026519387152122383
2.64,10.55,0.00023720462449944605
2.94,0.0,0.043764086303854866
2.94,1.05,0.0027264341363948097
2.94,2.11,0.0012267077169632887
2.94,3.16,0.0007767816384069001
2.94,4.22,0.0005652795272054991
2.94,5.27,0.00044334408703798964
2.94,6.33,0.0003642932424478731
2.94,7.38,0.00030898352049989235
2.94,8.44,0.00026815701583383125
2.94,9.49,0.0002368030424701809
2.94,10.55,0.00021197778937407885
