MidPoint,Slope,resultList,LinerType
10,0.25,"[0.49665890133724433, 0.5273655171495983, 0.5628809252829964, 0.60385255658626, 0.6506501241270287, 0.7029830352213403, 0.75948772823297, 0.8176631010625728, 0.8744849161984921, 0.9273873621798489, 0.9748705934630867]",0.0
20,0.25,"[0.30696653823874387, 0.32490846635253534, 0.3474644981579836, 0.3763052619239607, 0.413869077760718, 0.463729005838119, 0.5308617842810842, 0.6205142047354315, 0.7317640689519125, 0.8478502213767383, 0.9468247544272557]",0.0
30,0.25,"[0.22509507833952563, 0.23333469193176987, 0.24456590575154571, 0.2603653912983818, 0.2833117318702696, 0.3176450174890717, 0.3703964189742511, 0.4533846339960254, 0.5838547331989289, 0.7594093786966742, 0.915087535088996]",0.0
40,0.25,"[0.17865447216725688, 0.17865191501659372, 0.1787121397755713, 0.17884874745309323, 0.004325176146350357, 0.0032917138135883277, 0.0034718939509610805, 0.2950813136782656, 0.4338273130187894, 0.6584512813611418, 0.8784716818770194]",0.17536275835366855
50,0.25,"[0.14844355628574837, 0.140234249565775, 0.0096855026597051, 0.00175412852021624, 0.0013052408024777722, 0.0011916866865953034, 0.0012621067262945814, 0.001582331011714307, 0.0026492054868446813, 0.5310727146442956, 0.8349795356586437]",0.14725186959915307
60,0.25,"[0.12709001524676705, 0.10748399918123781, 0.0014713809375830461, 0.0008778998868793367, 0.0007054456012290075, 0.0006593975100207697, 0.0006957764468488522, 0.0008441340782491414, 0.0012904133187921184, 0.0035458736763159695, 0.7807079110147885]",0.12643061773674627
70,0.25,"[0.11109221344916309, 0.00427744445643892, 0.000833593179172588, 0.0005480411262835808, 0.0004538672272926534, 0.0004284077131648287, 0.0004508115733766707, 0.0005377409009189114, 0.0007857069415642885, 0.0019117480303801379, 0.705493227298744]",0.11066380573599827
80,0.25,"[0.09854950403562736, 0.0015296739959091772, 0.0005535724930632042, 0.0003808969393162942, 0.00032052862304654604, 0.00030413988660822557, 0.00031945541507766696, 0.0003772074910622817, 0.0005366561686460666, 0.001207989963473129, 0.30513240054522367]",0.09824536414901913
90,0.25,"[0.08834048651667528, 0.0009542257953811759, 0.0003999633311616356, 0.0002825428289409825, 0.0002400951395005114, 0.0002285553146961345, 0.00023976164104346165, 0.00028124109229927987, 0.00039328542733307, 0.0008409503277922556, 0.03191072822467041]",0.03168217290997427
100,0.25,"[0.0797708216935266, 0.0006731335321279235, 0.00030486990834026106, 0.00021904988891378177, 0.00018735410061759323, 0.0001787355566118265, 0.00018733258087033435, 0.0002187413560469659, 0.00030227859280539923, 0.0006237005220876681, 0.025910311519619648]",0.025731575963007822
10,0.5,"[0.6614115411903173, 0.6904436406090444, 0.7212940323543972, 0.7535778345544561, 0.7867504901973469, 0.8201542962909286, 0.8530977183591069, 0.8849432830905677, 0.915175871855152, 0.9434354104252262, 0.9695153833033053]",0.0
20,0.5,"[0.4408752593263855, 0.46524512790131056, 0.4947853370506191, 0.5307577728387186, 0.5744976054918254, 0.626971007548477, 0.6878249044358148, 0.7542160549963335, 0.8208286048940311, 0.8820915932401818, 0.9346273282479647]",0.0
30,0.5,"[0.33170255342713184, 0.3456749125475655, 0.36392966112653996, 0.38828178548351033, 0.42140471725161605, 0.4671018104953268, 0.5301631552765187, 0.6141881784308573, 0.7146092652474887, 0.8135852119217029, 0.8938057526865427]",0.0
40,0.5,"[0.26761376584393937, 0.27221960334339385, 0.27884000338248965, 0.2889079344785996, 0.3052346507391703, 0.33331968929590505, 0.3827471205858698, 0.4661539090174459, 0.5908359471642292, 0.7330929685594995, 0.844371621136154]",0.0
50,0.5,"[0.22509507833952563, 0.22073431077093458, 0.2134921165097962, 0.004264117262045545, 0.002543747705261923, 0.002208825905535116, 0.0023162386990652224, 0.002939343276407045, 0.004775827386098951, 0.6258710327031523, 0.7807079110147885]",0.22288625243399052
60,0.5,"[0.19463130799995992, 0.18087400785749227, 0.003304988249601487, 0.0015627632037932117, 0.001188564623871431, 0.001089865386466518, 0.0011482816003887274, 0.0014100567266638845, 0.0021919929345728577, 0.005176759377172386, 0.6854611578439844]",0.1935414426134934
70,0.5,"[0.1716389974754822, 0.14658082885914975, 0.0014899830761418251, 0.0008944921489498763, 0.0007187746535985019, 0.0006712260550688327, 0.0007065436837849332, 0.0008510099649112266, 0.001264010591426975, 0.0029091924543368226, 0.03641918495278062]",0.03574795889771178
80,0.5,"[0.15362020915292912, 0.004428411140050682, 0.0009125149084404688, 0.0005943870776712697, 0.0004903859481586628, 0.00046210432955766487, 0.0004857818996227107, 0.0005780904411126509, 0.0008338980357196187, 0.0018247955148329156, 0.028127162044288227]",0.027665057714730563
90,0.5,"[0.13908669986336802, 0.001825265735710162, 0.0006308246420035417, 0.00042902893488950676, 0.00035944017343397745, 0.000340517899834833, 0.00035757583317371617, 0.00042211636780238213, 0.0005970554508626769, 0.0012551699262179868, 0.022095082634064067]",0.021754564734229234
100,0.5,"[0.12709001524676705, 0.0011675261596350225, 0.00046765829447148086, 0.00032663713245328967, 0.0002763933916296837, 0.00026275322294482505, 0.0002756836133443577, 0.0003236164058539101, 0.00045144517888451584, 0.0009207631898305615, 0.017641978047852714]",0.01737922482490789
10,1.0,"[0.7743326972356636, 0.7945524047898372, 0.8148935266994067, 0.8351390736617614, 0.8550714642110396, 0.8744849161984921, 0.8931958841459495, 0.9110503669374198, 0.927927699875956, 0.9437411326814986, 0.9584359124428965]",0.0
20,1.0,"[0.5686224951439892, 0.594045397218453, 0.6231900757591055, 0.6561661078084231, 0.6926621367934576, 0.7317640689519125, 0.771929290591169, 0.8112372357199089, 0.847846584257275, 0.8804038859573902, 0.9082031378002648]",0.0
30,1.0,"[0.4408752593263855, 0.45744335989192836, 0.4784824865828634, 0.5054559597266786, 0.5400806525206805, 0.5838547331989289, 0.6368354406324176, 0.695870294028364, 0.7543019019818236, 0.8050797301059711, 0.844371621136154]",0.0
40,1.0,"[0.3611335247983081, 0.36696470628760136, 0.37506763863962794, 0.3868579422666097, 0.4049149138765476, 0.4338273130187894, 0.48033700264168133, 0.5488653611653694, 0.6307672824730104, 0.7041727640616533, 0.7541951804953123]",0.0
50,1.0,"[0.30696653823874387, 0.301879927403093, 0.2934544302743994, 0.2756552774930627, 0.003125105741942612, 0.0026492054868446813, 0.0027061490027884935, 0.0032443313615248695, 0.004599209847540569, 0.008130727790254746, 0.30513240054522367]",0.302483195058379
60,1.0,"[0.26761376584393937, 0.25095597388371965, 0.004667173089279314, 0.001909626570306902, 0.001422822150779439, 0.0012904133187921184, 0.0013442574313775398, 0.001610247174396567, 0.00231146914326328, 0.004487309608247148, 0.028127162044288227]",0.026836748725496108
70,1.0,"[0.2376045931411047, 0.20759441321121075, 0.0018376263892121534, 0.001066428968653844, 0.0008467359937180365, 0.0007857069415642885, 0.0008218881819731517, 0.0009759559309910849, 0.0013788658466993473, 0.002671098230212973, 0.020458019941229064]",0.019672312999664775
80,1.0,"[0.21388935693750277, 0.16392359546042787, 0.0010954935940138163, 0.0006986206474118875, 0.000571818452952381, 0.0005366561686460666, 0.0005619605460556048, 0.0006625149938918237, 0.000922712557469333, 0.0017616314616581287, 0.01534007848326712]",0.014803422314621055
90,1.0,"[0.19463130799995992, 0.0023345357065152447, 0.0007457363708212903, 0.0004996632181476562, 0.00041627464511372454, 0.00039328542733307, 0.0004119068621679047, 0.00048298362256551653, 0.000665262554934045, 0.0012522421815774087, 0.011894551807418345]",0.011501266380085275
100,1.0,"[0.17865447216725688, 0.0014372753595906966, 0.0005473257312878395, 0.0003780320675020582, 0.000318572708465673, 0.00030227859280539923, 0.0003165620325417593, 0.0003696720034626742, 0.0005049082012290968, 0.0009392892534698396, 0.009518885230038444]",0.009216606637233045
10,2.0,"[0.8344610387662694, 0.8468519374237152, 0.8589606709854175, 0.8706816838693057, 0.8819142206097883, 0.8925652608612236, 0.902551902202704, 0.9118030793783604, 0.920260579585791, 0.9278793736037281, 0.9346273282479647]",0.0
