a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.09,0.9495557633133087
0.0,0.18,0.891301103158799
0.0,0.28,0.8210423426348302
0.0,0.37,0.7279200437220434
0.0,0.46,0.30247554751888095
0.0,0.55,3.1210983990437966e-05
0.0,0.64,1.723986915056091e-05
0.0,0.74,1.105706475731983e-05
0.0,0.83,7.735566057094603e-06
0.0,0.92,5.730713358089557e-06
0.09,0.0,0.9495557633133087
0.09,0.09,0.8987819649689889
0.09,0.18,0.8392019024240511
0.09,0.28,0.765302775328911
0.09,0.37,0.6599831192576819
0.09,0.46,8.2427060680101e-07
0.09,0.55,3.834863408961289e-07
0.09,0.64,2.259175036293207e-07
0.09,0.74,1.5046315981658572e-07
0.09,0.83,1.0793244787731948e-07
0.09,0.92,8.141296680824543e-08
0.18,0.0,0.891301103158799
0.18,0.09,0.8392019024240515
0.18,0.18,0.7765480943009477
0.18,0.28,0.6948751520119619
0.18,0.37,0.5518119651828565
0.18,0.46,2.851432643753755e-07
0.18,0.55,1.500472819034089e-07
0.18,0.64,9.392326176196177e-08
0.18,0.74,6.479140864712462e-08
0.18,0.83,4.757115841132248e-08
0.18,0.92,3.648796093647922e-08
0.28,0.0,0.8210423426348302
0.28,0.09,0.7653027753289107
0.28,0.18,0.6948751520119619
0.28,0.28,0.5894306411516228
0.28,0.37,2.8951556930994427e-07
0.28,0.46,1.3697823747436273e-07
0.28,0.55,7.997632854836765e-08
0.28,0.64,5.273116941219137e-08
0.28,0.74,3.752031749063125e-08
0.28,0.83,2.8125926063551187e-08
0.28,0.92,2.189931970151435e-08
0.37,0.0,0.7279200437220434
0.37,0.09,0.6599831192576826
0.37,0.18,0.5518119651828557
0.37,0.28,2.8951556914941426e-07
0.37,0.37,1.3734858489853093e-07
0.37,0.46,7.709880857791834e-08
0.37,0.55,4.887844944263449e-08
0.37,0.64,3.369979486775618e-08
0.37,0.74,2.465114450147767e-08
0.37,0.83,1.883012816487432e-08
0.37,0.92,1.4863899982776307e-08
0.46,0.0,0.30247554742139326
0.46,0.09,8.2427060680101e-07
0.46,0.18,2.851432643753755e-07
0.46,0.28,1.3697823747436273e-07
0.46,0.37,7.709880857791834e-08
0.46,0.46,4.8131688967285093e-08
0.46,0.55,3.2458124337082424e-08
0.46,0.64,2.323295997067968e-08
0.46,0.74,1.7414803958070444e-08
0.46,0.83,1.3531013402080639e-08
0.46,0.92,1.081588721071377e-08
0.55,0.0,3.121098398803002e-05
0.55,0.09,3.834863408961289e-07
0.55,0.18,1.500472819034089e-07
0.55,0.28,7.997632854836765e-08
0.55,0.37,4.887844944263449e-08
0.55,0.46,3.2458124337082424e-08
0.55,0.55,2.2867686579557068e-08
0.55,0.64,1.6869562763325255e-08
0.55,0.74,1.291414740215394e-08
0.55,0.83,1.0188018161780172e-08
0.55,0.92,8.23738234495758e-09
0.64,0.0,1.7239869150239846e-05
0.64,0.09,2.259175036293207e-07
0.64,0.18,9.392326176196177e-08
0.64,0.28,5.273116941219137e-08
0.64,0.37,3.369979486775618e-08
0.64,0.46,2.323295997067968e-08
0.64,0.55,1.6869562763325255e-08
0.64,0.64,1.2738050940625994e-08
0.64,0.74,9.924572497484235e-09
0.64,0.83,7.934757883171423e-09
0.64,0.92,6.482021511807808e-09
0.74,0.0,1.10570647571593e-05
0.74,0.09,1.5046315981658572e-07
0.74,0.18,6.479140864712462e-08
0.74,0.28,3.752031749063125e-08
0.74,0.37,2.465114450147767e-08
0.74,0.46,1.7414803958070444e-08
0.74,0.55,1.291414740215394e-08
0.74,0.64,9.924572497484235e-09
0.74,0.74,7.843877661962829e-09
0.74,0.83,6.343359528513145e-09
0.74,0.92,5.229602051157497e-09
0.83,0.0,7.735566057255132e-06
0.83,0.09,1.0793244787731948e-07
0.83,0.18,4.757115841132248e-08
0.83,0.28,2.8125926063551187e-08
0.83,0.37,1.883012816487432e-08
0.83,0.46,1.3531013402080639e-08
0.83,0.55,1.0188018161780172e-08
0.83,0.64,7.934757883171423e-09
0.83,0.74,6.343359528513145e-09
0.83,0.83,5.1793890618354346e-09
0.83,0.92,4.3042037634466865e-09
0.92,0.0,5.730713358089557e-06
0.92,0.09,8.141296680824543e-08
0.92,0.18,3.648796093647922e-08
0.92,0.28,2.189931970151435e-08
0.92,0.37,1.4863899982776307e-08
0.92,0.46,1.081588721071377e-08
0.92,0.55,8.23738234495758e-09
0.92,0.64,6.482021511807808e-09
0.92,0.74,5.229602051157497e-09
0.92,0.83,4.3042037634466865e-09
0.92,0.92,3.601536391257738e-09
