a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.86,0.9143952828123172
0.0,1.73,0.8119090777218179
0.0,2.59,0.6828967534657915
0.0,3.46,0.5072609648798206
0.0,4.32,0.2958865016597567
0.0,5.19,0.17787740446624925
0.0,6.05,0.12345925767435109
0.0,6.91,0.09193381694792803
0.0,7.78,0.06976948566944668
0.0,8.64,0.052335165556342614
0.15,0.0,0.8180679644152553
0.15,0.86,0.7336794315228
0.15,1.73,0.6255685908433705
0.15,2.59,0.4739500590228813
0.15,3.46,0.2641720045875016
0.15,4.32,0.14306064580572003
0.15,5.19,0.09328752336509077
0.15,6.05,0.06375303433335079
0.15,6.91,0.04274727006359072
0.15,7.78,0.02840079268297
0.15,8.64,0.019268932136264166
0.29,0.0,0.6431105680741946
0.29,0.86,0.5569653222106506
0.29,1.73,0.43845369108201754
0.29,2.59,0.2656018260897801
0.29,3.46,0.1351013222205624
0.29,4.32,0.08195905828672924
0.29,5.19,0.05100436941961844
0.29,6.05,0.03116899422347461
0.29,6.91,0.019550902205456272
0.29,7.78,0.012943221749041292
0.29,8.64,0.009064371117976398
0.44,0.0,0.4938513038046728
0.44,0.86,0.40675429208362757
0.44,1.73,0.28243633479445035
0.44,2.59,0.14770493792583014
0.44,3.46,0.08249172129829828
0.44,4.32,0.0471884654642763
0.44,5.19,0.026777287296677717
0.44,6.05,0.016067084820856198
0.44,6.91,0.010407426439238188
0.44,7.78,0.00721808873048625
0.44,8.64,0.005286645802156136
0.59,0.0,0.3788871265415097
0.59,0.86,0.29360907571871736
0.59,1.73,0.17933457675285755
0.59,2.59,0.09442530734538931
0.59,3.46,0.05021277272810163
0.59,4.32,0.02638298195018876
0.59,5.19,0.01498927793821381
0.59,6.05,0.009398664653786368
0.59,6.91,0.006395215432612522
0.59,7.78,0.004629574784505008
0.59,8.64,0.0035111876161672637
0.73,0.0,0.2949496713003448
0.73,0.86,0.2140592825987227
0.73,1.73,0.12094353651336667
0.73,2.59,0.06139279675566643
0.73,3.46,0.02963221548456514
0.73,4.32,0.015584745097044763
0.73,5.19,0.00929250296707124
0.73,6.05,0.006127755225094064
0.73,6.91,0.004347121163984132
0.73,7.78,0.003251980571784103
0.73,8.64,0.0025307406933442527
0.88,0.0,0.23428833723289458
0.88,0.86,0.15952172055465783
0.88,1.73,0.08490474069291774
0.88,2.59,0.03843014052932619
0.88,3.46,0.01813160916792462
0.88,4.32,0.010007148852509052
0.88,5.19,0.006287503757636949
0.88,6.05,0.004324473797870101
0.88,6.91,0.003168294092515138
0.88,7.78,0.0024294605862170047
0.88,8.64,0.0019274588367875285
1.03,0.0,0.18990429717488752
1.03,0.86,0.12187694944810566
1.03,1.73,0.05823913510199827
1.03,2.59,0.02420350258630856
1.03,3.46,0.011862170625833307
1.03,4.32,0.006920056305042483
1.03,5.19,0.004545303620975425
1.03,6.05,0.0032312336323653836
1.03,6.91,0.0024266100306526432
1.03,7.78,0.0018962683402075407
1.03,8.64,0.0015268977208619393
1.17,0.0,0.15675750379832137
1.17,0.86,0.09429345328634407
1.17,1.73,0.03872768633100646
1.17,2.59,0.01595425260870366
1.17,3.46,0.00827852453193096
1.17,4.32,0.005071781908326587
1.17,5.19,0.0034518632879282076
1.17,6.05,0.002518087446025595
1.17,6.91,0.0019278296222400243
1.17,7.78,0.0015289676664409662
1.17,8.64,0.0012456117744060725
1.32,0.0,0.13142029954798987
1.32,0.86,0.07189956636958295
1.32,1.73,0.025885611900521816
1.32,2.59,0.01110870788137678
1.32,3.46,0.006093425170764577
1.32,4.32,0.0038864889134622473
1.32,5.19,0.0027209245716007177
1.32,6.05,0.002025819304796538
1.32,6.91,0.0015748724111088852
1.32,7.78,0.0012639276302597998
1.32,8.64,0.0010394489250433814
1.46,0.0,0.11151193299581344
1.46,0.86,0.05311048340170618
1.46,1.73,0.01787956202378538
1.46,2.59,0.008128403693614016
1.46,3.46,0.0046777446335483286
1.46,4.32,0.0030823333862624556
1.46,5.19,0.0022073138717682477
1.46,6.05,0.0016706191937629902
1.46,6.91,0.0013149429274438701
1.46,7.78,0.001065588095395787
1.46,8.64,0.0008831738654290275
