Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.7516481706018998, 0.7796380568198648, 0.8058669383511275, 0.830515520633108, 0.8537352510866413, 0.8756534445594387, 0.8963776607582452, 0.9159993089449756, 0.9345965716214902, 0.9522367645686698, 0.9689782432135391]",0.0
0.25,2,"[0.29588650165975605, 0.386793519738542, 0.4884930645863743, 0.5788612797541531, 0.6545586814430744, 0.7185222695975755, 0.7735456057375714, 0.8215857471428004, 0.8639771962133348, 0.9016501944879839, 0.935274217448796]",0.0
0.25,3,"[0.10598933874025929, 0.12164698666361308, 0.14863460111363333, 0.2020960383303116, 0.31909935870821315, 0.4839455237714343, 0.6133110658544735, 0.7097284440961058, 0.78550744297473, 0.8471550585916862, 0.8982237027223359]",0.0
0.25,4,"[0.052335165535427, 0.032401098562301694, 0.002414816279382516, 0.001295697249128801, 0.0010273568685650817, 0.0010663555286608572, 0.33867183018277314, 0.5617376992143416, 0.6940510322121958, 0.7869701601464854, 0.8568053251045689]",0.051307808666861916
0.25,5,"[0.024350093879368945, 0.00210101714197685, 0.0006852152804977967, 0.000428897761898702, 0.00033839708251611367, 0.00031631639414747515, 0.0003577248338985794, 0.0005766530069636888, 0.5756161860227125, 0.7176851034155057, 0.8092968317411092]",0.02403377748522147
0.25,6,"[0.01228229886114215, 0.0007825984984614161, 0.0003258537853892825, 0.00020961478258125035, 0.0001642913505947308, 0.00014873791248568315, 0.00015603645675890185, 0.00020220459118300375, 0.00041001730567369376, 0.6306521444505103, 0.7523337700277288]",0.012133560948656466
0.25,7,"[0.00711621168631077, 0.00042157680538489967, 0.00018651286229258695, 0.00012099977526709963, 9.43175581164355e-05, 8.398778419368745e-05, 8.519238231550026e-05, 0.00010247172741265507, 0.00016559744901766167, 0.4089791446253643, 0.6771997885269522]",0.007032223902117083
0.25,8,"[0.004608900451772889, 0.00026084727813808524, 0.00011834437322473821, 7.697808041430727e-05, 5.973936255009361e-05, 5.2650458145722435e-05, 5.238502209404105e-05, 6.06345722063816e-05, 8.945587321094264e-05, 0.00019886810164191227, 0.3012247547695456]",0.004556515429678848
0.25,9,"[0.003232053967042921, 0.0001749562158306564, 8.033495909434353e-05, 5.227597742046388e-05, 4.042495341473618e-05, 3.53754567387041e-05, 3.475880497669139e-05, 3.9298543807888635e-05, 5.516305492868411e-05, 0.00011081311908218819, 0.00045159502493207946]",0.00041683621995538807
0.25,10,"[0.0023991270869615357, 0.0001239169102068371, 5.723984914946074e-05, 3.722845285206812e-05, 2.8704980932040505e-05, 2.4988670653977315e-05, 2.4338165841168414e-05, 2.7085080183847818e-05, 3.684390398139425e-05, 6.996450758841184e-05, 0.00028703533564868744]",0.000262697169807519
0.5,1,"[0.8657030637112519, 0.8772640485997859, 0.888368392809766, 0.8990324868158814, 0.909271311190532, 0.9190985857566599, 0.9285269050457773, 0.9375678608759581, 0.9462321530132377, 0.9545296889177155, 0.9624696735492367]",0.0
0.5,2,"[0.6828967534657922, 0.7175469509424177, 0.7490977824566631, 0.7778907782485615, 0.8042117283217147, 0.8282961505655297, 0.8503376749378033, 0.8704961622509126, 0.8889046459601846, 0.9056749895252345, 0.9209024042671877]",0.0
0.5,3,"[0.39781784461028896, 0.4796410490065025, 0.5549947217339877, 0.6196659081295861, 0.6745974063935175, 0.7215001716490881, 0.761791048147337, 0.7965156798849881, 0.8264360523760315, 0.8521163095447293, 0.8739849611610986]",0.0
0.5,4,"[0.17787740446624603, 0.2106270528612969, 0.271437730941297, 0.3767396217130416, 0.4919382816494112, 0.5840412825427095, 0.655247499880109, 0.7113326664207217, 0.7560092410959257, 0.7915488933524796, 0.8194095573130338]",0.0
0.5,5,"[0.10598933874025929, 0.10367936838404992, 0.002532589117249778, 0.0012067906837529589, 0.0009335167990502167, 0.0010256058090540208, 0.5058019938519963, 0.6040126652919033, 0.6713517583892837, 0.71912330558689, 0.7523337700277288]",0.10505582194120908
0.5,6,"[0.06976948567169795, 0.0033782011377736444, 0.0007605428881175992, 0.00043000365118146794, 0.0003243465364479376, 0.00029850872086611095, 0.00033491510223723986, 0.0004673543754905927, 0.5486586148207317, 0.6196548376130682, 0.6578884908176722]",0.06947097695083185
0.5,7,"[0.045016520030864565, 0.0011428524474018128, 0.0003754989072779343, 0.00021992386140622268, 0.00016425173837516144, 0.00014501885492742504, 0.00014909161508414726, 0.00017893260604640254, 0.00024290688713476366, 0.0003497037116185953, 0.0006248572943040458]",0.00047983843937662076
0.5,8,"[0.028335175930405423, 0.0006103487521491606, 0.00022116215231287814, 0.00013121352707534163, 9.735099507645004e-05, 8.423087057248639e-05, 8.34712919489375e-05, 9.467162975673309e-05, 0.00012106883334935607, 0.00017286652858116563, 0.0003395149948966036]",0.0002560437029476661
0.5,9,"[0.018215207756828528, 0.00037908972348677195, 0.00014361874095626795, 8.566415552965148e-05, 6.323839652705434e-05, 5.404330055026944e-05, 5.2456115557841135e-05, 5.7766618378915235e-05, 7.174892200376769e-05, 0.0001018555377992485, 0.00021385613852652497]",0.00016140002296868383
0.5,10,"[0.01228229886114215, 0.0002562355333091949, 9.939644345316963e-05, 5.9414372900840175e-05, 4.368561583753731e-05, 3.701880216815225e-05, 3.545153103550915e-05, 3.8336787140362155e-05, 4.682703617502452e-05, 6.64682218766583e-05, 0.00014826892788852948]",0.00011281739685302034
1.0,1,"[0.9143952828123172, 0.9188973124682076, 0.9231670702417821, 0.9272059989795896, 0.9310154258477349, 0.9345965716214902, 0.9379505591856239, 0.9410784212046034, 0.9439811069249289, 0.9466594880740311, 0.9491143638216603]",0.0
1.0,2,"[0.8119090777218179, 0.824483273854447, 0.8359531766403361, 0.8463447320066183, 0.8556799287067363, 0.8639771962133348, 0.8712517690427798, 0.8775159956786082, 0.8827795772244915, 0.8870497243585234, 0.8903312222988855]",0.0
1.0,3,"[0.6828967534657922, 0.70953767296625, 0.7329589015878385, 0.7533346604507224, 0.7708118991786373, 0.78550744297473, 0.7975091542810206, 0.8068779563952408, 0.8136492055395808, 0.8178325501795412, 0.8194095573130338]",0.0
1.0,4,"[0.5072609648798201, 0.5585401760902818, 0.602801301997998, 0.6398564790087583, 0.6701173437120441, 0.6940510322121958, 0.7120135082947262, 0.7242078510379386, 0.7306662893511462, 0.731212637770816, 0.7253660607936244]",-0.005846576977191598
1.0,5,"[0.29588650165975605, 0.34931828790728836, 0.41684914845536963, 0.48273534937391116, 0.536216046988955, 0.5756161860227125, 0.6016967246678507, 0.6147825361593409, 0.6136797899247672, 0.5931104506645359, 0.3012247547695456]",-0.3135577813897953
1.0,6,"[0.17787740446624603, 0.17913486803767106, 0.001465423827095496, 0.0006949710589582472, 0.0004916158617531239, 0.00041001730567369376, 0.0003575597889558521, 0.0003139031615129697, 0.0002850734777397987, 0.0002829403330590794, 0.0003395149948966036]",-0.0012574635714250326
1.0,7,"[0.12345925767474566, 0.0025108608397238657, 0.00053848107259845, 0.00028529639435934356, 0.00020160244147714615, 0.00016559744901766167, 0.0001468825654791238, 0.00013549248284044148, 0.00013123445324453087, 0.00014051027976647758, 0.0001876722275204472]",5.643777427591633e-05
1.0,8,"[0.09193381694977013, 0.0010037369757297232, 0.000284701299030677, 0.00015555849217713716, 0.00010976705291984375, 8.945587321094264e-05, 7.939511652491272e-05, 7.44322385188325e-05, 7.431210115226894e-05, 8.31690140913821e-05, 0.00012036504518301662]",4.6052944030747683e-05
1.0,9,"[0.06976948567169795, 0.0005586274249940556, 0.0001744872996234674, 9.659353877863031e-05, 6.802969178744064e-05, 5.516305492868411e-05, 4.8935085834163716e-05, 4.62804275179391e-05, 4.708390824329508e-05, 5.43697838676796e-05, 8.420546926812574e-05]",3.792504175018664e-05
1.0,10,"[0.052335165535427, 0.00035556991015874554, 0.00011646523028406416, 6.488014618001245e-05, 4.560368726059072e-05, 3.684390398139425e-05, 3.266469211489998e-05, 3.107326568787456e-05, 3.204257688202637e-05, 3.791529750973541e-05, 6.238507919364254e-05]",3.131181350576798e-05
2.0,1,"[0.9371363251309782, 0.936660165065833, 0.9359408237111974, 0.9349743575523779, 0.9337565950998239, 0.932283109135552, 0.9305491843087974, 0.928549779345749, 0.9262794829929619, 0.9237324626314112, 0.9209024042671877]",0.0
2.0,2,"[0.8657030637112519, 0.8664229103507631, 0.8660995476128681, 0.8646938767477246, 0.8621606854856316, 0.8584470580154284, 0.8534901680320524, 0.8472141792662674, 0.8395258175530795, 0.8303078963334419, 0.8194095573130338]",-0.0007198466395111902
2.0,3,"[0.7826944321520781, 0.7866444847069499, 0.7880092104302545, 0.7866194018554643, 0.782252040492185, 0.7746039690961212, 0.7632453346572066, 0.7475309095844901, 0.7264122960591505, 0.6979706616356243, 0.6578884908176722]",-0.005314778278176391
2.0,4,"[0.6828967534657922, 0.6926977934816647, 0.6972387932517131, 0.6959321249416843, 0.6878466964366866, 0.6713517583892837, 0.6430891898130673, 0.5933752983830393, 0.00048465253861836965, 0.0003822246526377671, 0.0003395149948966036]",-0.014342039785920968
2.0,5,"[0.5570472114145711, 0.5754242161637649, 0.5840412825427095, 0.5803544705694215, 0.558779025472921, 0.4946399356472172, 0.0002970335030869127, 0.00020491465457072138, 0.0001617207131329539, 0.00014441629313424975, 0.00014826892788852948]",-0.02699407112813834
2.0,6,"[0.39781784461028896, 0.4157377863639682, 0.41423152354022075, 0.0005271228109860241, 0.0002702492892199457, 0.0001664384723205648, 0.00011609470113027531, 9.019702557274121e-05, 7.771859066611728e-05, 7.496160216264145e-05, 8.420546926812574e-05]",-0.017919941753679225
2.0,7,"[0.2561983148158795, 0.20163756956072848, 0.00043872316081565227, 0.00020064663135240974, 0.00011940950057879506, 8.08855408997394e-05, 6.0417487950238166e-05, 4.951033201751423e-05, 4.4691373691942234e-05, 4.52689662256489e-05, 5.456730246570286e-05]",9.875928773760628e-06
2.0,8,"[0.17787740446624603, 0.0008996399636189707, 0.0002168628438777236, 0.0001066193909775137, 6.644656768550305e-05, 4.682703617502452e-05, 3.620818835885744e-05, 3.060337048864617e-05, 2.8477977475055302e-05, 2.991278025452741e-05, 3.832257550710264e-05]",9.844598032047341e-06
2.0,9,"[0.134044101161604, 0.0004714904003548999, 0.00012871260976787894, 6.525296246687846e-05, 4.157496396421078e-05, 2.9944321564438305e-05, 2.3651308417671902e-05, 2.0409731290166525e-05, 1.9418993650732986e-05, 2.099903733221919e-05, 2.842388331342196e-05]",9.004889662688975e-06
2.0,10,"[0.10598933874025929, 0.00029088193847297234, 8.423087057248639e-05, 4.340092371133469e-05, 2.800535003633218e-05, 2.0451371593584558e-05, 1.639053893221387e-05, 1.436053442124266e-05, 1.3901854645663159e-05, 1.540265343744859e-05, 2.193469218007835e-05]",8.032837534415192e-06
4.0,1,"[0.9481479788847726, 0.9416166317106041, 0.9345965716214902, 0.9270620885920168, 0.9189840949866647, 0.910329383219273, 0.9010596722100189, 0.8911303650592041, 0.8804889039292226, 0.8690725503895527, 0.8568053251045689]",0.0
4.0,2,"[0.8906199631142276, 0.8783816121363566, 0.8639771962133348, 0.8471111880513124, 0.8273828475795604, 0.8042197482831309, 0.7767468893633933, 0.7434933994042863, 0.7015901014480218, 0.6436077580316435, 0.3012247547695456]",0.0
4.0,3,"[0.8259015183062994, 0.8085120168192081, 0.78550744297473, 0.755280860660395, 0.7148510636319122, 0.6571106421270116, 0.5470246627814459, 0.0003332714517734532, 0.00022430267732994637, 0.0001732301263056231, 0.00014826892788852948]",0.0
4.0,4,"[0.7516481706018998, 0.7290517560310573, 0.6940510322121958, 0.6385991979621137, 0.5230535891568482, 0.0002282306569728884, 0.00013410527154810044, 9.434602705198096e-05, 7.47848705536332e-05, 6.522743610850425e-05, 6.238507919364254e-05]",0.0
4.0,5,"[0.66405594415787, 0.6343778055821659, 0.5756161860227125, 0.0003671851164153876, 0.00014556734207074945, 8.182353727980652e-05, 5.543921453552145e-05, 4.2569534220759845e-05, 3.607753367808818e-05, 3.3510397073728596e-05, 3.451040639046131e-05]",1.0000093167327124e-06
4.0,6,"[0.5570472114145711, 0.5109465201962279, 0.00041001730567369376, 0.00013080851788189378, 6.504989922807379e-05, 4.047303866381187e-05, 2.9141051359763045e-05, 2.3403363764602827e-05, 2.0646398456110377e-05, 2.0039394515720757e-05, 2.193469218007835e-05]",1.8952976643575939e-06
4.0,7,"[0.4257680701248507, 0.001029898141865286, 0.00016559744901766167, 6.58350641941278e-05, 3.5750041998386236e-05, 2.3386059265801704e-05, 1.743328647965509e-05, 1.440757679760275e-05, 1.3075927709483313e-05, 1.313727191321879e-05, 1.5179848381776577e-05]",2.103920672293264e-06
4.0,8,"[0.29588650165975605, 0.0004065201155035101, 8.945587321094264e-05, 3.873526737636881e-05, 2.203091863241487e-05, 1.4854696091688351e-05, 1.1330826616100108e-05, 9.557510305358337e-06, 8.864978802349737e-06, 9.165535046978195e-06, 1.1130242412138857e-05]",2.2652636097891194e-06
4.0,9,"[0.2108024115420416, 0.00022373674667716632, 5.516305492868411e-05, 2.499394880143189e-05, 1.4628905270810235e-05, 1.0067820404623682e-05, 7.807634880300105e-06, 6.6889889952621896e-06, 6.3140164946181205e-06, 6.6904025851025984e-06, 8.510484560017799e-06]",2.196468065399678e-06
4.0,10,"[0.1607050489874619, 0.00014089467614181425, 3.684390398139425e-05, 1.716597092060323e-05, 1.024545387468623e-05, 7.156674626953245e-06, 5.620410791780517e-06, 4.875100113497726e-06, 4.669341053842559e-06, 5.055077162205002e-06, 6.718034835426191e-06]",2.0486937815836317e-06
