Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.5643986641837854, 0.5996060246417297, 0.6367339554516945, 0.6755683680005355, 0.7158392155498376, 0.757232936786561, 0.7994080931608867, 0.8420117272944649, 0.8846941260972927, 0.9271203990108532, 0.9689782432135394]",0.0
0.25,2,"[0.29494967130034444, 0.3267397697353918, 0.3651158552305787, 0.4112193380551396, 0.4659870349172159, 0.5298223383016706, 0.602237175479314, 0.681659712124437, 0.7655924887753774, 0.8510874010044353, 0.9352742174487964]",0.0
0.25,3,"[0.1721712657522119, 0.18949429367267318, 0.21260714213237902, 0.24402371432126033, 0.2871212148626813, 0.3459631613207229, 0.42444151911261485, 0.5242809355369779, 0.6424418083608844, 0.7705847410797454, 0.8982237027223359]",0.0
0.25,4,"[0.11151193299587539, 0.11658054174606326, 0.12133686787078779, 0.0034169710383987256, 0.0019003215623071938, 0.0016293785427527515, 0.0022666384442450696, 0.36860244880156573, 0.512201022531394, 0.6830135875917359, 0.8568053251045689]",0.10988255445312264
0.25,5,"[0.07519402312579919, 0.039291271427725545, 0.001428471158446306, 0.000715924089056338, 0.0004985333415070676, 0.0004178976810797744, 0.0004121515222193329, 0.0005025674367180954, 0.0010130416789859735, 0.5817025588290086, 0.8092968317411092]",0.07478187160357985
0.25,6,"[0.04823101502884756, 0.0021055059402001713, 0.0005858815162457525, 0.00032956869884631125, 0.00023599755586950263, 0.00019673439314153731, 0.00018718748319882756, 0.0002080706514382558, 0.0002988123218288315, 0.0008578213429424784, 0.7523337700277288]",0.04804382754564873
0.25,7,"[0.029179832892949207, 0.0009159555288321812, 0.00032108783566464443, 0.00018763737222965334, 0.00013565009546018583, 0.00011268426549752011, 0.00010556735201063027, 0.00011333211955186196, 0.00014968084469335995, 0.00030956418293997585, 0.6771997885269528]",0.029074265540938577
0.25,8,"[0.017872279311828627, 0.0005273830640880877, 0.00020065845386385363, 0.00011930253263913556, 8.659272500823236e-05, 7.175093873284608e-05, 6.664074219844766e-05, 7.025561945561336e-05, 8.920955051006851e-05, 0.00016501208460079889, 0.3012249771028411]",0.01780563856963018
0.25,9,"[0.011590029365357959, 0.00034229668580085487, 0.0001355981260738093, 8.13443458338375e-05, 5.914667695224787e-05, 4.891624539579742e-05, 4.5185628626640544e-05, 4.7118820998219514e-05, 5.8500289509529616e-05, 0.00010239142869823825, 0.00045159502340511785]",0.0004064093947784773
0.25,10,"[0.008004866730750008, 0.00023848735333096725, 9.662710358123115e-05, 5.825490559306042e-05, 4.239048006896142e-05, 3.5006996328290375e-05, 3.221804337059887e-05, 3.3356877855015694e-05, 4.082795895218933e-05, 6.919635881180167e-05, 0.0002870353352460781]",0.00025481729187547925
0.5,1,"[0.7284318413475099, 0.7512901894450716, 0.7744703232567017, 0.7978987125122146, 0.8214995733487402, 0.8451960314455055, 0.868911196446754, 0.8925691119691102, 0.9160955608676562, 0.9394187202589709, 0.9624696735492367]",0.0
0.5,2,"[0.4938513038046728, 0.5272429288915577, 0.563643951372726, 0.6029203685014827, 0.6447935439020399, 0.6888432456339053, 0.734529972444739, 0.7812324754481781, 0.8282920402032391, 0.8750543367252437, 0.9209024042671881]",0.0
0.5,3,"[0.33350638094745466, 0.3616620771831553, 0.39536850460978484, 0.4355233070228538, 0.4827913018225846, 0.5373362050358396, 0.5985723313825484, 0.6650757170838092, 0.7347467261931917, 0.8051677652749563, 0.8739849611610986]",0.0
0.5,4,"[0.2342883372328944, 0.25142572886766096, 0.273554108723656, 0.30277858163751203, 0.341825161419016, 0.3935824874422674, 0.459960832248147, 0.5404170004471248, 0.631225379368594, 0.7263575358321819, 0.8194095573130334]",0.0
0.5,5,"[0.1721712657522119, 0.17787230773699206, 0.18432043770260337, 0.0021576289269240752, 0.0011421527382406537, 0.0008824228078623579, 0.0008693737877037221, 0.38394698414606926, 0.5026549764337991, 0.6298205115466432, 0.7523337700277288]",0.17130189196450818
0.5,6,"[0.1314202995474214, 0.12421879178722385, 0.00137779225465564, 0.0006026540190634985, 0.00039142011924804066, 0.00031096533281973495, 0.0002883345023099898, 0.0003132292542501813, 0.00041835056148456496, 0.0007244506933298855, 0.6578884908176729]",0.1311319650451114
0.5,7,"[0.10303101654675169, 0.003291413186875192, 0.0005962684081690489, 0.0003005499241320958, 0.0002025992439112445, 0.00016179124146974182, 0.0001477310599275912, 0.0001543886926197836, 0.0001906289763113812, 0.00029775092718121294, 0.0006248572846297037]",0.0004771262247021125
0.5,8,"[0.0814788881668713, 0.0012615242085927797, 0.0003384689434559862, 0.00017949542490056927, 0.0001228031492631566, 9.819519521879323e-05, 8.896514786869672e-05, 9.137118954241009e-05, 0.00010941694128606608, 0.00016282677034537687, 0.000339514994340046]",0.0002505498464713493
