Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.7516481706018998, 0.7714411475169075, 0.7895729767847369, 0.8061601679141811, 0.8213066447068882, 0.8351053457956378, 0.8476398693807407, 0.8589859872503396, 0.869212962775279, 0.8783846600760705, 0.8865604555224381]",0.0
0.25,2,"[0.29588650165975605, 0.3659964835865831, 0.44652766883381606, 0.5206435833778955, 0.5823062055315247, 0.6325030501989966, 0.6733535434513159, 0.7066339434967439, 0.7336794315228002, 0.7554974472813875, 0.7728715915695659]",0.0
0.25,3,"[0.10598933874025929, 0.11818955798409181, 0.13731886708834534, 0.1690154393919582, 0.2268156281512035, 0.3305810798617954, 0.4461905420896771, 0.5315533012268089, 0.5913529445794002, 0.633788724315181, 0.663901092104121]",0.0
0.25,4,"[0.052335165535427, 0.056304472569647816, 0.06371747511073485, 0.0754071667633261, 0.09328752336481433, 0.12294527462319525, 0.18316534244515353, 0.3119909848388046, 0.43845369108201737, 0.5162248356205345, 0.5643986641837855]",0.0
0.25,5,"[0.024350093879368945, 0.024749606155833454, 0.02751026276951548, 0.033211326451286514, 0.043259970540533536, 0.06001196314619092, 0.08750996287016466, 0.14108903969148362, 0.2737683681093411, 0.4054720594915078, 0.47758255469009303]",0.0
0.25,6,"[0.01228229886114215, 0.01167521958021632, 0.012368497285529823, 0.014446041649923672, 0.01865069266930902, 0.026887679414288244, 0.043416282148816945, 0.07597490491887281, 0.14770493792589723, 0.30360023390804647, 0.40445313019439155]",0.0006070792809258294
0.25,7,"[0.00711621168631077, 0.006417278884705534, 0.006519961605695967, 0.007313197682701683, 0.009056769322730588, 0.01258966781760009, 0.020309752569664042, 0.03936187074671356, 0.08688999169148603, 0.2143652191576161, 0.34417122985726334]",0.0006989328016052364
0.25,8,"[0.004608900451772889, 0.003987689245320469, 0.003926316504858417, 0.004268807438784063, 0.0050992773984484385, 0.006781576959185192, 0.010407426441926906, 0.019785266101148734, 0.05021277273494005, 0.14600330932294436, 0.29494967130034444]",0.0006825839469144718
0.25,9,"[0.003232053967042921, 0.0027006699944800566, 0.002595297683235618, 0.0027572980407404944, 0.003207177710498662, 0.004120499226010652, 0.006030391518181708, 0.010800365482646618, 0.027494291318585988, 0.10036867735836955, 0.25479500820131407]",0.0006367562838073028
0.25,10,"[0.0023991270869615357, 0.0019434112252261413, 0.0018309653002240732, 0.0019112525553750268, 0.0021799636910377427, 0.002730901858859519, 0.0038543259182093796, 0.006531060431536285, 0.01558474509740708, 0.06773247551411164, 0.22189616334762827]",0.0005681617867374625
0.5,1,"[0.8657030637112519, 0.8676178074761455, 0.8690162789021618, 0.8699149030547695, 0.8703306618270364, 0.8702810356228065, 0.8697839395674107, 0.8688576550746018, 0.867520757812285, 0.8657920432342997, 0.8636904508939731]",-0.004627598115784504
0.5,2,"[0.6828967534657922, 0.6971449264341969, 0.7088052398518505, 0.7180275956907504, 0.7249752665563056, 0.7298180514784526, 0.7327281462563081, 0.7338773899323316, 0.7334351909353025, 0.7315668056179323, 0.7284318413475096]",-0.005445548584822046
0.5,3,"[0.39781784461028896, 0.44169802391532664, 0.48324323884838283, 0.5186551384079107, 0.5469103758955363, 0.5683831244179027, 0.5838915590470187, 0.5943144746099014, 0.6004706063501991, 0.6030894905107376, 0.6028099930383722]",-0.00027949747236533096
0.5,4,"[0.17787740446624603, 0.18907686595144885, 0.210610117993455, 0.24760132108619579, 0.3027683623658973, 0.36373529221570683, 0.4135350891512088, 0.4486757915682521, 0.4718674083485265, 0.486141610548494, 0.4938513038046723]",0.0
0.5,5,"[0.10598933874025929, 0.10457828662171585, 0.10826789116851755, 0.11799440292252636, 0.13632786499848798, 0.16934789188406668, 0.22624594828828304, 0.2964139971262774, 0.3504295675003355, 0.3844376378055765, 0.40445313019439155]",0.001411052118543435
0.5,6,"[0.06976948567169795, 0.06403433105291936, 0.0632920706404266, 0.06715795904717146, 0.07603970760429174, 0.09158937274606672, 0.11833744669275231, 0.16752327101694695, 0.24032006009071227, 0.2987953055528866, 0.33350638094745466]",0.006477415031271347
0.5,7,"[0.045016520030864565, 0.037210918006216634, 0.03475352461848714, 0.03609079630968644, 0.041151756697241866, 0.051133845333631155, 0.06867800112460437, 0.09892743915287304, 0.15442930151636222, 0.22821403971254114, 0.27790753777036337]",0.010262995412377428
0.5,8,"[0.028335175930405423, 0.021181269378338526, 0.01882256651626666, 0.01901482366128682, 0.02140053632538925, 0.02677728729227807, 0.03755377561049811, 0.05905858364531766, 0.1003726637692005, 0.17155961507822476, 0.23428833723289424]",0.009512609414138763
0.5,9,"[0.018215207756828528, 0.012684211655187268, 0.01091613167575399, 0.010776456516715676, 0.011866063111233092, 0.014545894992812796, 0.020223618338754173, 0.033047458729991964, 0.06411368548424008, 0.1279556174643813, 0.19978201979142485]",0.007438751240112852
0.5,10,"[0.01228229886114215, 0.008160525468526546, 0.006884516168353515, 0.006684021169329833, 0.007218088730781786, 0.008633298581309689, 0.011657784340118842, 0.018668221156961748, 0.03843014054420684, 0.09466936095405283, 0.1721712657522239]",0.005598277691812316
1.0,1,"[0.9143952828123172, 0.9059957174741011, 0.897251791806103, 0.8881891095927871, 0.878833925021351, 0.869212962775279, 0.8593532415382149, 0.8492819020740637, 0.8390260408435333, 0.8286125499844481, 0.8180679644152553]",0.0
1.0,2,"[0.8119090777218179, 0.7984585809699305, 0.7837054724767998, 0.7678515355584227, 0.7511059956762863, 0.7336794315228002, 0.7157779262099128, 0.6975977289131301, 0.679320672168423, 0.661110546539189, 0.6431105680741943]",0.0
1.0,3,"[0.6828967534657922, 0.6682668684314217, 0.6511392148004744, 0.6321801329585626, 0.612049190666446, 0.5913529445794002, 0.5706106235812546, 0.5502351994675078, 0.5305297875586443, 0.5116962520715844, 0.4938513038046723]",0.0
1.0,4,"[0.5072609648798203, 0.49507465731388284, 0.48118049324660533, 0.46667781801698, 0.4523053750749563, 0.43845369108201737, 0.4252686867064062, 0.41276365997463454, 0.4008983751681361, 0.389621397575138, 0.3788871265415095]",0.0
1.0,5,"[0.29588650165975605, 0.2759025111327709, 0.26417200458750134, 0.2613336447376864, 0.26560182608977984, 0.2737683681093411, 0.2824363347944512, 0.28933151831188897, 0.29360907571871847, 0.295336806165171, 0.29494967130034444]",0.03361602656265805
1.0,6,"[0.17787740446624603, 0.15317642239540916, 0.13964661173129886, 0.13497746342293337, 0.13773211668738278, 0.14770493792589723, 0.1648777519995011, 0.18689348343838785, 0.2080644488366604, 0.22404627895429768, 0.23428833723289424]",0.042899941043312656
1.0,7,"[0.12345925767474566, 0.09979804639633977, 0.08708186370475501, 0.08152460902229834, 0.08152490636057172, 0.08688999169148603, 0.09843428499986887, 0.11755289379963543, 0.14379183070823334, 0.17030099555258993, 0.1899042971748853]",0.04193464865244732
