Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.5643986641837857, 0.5917450895191735, 0.6207741991362206, 0.651343315460717, 0.6832531383635997, 0.7162523156095291, 0.7500467407743775, 0.7843124787450055, 0.8187105830566102, 0.8529019210894249, 0.8865604555224381]",0.0
0.25,2,"[0.2949496713003452, 0.31575179664310876, 0.34135698703472656, 0.3726859802123414, 0.4106894275163639, 0.45615704661571244, 0.5093922414047617, 0.5698186181270743, 0.6357326974443115, 0.7044523168462228, 0.7728715915695659]",0.0
0.25,3,"[0.17217126575220915, 0.18108102268324064, 0.19400138299129366, 0.21206697462578503, 0.2369522422031158, 0.271092702761031, 0.3178208720833647, 0.3809449847382438, 0.4627615848335154, 0.5603179130775214, 0.6639010921041206]",0.0
0.25,4,"[0.11151193299726239, 0.11378790274372574, 0.119291044128556, 0.12860995148452486, 0.14286852427754432, 0.16410783217713823, 0.19593711743800118, 0.24459454580157047, 0.31970382184712376, 0.4295746666784367, 0.5643986641837854]",0.0
0.25,5,"[0.07519402314113686, 0.07382740097027163, 0.07590675495058712, 0.08140557743724555, 0.09064140214049739, 0.10463314554254025, 0.12588412128725865, 0.15991549514945394, 0.21822252477132068, 0.32133670557138405, 0.47758255469009303]",0.0013666221708652365
0.25,6,"[0.048231015036016664, 0.04426524645757134, 0.04430251070818085, 0.04786903646261793, 0.05511952204601733, 0.06661995680165002, 0.08343268491143267, 0.10868359734502962, 0.15215067294163365, 0.23909295420556362, 0.4044531301943922]",0.003965768578445321
0.25,7,"[0.02917983290782456, 0.024639450267032098, 0.02369823806184792, 0.025379790587762865, 0.029883922240453865, 0.038313928160335936, 0.05250192117045395, 0.07449803270490965, 0.10923742439121467, 0.17973863896976428, 0.3441712298572638]",0.005481594845976642
0.25,8,"[0.01787227932588608, 0.014127949092835636, 0.013122149469917261, 0.013747945774590403, 0.016017134187949394, 0.020768720147077778, 0.030115069567096378, 0.04801739733925982, 0.07907430483888021, 0.1374976120065425, 0.2949496713003441]",0.004750129855968819
0.25,9,"[0.011590029364394136, 0.008755354709761139, 0.007931378458089439, 0.008135701469978213, 0.009278676674914615, 0.011805531324894813, 0.017086789482090067, 0.028832137867817638, 0.05506373961684128, 0.1068972817936682, 0.2547950082013139]",0.0036586509063046974
0.25,10,"[0.008004866728416864, 0.005851588216387736, 0.005206081322880725, 0.005250824048600216, 0.005870953162863654, 0.007291241586635127, 0.010286844709696498, 0.01726631714973136, 0.03609457440005943, 0.08340415478625801, 0.22189616334762827]",0.002798785405536139
0.5,1,"[0.7284318413475099, 0.7414934311039939, 0.7548091100488276, 0.7683280848796677, 0.7819952068090753, 0.7957517611357868, 0.809536366971825, 0.8232859582428961, 0.8369368146074128, 0.8504256104142214, 0.8636904508939728]",0.0
0.5,2,"[0.49385130380467296, 0.50920745093814, 0.5267473246923223, 0.5464975116073792, 0.5683992824897206, 0.5922909799007036, 0.6178971014486411, 0.6448290674614346, 0.6726010643116519, 0.7006609138502164, 0.7284318413475099]",0.0
0.5,3,"[0.33350638094745433, 0.34037805215977684, 0.3508976326337565, 0.36560154368368486, 0.38502060731388743, 0.40962562759606297, 0.43970111120862565, 0.4751410529620431, 0.5152187846693036, 0.5584655406726747, 0.6028099930383725]",0.0
0.5,4,"[0.23428833723289408, 0.23216972784801057, 0.23421296458039248, 0.24093329456275472, 0.25299941669242554, 0.27137522724483903, 0.2973767488030354, 0.3325237589490588, 0.3779150137492054, 0.4329124854089531, 0.4938513038046726]",0.0021186093848835075
0.5,5,"[0.17217126575220915, 0.1641929132389532, 0.1610031297682139, 0.16253000342186333, 0.16896931178294447, 0.18104529361344615, 0.20025061117421358, 0.2291332616444301, 0.27137522724483826, 0.3304032604936579, 0.4044531301943922]",0.011168135983995242
0.5,6,"[0.13142029954798518, 0.12017907394476282, 0.11448669744887009, 0.11349250684617901, 0.11684149269619873, 0.12482325770815993, 0.13859178700084432, 0.1606709197184503, 0.1958625990931037, 0.2518172200358977, 0.33350638094745416]",0.017927792701806167
