a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439892
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874404
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110435
0.0,33.75,0.21388935693750216
0.0,37.97,0.19463130799995562
0.0,42.19,0.17865447216723937
0.29,0.0,0.9564377777954748
0.29,4.22,0.7229057488857186
0.29,8.44,0.5026546591118815
0.29,12.66,0.3656458106509662
0.29,16.88,0.2778086124560236
0.29,21.09,0.21337247530931164
0.29,25.31,0.012768615894924827
0.29,29.53,0.008486145866483453
0.29,33.75,0.006248162123167683
0.29,37.97,0.004890540135049011
0.29,42.19,0.003990384475591923
0.59,0.0,0.9034508068154676
0.59,4.22,0.6536964281725494
0.59,8.44,0.38685917099601386
0.59,12.66,0.010085003482596774
0.59,16.88,0.005688913835167096
0.59,21.09,0.003809903033315317
0.59,25.31,0.0028178990198200362
0.59,29.53,0.0022182540009091727
0.59,33.75,0.0018212548839269468
0.59,37.97,0.0015409074913706412
0.59,42.19,0.0013332465605098327
0.88,0.0,0.8355313739766219
0.88,4.22,0.5343660645593094
0.88,8.44,0.008982341767183065
0.88,12.66,0.004372685194902443
0.88,16.88,0.002751742892207979
0.88,21.09,0.0019747530720330346
0.88,25.31,0.0015291963049142402
0.88,29.53,0.0012433585364591165
0.88,33.75,0.001045534475804825
0.88,37.97,0.0009009742623455392
0.88,42.19,0.000790945638497657
1.18,0.0,0.7382028913512039
1.18,4.22,0.01569557531683128
1.18,8.44,0.005065464833084676
1.18,12.66,0.0026887306131177977
1.18,16.88,0.0017795076998826616
1.18,21.09,0.0013171972937900864
1.18,25.31,0.0010412792241885505
1.18,29.53,0.000859156608696944
1.18,33.75,0.0007304066128552897
1.18,37.97,0.0006347638821620536
1.18,42.19,0.0005610091347343336
1.47,0.0,0.29060654869530445
1.47,4.22,0.009801076362426607
1.47,8.44,0.0034244354046804866
1.47,12.66,0.0019181881926043829
1.47,16.88,0.0013070471094691236
1.47,21.09,0.0009847658694737706
1.47,25.31,0.0007877300575864258
1.47,29.53,0.0006554419424617235
1.47,33.75,0.0005607317632693177
1.47,37.97,0.0004896854315202385
1.47,42.19,0.00043447110119220996
1.76,0.0,0.10171193460295479
1.76,4.22,0.00680333552512462
1.76,8.44,0.0025552889338317027
1.76,12.66,0.0014839406268783372
1.76,16.88,0.0010305400778890571
1.76,21.09,0.0007854047095908698
1.76,25.31,0.0006330799414302101
1.76,29.53,0.0005296386074531327
1.76,33.75,0.00045495409302253985
1.76,37.97,0.00039856524187638814
1.76,42.19,0.00035451591244574734
2.06,0.0,0.07766655029499688
2.06,4.22,0.005095921716676419
2.06,8.44,0.0020261032055240023
2.06,12.66,0.0012073842407862821
2.06,16.88,0.0008497888139901153
2.06,21.09,0.0006528904785053675
2.06,25.31,0.0005290923896099259
2.06,29.53,0.0004443312822542874
2.06,33.75,0.0003827633467672842
2.06,37.97,0.00033606208559866166
2.06,42.19,0.00029944643758023895
2.35,0.0,0.06282960009044795
2.35,4.22,0.004026294285594855
2.35,8.44,0.0016730696209809432
2.35,12.66,0.0010165119892448877
2.35,16.88,0.0007226307179388808
2.35,21.09,0.0005585292200131683
2.35,25.31,0.0004544230859879116
2.35,29.53,0.0003827006702909953
2.35,33.75,0.00033036594791759907
2.35,37.97,0.00029052994487282525
2.35,42.19,0.0002592109796958284
2.64,0.0,0.05208903026135122
2.64,4.22,0.0033057876428695962
2.64,8.44,0.0014219738995005702
2.64,12.66,0.0008770884171480257
2.64,16.88,0.0006283797676101909
2.64,21.09,0.00048794141527977783
2.64,25.31,0.0003982122927064956
2.64,29.53,0.0003360915063870403
2.64,33.75,0.00029060069076809075
2.64,37.97,0.00025587969140814876
2.64,42.19,0.0002285235374021097
2.94,0.0,0.043764086358779736
2.94,4.22,0.0027928012977470103
2.94,8.44,0.0012347739978553272
2.94,12.66,0.0007708766346919778
2.94,16.88,0.0005557452849937128
2.94,21.09,0.0004331497885364346
2.94,25.31,0.0003543651324876309
2.94,29.53,0.0002996038236545533
2.94,33.75,0.0002593860399814718
2.94,37.97,0.0002286220984867526
2.94,42.19,0.00020434174476913346
