a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.29,0.9564377777954745
0.0,0.59,0.9034508068154676
0.0,0.88,0.8355313739766219
0.0,1.18,0.7382028913512029
0.0,1.47,0.29060654823468124
0.0,1.76,0.10171193460187344
0.0,2.06,0.07766655028674323
0.0,2.35,0.06282960007321538
0.0,2.64,0.052089030228144456
0.0,2.94,0.04376408631212859
0.29,0.0,0.9564377777954748
0.29,0.29,0.9144082281994241
0.29,0.59,0.8623198178195589
0.29,0.88,0.7935536013395992
0.29,1.18,0.6880284371370531
0.29,1.47,0.002694478036770391
0.29,1.76,0.0018239598696637538
0.29,2.06,0.0012852456215680385
0.29,2.35,0.0009704124436403876
0.29,2.64,0.0007720457626639431
0.29,2.94,0.0006379532558377233
0.59,0.0,0.903450806815468
0.59,0.29,0.8623198178195587
0.59,0.59,0.8101818734868883
0.59,0.88,0.7383321808541858
0.59,1.18,0.6107014604708341
0.59,1.47,0.0010979979111664622
0.59,1.76,0.0007298348608667185
0.59,2.06,0.0005317793479865244
0.59,2.35,0.00041427896932279707
0.59,2.64,0.0003378299316956393
0.59,2.94,0.0002845677147557629
0.88,0.0,0.8355313739766219
0.88,0.29,0.7935536013395992
0.88,0.59,0.7383321808541862
0.88,0.88,0.6548196105919724
0.88,1.18,0.0009700177150567333
0.88,1.47,0.0006141708839686754
0.88,1.76,0.000423580722938876
0.88,2.06,0.0003182937104688616
0.88,2.35,0.00025328450467775623
0.88,2.64,0.0002096707545619599
0.88,2.94,0.00017857773169786568
1.18,0.0,0.7382028913512032
1.18,0.29,0.6880284371370531
1.18,0.59,0.6107014604708344
1.18,0.88,0.0009700177150462987
1.18,1.18,0.0005983268610153895
1.18,1.47,0.00039489482802066366
1.18,1.76,0.00028524297678890617
1.18,2.06,0.0002203175264095907
1.18,2.35,0.00017838709923032964
1.18,2.64,0.00014941298521989403
1.18,2.94,0.00012832758878626607
1.47,0.0,0.29060654819389664
1.47,0.29,0.002694478036809079
1.47,0.59,0.0010979979111271324
1.47,0.88,0.0006141708839593646
1.47,1.18,0.0003948948280241953
1.47,1.47,0.00027773771260308316
1.47,1.76,0.00020878232716039024
1.47,2.06,0.00016511907408599575
1.47,2.35,0.00013568627203172114
1.47,2.64,0.00011477500853500911
1.47,2.94,9.926605743448784e-05
1.76,0.0,0.10171193460201938
1.76,0.29,0.001823959869616879
1.76,0.59,0.0007298348608516286
1.76,0.88,0.0004235807229358259
1.76,1.18,0.0002852429767943642
1.76,1.47,0.00020878232715846386
1.76,1.76,0.00016153576595361795
1.76,2.06,0.00013021658892017
1.76,2.35,0.000108357188177874
1.76,2.64,9.244133267123991e-05
1.76,2.94,8.043221052896643e-05
2.06,0.0,0.07766655028641944
2.06,0.29,0.0012852456215295114
2.06,0.59,0.000531779347989093
2.06,0.88,0.00031829371046998534
2.06,1.18,0.00022031752641248027
2.06,1.47,0.00016511907408422994
2.06,1.76,0.00013021658892241745
2.06,2.06,0.00010648355687830561
2.06,2.35,8.952090808745294e-05
2.06,2.64,7.692932820744251e-05
2.06,2.94,6.728740965224462e-05
2.35,0.0,0.06282960007247212
2.35,0.29,0.0009704124436220872
2.35,0.59,0.0004142789693313052
2.35,0.88,0.0002532845046771141
2.35,1.18,0.0001783870992345034
2.35,1.47,0.00013568627203156062
2.35,1.76,0.00010835718817498447
2.35,2.06,8.95209080884161e-05
2.35,2.35,7.586311142054147e-05
2.35,2.64,6.558649360735978e-05
2.35,2.94,5.7625865028267364e-05
2.64,0.0,0.052089030226824415
2.64,0.29,0.0007720457626681169
2.64,0.59,0.00033782993169355243
2.64,0.88,0.0002096707545609967
2.64,1.18,0.00014941298521893082
2.64,1.47,0.000114775008534367
2.64,1.76,9.244133267284522e-05
2.64,2.06,7.692932820663987e-05
2.64,2.35,6.558649360752031e-05
2.64,2.64,5.69764263305138e-05
2.64,2.94,5.025102601359671e-05
2.94,0.0,0.04376408631115272
2.94,0.29,0.0006379532558593949
2.94,0.59,0.00028456771475078644
2.94,0.88,0.00017857773169738407
2.94,1.18,0.00012832758878642662
2.94,1.47,9.926605743432732e-05
2.94,1.76,8.043221052960855e-05
2.94,2.06,6.728740965224462e-05
2.94,2.35,5.762586502890948e-05
2.94,2.64,5.025102601391777e-05
2.94,2.94,4.4457564769844435e-05
