a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177237
0.0,2.11,0.4927407066869601
0.0,3.16,0.40039819034405133
0.0,4.22,0.33881579699195663
0.0,5.27,0.29439535450604176
0.0,6.33,0.260658268271272
0.0,7.38,0.23407651584247208
0.0,8.44,0.21254588501929475
0.0,9.49,0.19472553174302099
0.0,10.55,0.179716770075297
0.29,0.0,0.9564377777954748
0.29,1.05,0.6038952165103271
0.29,2.11,0.43850245267304605
0.29,3.16,0.3393023573278634
0.29,4.22,0.2704413154389049
0.29,5.27,0.21734629640875172
0.29,6.33,0.016220723301125742
0.29,7.38,0.010113516161824002
0.29,8.44,0.007233198326311388
0.29,9.49,0.005560183534298686
0.29,10.55,0.004480384983382034
0.59,0.0,0.903450806815468
0.59,1.05,0.5379750123129137
0.59,2.11,0.34105389367471467
0.59,3.16,0.010954091585902248
0.59,4.22,0.006146276796702868
0.59,5.27,0.004101080986296569
0.59,6.33,0.003024569629580066
0.59,7.38,0.0023755040732014315
0.59,8.44,0.0019467357101001213
0.59,9.49,0.001644533521009895
0.59,10.55,0.0014210571211653847
0.88,0.0,0.8355313739766216
0.88,1.05,0.02853564255377162
0.88,2.11,0.00901443096046668
0.88,3.16,0.0044927619860692875
0.88,4.22,0.0028589766500035758
0.88,5.27,0.002063038407549661
0.88,6.33,0.0016023871135277571
0.88,7.38,0.0013051955029625747
0.88,8.44,0.0010987564046603347
0.88,9.49,0.0009475200993647777
0.88,10.55,0.0008322032115127683
1.18,0.0,0.7382028913512029
1.18,1.05,0.0149223288799246
1.18,2.11,0.004984346697009011
1.18,3.16,0.0027216534918140848
1.18,4.22,0.0018261843608259434
1.18,5.27,0.0013618193929569782
1.18,6.33,0.0010813730519779472
1.18,7.38,0.0008948357252756451
1.18,8.44,0.0007622657579241778
1.18,9.49,0.000663408157840153
1.18,10.55,0.0005869551934334616
1.47,0.0,0.29060654847445305
1.47,1.05,0.009204153197619686
1.47,2.11,0.0033573582836799905
1.47,3.16,0.0019319981826648213
1.47,4.22,0.0013346303826160238
1.47,5.27,0.0010133918401183818
1.47,6.33,0.0008145793465409088
1.47,7.38,0.0006800058035109631
1.47,8.44,0.0005831032981268724
1.47,9.49,0.0005101028635002607
1.47,10.55,0.0004531851974919844
1.76,0.0,0.10171193460190316
1.76,1.05,0.0064223554871642
1.76,2.11,0.0025078732123686625
1.76,3.16,0.0014922622145729747
1.76,4.22,0.001049891206159825
1.76,5.27,0.0008062930627481745
1.76,6.33,0.0006531190765255569
1.76,7.38,0.0005482555444376368
1.76,8.44,0.000472102395692936
1.76,9.49,0.00041435355282284594
1.76,10.55,0.0003690893650328222
2.06,0.0,0.07766655028702817
2.06,1.05,0.004853603191573891
2.06,2.11,0.001993707453686121
2.06,3.16,0.0012139206182016824
2.06,4.22,0.0008648091101192192
2.06,5.27,0.0006693363064144022
2.06,6.33,0.0005450501201473024
2.06,7.38,0.00045928633711021663
2.06,8.44,0.00039663304202599805
2.06,9.49,0.00034890208346174517
2.06,10.55,0.00031135206056171573
2.35,0.0,0.0628296000725381
2.35,1.05,0.0038698318472268635
2.35,2.11,0.001651474831874898
2.35,3.16,0.001022477016163892
2.35,4.22,0.0007350517991688997
2.35,5.27,0.0005721247309497654
2.35,6.33,0.0004676796210327333
2.35,7.38,0.00039518508731803674
2.35,8.44,0.00034199345771486955
2.35,9.49,0.0003013329233618912
2.35,10.55,0.0002692584020801837
2.64,0.0,0.05208903022833436
2.64,1.05,0.003203772087307731
2.64,2.11,0.0014081820943607206
2.64,3.16,0.0008829337526162764
2.64,4.22,0.0006390980601976484
2.64,5.27,0.0004995676704236517
2.64,6.33,0.00040955759457408925
2.64,7.38,0.00034680213911015667
2.64,8.44,0.0003006019541057146
2.64,9.49,0.0002651938715424138
2.64,10.55,0.00023720462448885107
2.94,0.0,0.043764086309540685
2.94,1.05,0.002726434140095348
2.94,2.11,0.0012267077186594488
2.94,3.16,0.0007767816393798725
2.94,4.22,0.0005652795277999418
2.94,5.27,0.0004433440874216564
2.94,6.33,0.00036429324270391845
2.94,7.38,0.0003089835206719805
2.94,8.44,0.0002681570159516603
2.94,9.49,0.00023680304254338264
2.94,10.55,0.00021197778941999042
