a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177234
0.0,2.11,0.4927407066869598
0.0,3.16,0.40039819034405133
0.0,4.22,0.3388157969919571
0.0,5.27,0.29439535450604176
0.0,6.33,0.260658268271272
0.0,7.38,0.23407651584247208
0.0,8.44,0.21254588501929475
0.0,9.49,0.19472553174302099
0.0,10.55,0.1797167700752978
1.05,0.0,0.6512145775177234
1.05,1.05,0.2993162562226285
1.05,2.11,0.18409244265430139
1.05,3.16,0.13027626764958075
1.05,4.22,0.09957313388145955
1.05,5.27,0.07926526344181918
1.05,6.33,0.06428982092863718
1.05,7.38,0.052609796688253906
1.05,8.44,0.043360238954134045
1.05,9.49,0.03604824002286378
1.05,10.55,0.030286318681871746
2.11,0.0,0.49274070668695996
2.11,1.05,0.18409244265430125
2.11,2.11,0.10731530349864551
2.11,3.16,0.07236302741215324
2.11,4.22,0.05069650027834266
2.11,5.27,0.03623143788982478
2.11,6.33,0.026703574512136893
2.11,7.38,0.020414206310532958
2.11,8.44,0.01616004015186777
2.11,9.49,0.013184484874198
2.11,10.55,0.011030865443956574
3.16,0.0,0.4003981903440512
3.16,1.05,0.1302762676496578
3.16,2.11,0.07236302741221569
3.16,3.16,0.04405930496089284
3.16,4.22,0.028082207228014005
3.16,5.27,0.019189465487136258
3.16,6.33,0.014026027569110335
3.16,7.38,0.010821703158508418
3.16,8.44,0.008702473278242391
3.16,9.49,0.007223455502765742
3.16,10.55,0.006144871106517243
4.22,0.0,0.3388157969919569
4.22,1.05,0.09957313388150515
4.22,2.11,0.05069650027967361
4.22,3.16,0.028082207227394358
4.22,4.22,0.017403800406471968
4.22,5.27,0.011983974822569436
4.22,6.33,0.008915687782736959
4.22,7.38,0.007006675164469698
4.22,8.44,0.005728468000335688
4.22,9.49,0.004822953327513043
4.22,10.55,0.004152673731039197
5.27,0.0,0.29439535450604193
5.27,1.05,0.07926526344220607
5.27,2.11,0.036231437887461616
5.27,3.16,0.019189465487935698
5.27,4.22,0.011983974821509135
5.27,5.27,0.008408747886043753
5.27,6.33,0.006369762289306419
5.27,7.38,0.005082222198093588
5.27,8.44,0.004206709624634723
5.27,9.49,0.003577620577839095
5.27,10.55,0.003106098144984512
6.33,0.0,0.260658268271272
6.33,1.05,0.06428982092822606
6.33,2.11,0.02670357451297631
6.33,3.16,0.014026027569027022
6.33,4.22,0.008915687782866666
6.33,5.27,0.006369762288850834
6.33,6.33,0.0048963872629936
6.33,7.38,0.003951838785056746
6.33,8.44,0.003300882713448021
6.33,9.49,0.002827750311611897
6.33,10.55,0.0024696518132581954
7.38,0.0,0.23407651584247194
7.38,1.05,0.05260979668800621
7.38,2.11,0.02041420631059428
7.38,3.16,0.010821703158164723
7.38,4.22,0.0070066751642558715
7.38,5.27,0.005082222198091662
7.38,6.33,0.003951838785158522
7.38,7.38,0.00321760798022612
7.38,8.44,0.0027060171576873677
7.38,9.49,0.0023307785473912555
7.38,10.55,0.002044605640130949
8.44,0.0,0.21254588501929475
8.44,1.05,0.04336023895263485
8.44,2.11,0.01616004015237986
8.44,3.16,0.008702473277986346
8.44,4.22,0.005728468000126998
8.44,5.27,0.004206709624828643
8.44,6.33,0.0033008827133358108
8.44,7.38,0.0027060171577419478
8.44,8.44,0.002287822478710679
8.44,9.49,0.001978845112393225
8.44,10.55,0.0017417809997119138
9.49,0.0,0.19472553174301988
9.49,1.05,0.03604824002363497
9.49,2.11,0.013184484873742094
9.49,3.16,0.007223455502762692
9.49,4.22,0.004822953327474838
9.49,5.27,0.0035776205778822773
9.49,6.33,0.00282775031172202
9.49,7.38,0.0023307785473837108
9.49,8.44,0.001978845112362885
9.49,9.49,0.0017172823003155245
9.49,10.55,0.0015156179873166255
10.55,0.0,0.17971677007530068
10.55,1.05,0.030286318683643676
10.55,2.11,0.0110308654444433
10.55,3.16,0.0061448711065477425
10.55,4.22,0.004152673731276139
10.55,5.27,0.0031060981448904415
10.55,6.33,0.002469651813253219
10.55,7.38,0.0020446056402014215
10.55,8.44,0.0017417809997865602
10.55,9.49,0.0015156179872366814
10.55,10.55,0.0013405486092862662
