Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.4413511844801566, 0.4625493019038862, 0.4869187359712387, 0.5151806670897766, 0.5482967715890774, 0.5875807753758635, 0.6348744429869166, 0.6928220783885795, 0.7652510989367917, 0.8573712553730027, 0.9736921014497466]",0.0
0.25,2,"[0.29439535450604176, 0.30824097304992343, 0.32528908832951803, 0.3465639430180956, 0.3735148947762418, 0.40825935858658924, 0.4540348558091471, 0.516119763173276, 0.6038952165103267, 0.7357142053381922, 0.9442237799743148]",0.0
0.25,3,"[0.22277672271674, 0.22910908062412985, 0.2376519060419198, 0.24952007875456958, 0.26649905630538057, 0.2914336732787159, 0.3288086009973536, 0.38583670209831095, 0.4754457300912301, 0.6262261106131688, 0.9107355551429056]",0.0
0.25,4,"[0.1797167700752978, 0.1786728331140079, 0.17722127061433274, 0.1748755369128379, 0.01622072330040705, 0.012515627828770049, 0.012664350852938492, 0.01595587234287498, 0.34105389367471695, 0.5156191175741565, 0.8719023232983716]",0.16720114224652774
0.25,5,"[0.15079685194600953, 0.14196465481953918, 0.09073481003385737, 0.006903167244818046, 0.004967279802423223, 0.0044518705356248935, 0.004650114534407823, 0.0057256317459776105, 0.00909725272841879, 0.02406505353081908, 0.8254761849768686]",0.14634498141038463
0.25,6,"[0.12995269859900097, 0.11062484513239138, 0.005743115294198432, 0.003261321004795987, 0.0025668896512144337, 0.002371675238332071, 0.0024831057096569038, 0.002989685946869116, 0.004492761985886443, 0.011392162103031124, 0.7670148928491777]",0.1275810233606689
0.25,7,"[0.11414152214763996, 0.028098091842625173, 0.003085004377925728, 0.0019665753644378197, 0.0016059111634416623, 0.0015035467278734702, 0.0015734414838334092, 0.0018674827227256445, 0.0027042067160235176, 0.006338965227100806, 0.6847371728874497]",0.1126379754197665
0.25,8,"[0.1016503300833866, 0.005957882101886632, 0.0019856300485885706, 0.0013374907470518303, 0.00111414444315868, 0.0010507101856883172, 0.001098756404672214, 0.0012920681147878309, 0.0018261843608628652, 0.004022279661825913, 0.29060654905206657]",0.10059961989769828
0.25,9,"[0.09143969524394384, 0.0035392255692499454, 0.0014061239968760051, 0.0009780704070890172, 0.0008247898391135013, 0.0007813400413119169, 0.0008165784027721498, 0.0009542780311348632, 0.0013268009662508401, 0.0027925749474762645, 0.11639649214243578]",0.09065835520263192
0.25,10,"[0.08284976946504992, 0.002425013066790708, 0.0010573035985500948, 0.0007508852902923733, 0.0006384147964524379, 0.0006066216911261685, 0.0006336959248912789, 0.0007373318538654626, 0.0010133918400923759, 0.0020633666554280405, 0.09421278766205132]",0.08224314777392375
0.5,1,"[0.5596213507581557, 0.5806377615956603, 0.6042238555119976, 0.6308405763351623, 0.6610602541879637, 0.6955968494195746, 0.7353384323626789, 0.7813665841653873, 0.8349114810087682, 0.8970920345121127, 0.9680741025751451]",0.0
0.5,2,"[0.4003981903440512, 0.41653541047627024, 0.43584309274893324, 0.45918401905525663, 0.4877257814089554, 0.523084810578334, 0.5675638484710069, 0.6245541339492986, 0.6991906165271495, 0.7990387090452804, 0.9313715069911466]",0.0
0.5,3,"[0.3149626828824774, 0.32412474037743927, 0.33591764757852033, 0.3514093094495466, 0.3721851255521331, 0.4006097369413886, 0.4402325351902428, 0.49650346698643705, 0.5782871941511121, 0.7011812232837726, 0.888191675286818]",0.0
0.5,4,"[0.260658268271272, 0.2623364455846603, 0.2648019294287746, 0.2686580409627619, 0.27519146073753353, 0.2873666242869079, 0.3119531640549853, 0.3609614081887879, 0.448140106689375, 0.5927818315268782, 0.8355313739766216]",0.0
0.5,5,"[0.22277672271674, 0.21648098547896708, 0.20621973629236603, 0.015693346184892938, 0.009575018822491722, 0.00808576104184987, 0.00819930264655479, 0.009896433338849295, 0.015067366515677406, 0.032330589506522164, 0.7670148928491777]",0.21469096167489013
0.5,6,"[0.19472553174302054, 0.1795785742483656, 0.01329367096468005, 0.005967782908162825, 0.004389613707746054, 0.0039324597743104405, 0.004059406411722634, 0.004864695967302905, 0.007271280657966524, 0.01700641428133841, 0.6624974806380082]",0.1907930719687101
0.5,7,"[0.1730631567491751, 0.14704087674214847, 0.0057670498465665935, 0.003293644030772024, 0.0025793014151064744, 0.002367385527230081, 0.002456264337211893, 0.0029123622072121476, 0.004229446153914643, 0.00963214682859263, 0.13905969691554204]",0.13669231138831195
0.5,8,"[0.15580106998800963, 0.029470910149151784, 0.0033958914406653526, 0.002130454332722643, 0.00172336771096267, 0.0016023871134879456, 0.0016657512958138353, 0.001958871155984409, 0.0027810787935489746, 0.006066841718809593, 0.10171193460191888]",0.10010954748843093
0.5,9,"[0.14170235895430852, 0.007296253782739368, 0.0022839069531486074, 0.0015091878783321012, 0.0012449393050153776, 0.0011667573045983782, 0.0012139848171381512, 0.0014191148432677661, 0.001981713640231114, 0.004161228793958156, 0.08245070463848628]",0.0812839473338879
0.5,10,"[0.12995269859900097, 0.0044533037505184074, 0.0016606720367140799, 0.0011338839851211657, 0.0009475200994419926, 0.0008927271937713471, 0.0009293224972650088, 0.001081642396379031, 0.0014922622145456847, 0.0030395114808924478, 0.0695541758564322]",0.06866144866266086
1.0,1,"[0.6512145775177243, 0.6696925995887479, 0.6900590006147511, 0.7125713993370164, 0.7375247400033607, 0.7652510989367917, 0.7961116266056508, 0.8304710799783167, 0.8686364191953252, 0.9107273621037794, 0.9564377777954745]",0.0
1.0,2,"[0.4927407066869598, 0.5079891941574566, 0.525961843793055, 0.5473211512184223, 0.5729254901396271, 0.6038952165103267, 0.6416999649768339, 0.6882594317959407, 0.7459905985257406, 0.8174734327041483, 0.9034508068154676]",0.0
1.0,3,"[0.4003981903440512, 0.4087550614564304, 0.4193483686547617, 0.43304321409966806, 0.4511142896175602, 0.4754457300912301, 0.5088051611792692, 0.5551990958390973, 0.6203159483280656, 0.7117929913560477, 0.8355313739766216]",0.0
