a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356636
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874404
0.0,25.31,0.2676137658439392
0.0,29.53,0.23760459314110435
0.0,33.75,0.213889356937502
0.0,37.97,0.19463130799995546
0.0,42.19,0.17865447216724195
4.22,0.0,0.7743326972356636
4.22,4.22,0.45673445148428954
4.22,8.44,0.2081551984259763
4.22,12.66,0.12955078515574447
4.22,16.88,0.09395613121999451
4.22,21.09,0.0724781677798196
4.22,25.31,0.05733842977008573
4.22,29.53,0.04599716309173493
4.22,33.75,0.03737503064559263
4.22,37.97,0.03079883908840529
4.22,42.19,0.025757974218494784
8.44,0.0,0.5686224951439891
8.44,4.22,0.2081551984259763
8.44,8.44,0.09633554038485137
8.44,12.66,0.06048812734821858
8.44,16.88,0.04066433738574273
8.44,21.09,0.02862060637984519
8.44,25.31,0.02113306824375714
8.44,29.53,0.01630636048326171
8.44,33.75,0.013055314139548085
8.44,37.97,0.010770149392058387
8.44,42.19,0.009101840696081132
12.66,0.0,0.4408752593263853
12.66,4.22,0.12955078515568363
12.66,8.44,0.060488127349558045
12.66,12.66,0.03440735635034498
12.66,16.88,0.021692712730160556
12.66,21.09,0.015014574205542116
12.66,25.31,0.01116817979238605
12.66,29.53,0.00875778148837815
12.66,33.75,0.007140321224212966
12.66,37.97,0.005994731725609501
12.66,42.19,0.005147914627537369
16.88,0.0,0.3611335247983081
16.88,4.22,0.09395613122010513
16.88,8.44,0.04066433738295914
16.88,12.66,0.021692712730717597
16.88,16.88,0.01361106182074957
16.88,21.09,0.009564329906731334
16.88,25.31,0.0072454603894023095
16.88,29.53,0.0057781316503334006
16.88,33.75,0.004779653443170236
16.88,37.97,0.0040621874221998255
16.88,42.19,0.00352458611946713
21.09,0.0,0.30696653823874404
21.09,4.22,0.07247816777809243
21.09,8.44,0.02862060637965705
21.09,12.66,0.015014574205266324
21.09,16.88,0.009564329906414449
21.09,21.09,0.0068440944096489036
21.09,25.31,0.0052665454592844595
21.09,29.53,0.004253655035639465
21.09,33.75,0.0035548499519294286
21.09,37.97,0.0030465525230095013
21.09,42.19,0.002661621955153558
25.31,0.0,0.2676137658439395
25.31,4.22,0.057338429769996146
25.31,8.44,0.02113306824379037
25.31,12.66,0.011168179792330346
25.31,16.88,0.007245460389578891
25.31,21.09,0.005266545459200823
25.31,25.31,0.004102225467933672
25.31,29.53,0.0033446488313316402
25.31,33.75,0.0028160018318293873
25.31,37.97,0.002427763757329015
25.31,42.19,0.002131359956807999
29.53,0.0,0.23760459314110435
29.53,4.22,0.04599716309229518
29.53,8.44,0.016306360482585557
29.53,12.66,0.008757781488443165
29.53,16.88,0.005778131650368717
29.53,21.09,0.004253655035574931
29.53,25.31,0.003344648831293755
29.53,29.53,0.002746550509784237
29.53,33.75,0.00232534497684519
29.53,37.97,0.002013664720852662
29.53,42.19,0.0017742069120271408
33.75,0.0,0.21388935693750183
33.75,4.22,0.037375030644045765
33.75,8.44,0.013055314138888788
33.75,12.66,0.007140321224242182
33.75,16.88,0.00477965344320812
33.75,21.09,0.0035548499519621763
33.75,25.31,0.002816001831828424
33.75,29.53,0.002325344976886767
33.75,33.75,0.0019772319537723813
33.75,37.97,0.0017180785231668393
33.75,42.19,0.0015179802370495327
37.97,0.0,0.1946313079999558
37.97,4.22,0.030798839088537887
37.97,8.44,0.010770149392577382
37.97,12.66,0.005994731725547216
37.97,16.88,0.004062187422182969
37.97,21.09,0.0030465525230974713
37.97,25.31,0.0024277637572948222
37.97,29.53,0.002013664720800008
37.97,33.75,0.0017180785231767923
37.97,37.97,0.0014969475398523633
37.97,42.19,0.001325517516560363
42.19,0.0,0.17865447216724292
42.19,4.22,0.02575797421705419
42.19,8.44,0.009101840696133784
42.19,12.66,0.005147914627549088
42.19,16.88,0.0035245861194546087
42.19,21.09,0.002661621955145371
42.19,25.31,0.002131359956721473
42.19,29.53,0.0017742069120645445
42.19,33.75,0.0015179802370643015
42.19,37.97,0.001325517516521836
42.19,42.19,0.001175816840164077
