a1,a2,growth
0.0,0.0,1.0
0.0,4.22,0.7743326972356636
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263852
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874387
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110435
0.0,33.75,0.21388935693750183
0.0,37.97,0.1946313079999548
0.0,42.19,0.1786544721672408
0.29,0.0,0.9564377777954748
0.29,4.22,0.7296098273297772
0.29,8.44,0.5133026658408512
0.29,12.66,0.377096829624378
0.29,16.88,0.2896285946981446
0.29,21.09,0.22650504944382785
0.29,25.31,0.015825676328138805
0.29,29.53,0.009769389243796363
0.29,33.75,0.006963706329125468
0.29,37.97,0.005343033217447094
0.29,42.19,0.004300393185454214
0.59,0.0,0.9034508068154676
0.59,4.22,0.670148464080032
0.59,8.44,0.4241742411956226
0.59,12.66,0.011780636205161068
0.59,16.88,0.006351160021475861
0.59,21.09,0.0041474316146790325
0.59,25.31,0.0030203338703113807
0.59,29.53,0.0023529918995224127
0.59,33.75,0.0019175122542950038
0.59,37.97,0.0016132453374347842
0.59,42.19,0.0013896994831865141
0.88,0.0,0.8355313739766216
0.88,4.22,0.5749830878774371
0.88,8.44,0.010188333565713338
0.88,12.66,0.004790043141788618
0.88,16.88,0.0029515615907761764
0.88,21.09,0.002091462681309829
0.88,25.31,0.001606122640590778
0.88,29.53,0.0012982204058714119
0.88,33.75,0.0010868572330458772
0.88,37.97,0.0009333612055002392
0.88,42.19,0.000817103692891434
1.18,0.0,0.7382028913512032
1.18,4.22,0.017223866016567713
1.18,8.44,0.0055516865667254375
1.18,12.66,0.002881848679160636
1.18,16.88,0.0018811272529136935
1.18,21.09,0.001380273836713086
1.18,25.31,0.0010846354162098886
1.18,29.53,0.0008910432313422653
1.18,33.75,0.0007550001058868517
1.18,37.97,0.0006544082301345461
1.18,42.19,0.0005771253990307201
1.47,0.0,0.29060654819980575
1.47,4.22,0.010606675552569104
1.47,8.44,0.00368694719023373
1.47,12.66,0.002033527001592766
1.47,16.88,0.0013713273115537508
1.47,21.09,0.0010261017517449007
1.47,25.31,0.0008168278978858486
1.47,29.53,0.0006772139757249081
1.47,33.75,0.0005777461493060035
1.47,37.97,0.0005034186312329509
1.47,42.19,0.0004458350632634049
1.76,0.0,0.10171193460181695
1.76,4.22,0.007256618492723419
1.76,8.44,0.002720418289611712
1.76,12.66,0.0015623087901802744
1.76,16.88,0.0010760234290525313
1.76,21.09,0.0008153674789733513
1.76,25.31,0.0006545098586098998
1.76,29.53,0.000545855332294291
1.76,33.75,0.00046773520465438924
1.76,37.97,0.000408950682327487
1.76,42.19,0.00036315659628163415
2.06,0.0,0.07766655028730203
2.06,4.22,0.005375506435689332
2.06,8.44,0.002139584624279341
2.06,12.66,0.0012647068644292935
2.06,16.88,0.0008841304048233693
2.06,21.09,0.0006759352005320016
2.06,25.31,0.0005457728678680161
2.06,29.53,0.0004570602232968844
2.06,33.75,0.0003928582467675996
2.06,37.97,0.00034430463656914286
2.06,42.19,0.00030633110639037396
2.35,0.0,0.06282960007412222
2.35,4.22,0.004211829410107207
2.35,8.44,0.0017555936305655969
2.35,12.66,0.00106043772313905
2.35,16.88,0.0007496548146053993
2.35,21.09,0.0005769430530548744
2.35,25.31,0.00046788303330410637
2.35,29.53,0.0003930422369261592
2.35,33.75,0.0003386087625275043
2.35,37.97,0.00029728635961683274
2.35,42.19,0.000264871861608953
2.64,0.0,0.05208903022665168
2.64,4.22,0.0034360412078489875
2.64,8.44,0.0014844028215097128
2.64,12.66,0.0009118412714882508
2.64,16.88,0.000650261882363673
2.64,21.09,0.0005030514537940723
2.64,25.31,0.0004093516201815448
2.64,29.53,0.0003447005598329787
2.64,33.75,0.00029749223679977814
2.64,37.97,0.00026154722832046935
2.64,42.19,0.00023328463131324243
2.94,0.0,0.043764086308707206
2.94,4.22,0.002888347980458771
2.94,8.44,0.001283422788819795
2.94,12.66,0.0007990274191381931
2.94,16.88,0.0005738414295569204
2.94,21.09,0.0004457959130309485
2.94,25.31,0.0003637594772698225
2.94,29.53,0.0003069026119831751
2.94,33.75,0.0002652512829355026
2.94,37.97,0.00023345987101205826
2.94,42.19,0.00020841531959695306
