,a1,a2,growth
0,0.0,0.0,0.9999999999999997
1,0.0,4.22,0.7743326972356636
2,0.0,8.44,0.5686224951439891
3,0.0,12.66,0.4408752593263852
4,0.0,16.88,0.3611335247983081
5,0.0,21.09,0.30696653823874404
6,0.0,25.31,0.26761376584393937
7,0.0,29.53,0.23760459314110435
8,0.0,33.75,0.21388935693750216
9,0.0,37.97,0.1946313079999553
10,0.0,42.19,0.1786544721672413
11,0.29,0.0,0.9564377777954748
12,0.29,4.22,0.7229057488857186
13,0.29,8.44,0.5026546591118818
14,0.29,12.66,0.3656458106509661
15,0.29,16.88,0.27780861245602284
16,0.29,21.09,0.21337247530910053
17,0.29,25.31,0.012768615895632445
18,0.29,29.53,0.008486145866810133
19,0.29,33.75,0.006248162122673251
20,0.29,37.97,0.004890540135090267
21,0.29,42.19,0.003990384475402177
22,0.59,0.0,0.903450806815468
23,0.59,4.22,0.653696428172549
24,0.59,8.44,0.38685917099601236
25,0.59,12.66,0.010085003481914842
26,0.59,16.88,0.005688913835357485
27,0.59,21.09,0.003809903033345818
28,0.59,25.31,0.0028178990198006125
29,0.59,29.53,0.002218254000922336
30,0.59,33.75,0.0018212548838882593
31,0.59,37.97,0.0015409074913523408
32,0.59,42.19,0.0013332465604645632
33,0.88,0.0,0.8355313739766216
34,0.88,4.22,0.5343660645593097
35,0.88,8.44,0.00898234176716653
36,0.88,12.66,0.0043726851950578365
37,0.88,16.88,0.002751742892189036
38,0.88,21.09,0.001974753072026292
39,0.88,25.31,0.0015291963048771578
40,0.88,29.53,0.001243358536485925
41,0.88,33.75,0.0010455344757815481
42,0.88,37.97,0.0009009742623222622
43,0.88,42.19,0.0007909456392882673
44,1.18,0.0,0.7382028913512029
45,1.18,4.22,0.015695575316902716
46,1.18,8.44,0.005065464833024798
47,1.18,12.66,0.0026887306130612913
48,1.18,16.88,0.001779507699856174
49,1.18,21.09,0.001317197293819945
50,1.18,25.31,0.0010412792241749054
51,1.18,29.53,0.0008591566086842621
52,1.18,33.75,0.0007304066128315315
53,1.18,37.97,0.0006347638821524217
54,1.18,42.19,0.000561009134744126
55,1.47,0.0,0.29060654827731897
56,1.47,4.22,0.009801076362478458
57,1.47,8.44,0.003424435404576142
58,1.47,12.66,0.001918188192531984
59,1.47,16.88,0.0013070471094636655
60,1.47,21.09,0.0009847658694612494
61,1.47,25.31,0.0007877300575944525
62,1.47,29.53,0.0006554419424585128
63,1.47,33.75,0.0005607317632641808
64,1.47,37.97,0.0004896854315192753
65,1.47,42.19,0.0004344711011931731
66,1.76,0.0,0.10171193460258668
67,1.76,4.22,0.006803335525224951
68,1.76,8.44,0.0025552889338729587
69,1.76,12.66,0.0014839406268797822
70,1.76,16.88,0.001030540077867546
71,1.76,21.09,0.000785404709589746
72,1.76,25.31,0.0006330799414261968
73,1.76,29.53,0.0005296386074479958
74,1.76,33.75,0.0004549540930279979
75,1.76,37.97,0.0003985652418659537
76,1.76,42.19,0.00035451591244269726
77,2.06,0.0,0.07766655029475303
78,2.06,4.22,0.005095921716717515
79,2.06,8.44,0.0020261032055116416
80,2.06,12.66,0.0012073842407618815
81,2.06,16.88,0.0008497888140061683
82,2.06,21.09,0.000652890478611478
83,2.06,25.31,0.0005290923895998126
84,2.06,29.53,0.00044433128226086915
85,2.06,33.75,0.00038276334676006033
86,2.06,37.97,0.00033606208560187225
87,2.06,42.19,0.00029944643758617853
88,2.35,0.0,0.06282960009085538
89,2.35,4.22,0.004026294285807076
90,2.35,8.44,0.0016730696210013303
91,2.35,12.66,0.0010165119892448877
92,2.35,16.88,0.0007226307179435361
93,2.35,21.09,0.0005585292200122051
94,2.35,25.31,0.00045442308598582466
95,2.35,29.53,0.00038270067028425316
96,2.35,33.75,0.0003303659479198465
97,2.35,37.97,0.00029052994487651745
98,2.35,42.19,0.00025921097969149406
99,2.64,0.0,0.052089030257651804
100,2.64,4.22,0.003305787642885328
101,2.64,8.44,0.001421973899537492
102,2.64,12.66,0.0008770884171637575
103,2.64,16.88,0.0006283797676020039
104,2.64,21.09,0.0004879414153630929
105,2.64,25.31,0.0003982122927076192
106,2.64,29.53,0.00033609150638896673
107,2.64,33.75,0.00029060069076921447
108,2.64,37.97,0.00025587969140702504
109,2.64,42.19,0.00022852353740291233
110,2.94,0.0,0.04376408635629264
111,2.94,4.22,0.00279280129769548
112,2.94,8.44,0.001234773997891607
113,2.94,12.66,0.0007708766346866803
114,2.94,16.88,0.0005557452849871312
115,2.94,21.09,0.00043314978853595303
116,2.94,25.31,0.00035436513248313605
117,2.94,29.53,0.0002996038236510217
118,2.94,33.75,0.00025938603998259554
119,2.94,37.97,0.0002286220984861105
120,2.94,42.19,0.0002043417447697756
