a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.29,0.9564377777954748
0.0,0.59,0.903450806815468
0.0,0.88,0.8355313739766219
0.0,1.18,0.7382028913512029
0.0,1.47,0.29060654778443046
0.0,1.76,0.1017119346030246
0.0,2.06,0.07766655029447354
0.0,2.35,0.06282960009137774
0.0,2.64,0.052089030260039686
0.0,2.94,0.043764086358940746
0.29,0.0,0.9564377777954748
0.29,0.29,0.9129539690288052
0.29,0.59,0.8592738642183273
0.29,0.88,0.7885617547093686
0.29,1.18,0.6793138588097203
0.29,1.47,0.0025893186309078157
0.29,1.76,0.0017558057535271658
0.29,2.06,0.001246217470487957
0.29,2.35,0.0009462590858993543
0.29,2.64,0.0007559137797201557
0.29,2.94,0.000626516384378893
0.59,0.0,0.9034508068154676
0.59,0.29,0.8592738642183273
0.59,0.59,0.8034943898085742
0.59,0.88,0.7264579481660653
0.59,1.18,0.5803827558648791
0.59,1.47,0.001039641564000588
0.59,1.76,0.0006980795568800364
0.59,2.06,0.0005133027331642038
0.59,2.35,0.0004024285973340079
0.59,2.64,0.00032965502135955604
0.59,2.94,0.0002786168704632056
0.88,0.0,0.8355313739766216
0.88,0.29,0.7885617547093686
0.88,0.59,0.7264579481660653
0.88,0.88,0.62885407025807
0.88,1.18,0.0009110261643541274
0.88,1.47,0.0005755703315710502
0.88,1.76,0.0004028553370230269
0.88,2.06,0.0003058002419320931
0.88,2.35,0.00024504039069528426
0.88,2.64,0.00020386370677666707
0.88,2.94,0.00017428476840829676
1.18,0.0,0.7382028913512029
1.18,0.29,0.6793138588097203
1.18,0.59,0.5803827558648808
1.18,0.88,0.0009110261642807652
1.18,1.18,0.000552630303979195
1.18,1.47,0.00036967874517521355
1.18,1.76,0.0002705267949993102
1.18,2.06,0.00021096845809016375
1.18,2.35,0.000172016221155231
1.18,2.64,0.00014483056017196392
1.18,2.94,0.000124890901934649
1.47,0.0,0.2906065477593922
1.47,0.29,0.0025893186308492224
1.47,0.59,0.0010396415639822877
1.47,0.88,0.0005755703315732976
1.47,1.18,0.0003696787451952798
1.47,1.47,0.0002614956356516695
1.47,1.76,0.00019817142750620293
1.47,2.06,0.00015791993484534124
1.47,2.35,0.00013058587767001008
1.47,2.64,0.00011101588052791608
1.47,2.94,9.640080980854609e-05
1.76,0.0,0.10171193460263549
1.76,0.29,0.0017558057535172126
1.76,0.59,0.0006980795568907919
1.76,0.88,0.0004028553370382773
1.76,1.18,0.00027052679499979185
1.76,1.47,0.00019817142750748714
1.76,1.76,0.000153891093337219
1.76,2.06,0.00012466414628641936
1.76,2.35,0.000104246195338028
1.76,2.64,8.932352958671193e-05
1.76,2.94,7.80098276046696e-05
2.06,0.0,0.07766655029422505
2.06,0.29,0.0012462174704332162
2.06,0.59,0.00051330273317817
2.06,0.88,0.0003058002419282404
2.06,1.18,0.0002109684580989929
2.06,1.47,0.00015791993484550178
2.06,1.76,0.0001246641462893089
2.06,2.06,0.0001022096152805916
2.06,2.35,8.621598291303936e-05
2.06,2.64,7.434453419716067e-05
2.06,2.94,6.523524956990015e-05
2.35,0.0,0.06282960009221394
2.35,0.29,0.0009462590859149257
2.35,0.59,0.00040242859732309184
2.35,0.88,0.00024504039069432105
2.35,1.18,0.0001720162211557126
2.35,1.47,0.00013058587766936797
2.35,1.76,0.00010424619533899116
2.35,2.06,8.621598291223672e-05
2.35,2.35,7.3209984699779e-05
2.35,2.64,6.344926719726557e-05
2.35,2.94,5.589072193872263e-05
2.64,0.0,0.05208903025936192
2.64,0.29,0.0007559137797273797
2.64,0.59,0.0003296550213571481
2.64,0.88,0.00020386370677714864
2.64,1.18,0.00014483056017164288
2.64,1.47,0.00011101588053112667
2.64,1.76,8.93235295860698e-05
2.64,2.06,7.434453419860544e-05
2.64,2.35,6.344926719806822e-05
2.64,2.64,5.520986202437288e-05
2.64,2.94,4.8786233930587e-05
2.94,0.0,0.04376408635810952
2.94,0.29,0.0006265163843768061
2.94,0.59,0.0002786168704635267
2.94,0.88,0.00017428476841423638
2.94,1.18,0.00012489090193657534
2.94,1.47,9.640080981111457e-05
2.94,1.76,7.800982760402748e-05
2.94,2.06,6.523524956893698e-05
2.94,2.35,5.58907219385621e-05
2.94,2.64,4.8786233930908055e-05
2.94,2.94,4.322020811005226e-05
